District/ Division,None,2021-22,None_1,2022-23,None_2,2023-24,None_3
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,61,97,40.00,69.00,37.00,48.00
2,Barishal,29,38,25.00,33.00,26.00,32.00
3,Bhola,60,123,25.11,115.90,60.65,126.08
4,Jhallokati,0,0,0.00,0.00,0.00,0.00
5,Patuakhali,136,248,138.01,233.95,147.90,208.51
6,Pirojpur,35,83,34.00,84.00,20.00,60.00
Barishal Division,None,321,589,296.12,535.85,291.55,474.59
7,Bandarban,1545,6273,1553.00,6302.80,1561.00,6334.79
8,Brahmanbaria,35,51,38.20,75.12,39.70,77.78
9,Chandpur,6.55,8.20,6.90,8.90,0.00,0.00
10,Chattogram,2119,8225,2029.00,7273.14,1939.45,7200.63
11,Cumilla,34,116,34.11,116.11,34.60,117.55
12,Cox’s Bazar,244,900,240.11,1043.00,214.02,993.26
13,Feni,21,52,21.11,53.35,22.30,76.50
14,Khagrachari,1992,8475,1977.40,8918.41,1992.40,9254.47
15,Lakshmipur,22,82,21.50,71.32,22.50,74.58
16,Noakhali,20,24,17.30,37.75,15.86,32.03
17,Rangamati,3252,24844,3239.60,24948.76,3250.34,24993.83
Chattogram Division,None,9290.55,49050.2,9187.23,48848.66,9092.17,49155.42
18,Dhaka,1,2.80,0.93,2.68,0.85,2.69
19,Faridpur,0,0,0.00,0.00,0.00,0.00
20,Gazipur,2358,8562,1411.55,4973.96,1404.11,4931.39
21,Gopalganj,0,0,0.00,0.00,0.00,0.00
22,Kishoreganj,8,37.50,4.54,19.31,3.60,14.53
23,Madaripur,0,0,0.00,0.00,0.00,0.00
24,Manikganj,0,0,0.00,0.00,0.00,0.00
25,Munshiganj,0,0,0.00,0.00,0.00,0.00
26,Narayanganj,11.90,54.50,4.01,17.22,3.36,14.09
27,Narsingdi,273.10,1269.80,273.95,1279.60,276.59,1304.03
28,Rajbari,0,0,0.00,0.00,0.00,0.00
29,Shariatpur,0,0,0.00,0.00,0.00,0.00
30,Tangail,18014.60,129640.60,17964.30,123572.88,17929.10,135060.98
Dhaka Division,None,20666.60,139567.20,19659.28,129865.65,19617.61,141327.71
31,Bagerhat,45,62,46.50,63.56,38.50,53.47
32,Chuadanga,0,0,0.00,0.00,0.00,0.00
33,Jashore,112.45,403.22,105.68,374.35,101.00,359.00
34,Jhenaidah,1,1.74,1.50,2.70,1.80,3.20
35,Khulna,15,54,14.85,47.65,14.75,49.58
36,Kushtia,0,0,0.00,0.00,0.00,0.00
37,Magura,2.20,10.58,2.10,10.08,0.08,0.38
None,None,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,0,0,0.00,0.00,0.00,0.00
39,Narail,0,0,0.00,0.00,0.00,0.00
40,Satkhira,29,78.30,28.70,76.74,34.04,92.23
Khulna Division,None,204.65,609.84,199.33,575.08,190.17,557.86
41,Jamalpur,93,541,97.00,624.00,95.00,620.00
42,Mymensingh,799,5552,798.00,5991.00,810.00,6091.00
43,Netrokona,24,130,24.00,118.00,25.00,126.00
44,Sherpur,45,247,47.00,260.00,48.00,270.00
Mymensingh Division,None,961,6470,966.00,6993.00,978.00,7107.00
45,Bogura,6.22,32.80,5.51,14.23,0.00,0.00
46,Joypurhat,0,0,0.00,0.00,0.00,0.00
47,Naogaon,3.85,5.47,0.00,0.00,0.00,0.00
48,Natore,0,0,0.00,0.00,0.00,0.00
49,Chapai Nawabganj,0,0,0.00,0.00,0.00,0.00
50,Pabna,0,0,0.00,0.00,0.00,0.00
51,Rajshahi,0,0,0.00,0.00,0.00,0.00
52,Sirajganj,0,0,0.00,0.00,0.00,0.00
Rajshahi Division,None,10.07,38.27,5.51,14.23,0.00,0.00
53,Dinajpur,0,0,0.00,0.00,0.00,0.00
54,Gaibandha,0,0,0.00,0.00,0.00,0.00
55,Kurigram,30,128,30.22,130.47,28.43,130.51
56,Lalmonirhat,11,21,10.00,20.35,10.25,21.39
57,Nilphamari,5,31,5.33,29.74,5.58,30.53
58,Panchagar,15,36,16.00,38.00,21.00,49.51
59,Rangpur,44,90,32.00,67.00,30.00,61.00
60,Thakurgaon,20,45,21.00,46.72,21.80,46.22
Rangpur Divison,None,125,351,115.45,332.28,117.06,339.16
61,Habiganj,497,1779,512.00,1852.31,531.35,1962.58
62,Moulvibazar,1100,6265,1135.04,6505.77,1146.55,6560.27
63,Sunamganj,37,108,38.00,111.00,39.00,114.00
64,Sylhet,369,1337,358.40,1101.91,356.00,1228.66
Sylhet Division,None,2003,9489,2043.44,9570.99,2072.90,9865.51
BANGLADESH,None,33581.87,206164.51,32463.36,196735.74,32359.46,208827.25
