District/ Division,None,Area Under Garden (acre),None_1,None_2,Production of Inside Garden (M.Tons),None_3,None_4,Production of Outside Garden (M.Tons),None_5,None_6,Total Production of Inside & Outside Garden (M.Tons),None_7,None_8
None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,Barguna,152.00,2691.00,2625.00,72.19,189.69,150.86,696,668.31,603.94,566.00,858.00,754.80
2,Barishal,190.00,658.00,424.00,420.00,147.02,126.27,2330,5420.98,4923.73,2850.00,5568.00,5050.00
3,Bhola,122.00,78.00,120.00,241.37,194.32,238.75,838,759.68,836.55,1081.00,954.00,1075.30
4,Jhallokati,156.00,164.00,166.00,10.32,24.48,29.84,300,1529.52,1617.16,1442.00,1554.00,1647.00
5,Patuakhali,242.00,765.00,742.00,0.00,0.00,0.00,877,345.00,409.55,390.00,345.00,409.55
6,Pirojpur,328.00,42.00,42.00,162.58,142.16,243.40,775,620.84,1039.00,767.99,763.00,1282.40
Barishal Division,None,1190.0,4398.00,4119.00,906.46,697.67,789.12,5816,9344.33,9429.93,7096.99,10042.00,10219.05
7,Bandarban,278.00,277.60,278.81,1341.56,1334.46,1358.73,3427,857.17,861.35,2189.00,2191.63,2220.09
8,Brahmanbaria,37.00,47.33,49.84,137.55,233.38,251.70,569,421.46,394.89,572.00,654.84,646.60
9,Chandpur,250.00,251.24,251.24,15.46,0.00,0.00,1647,2502.53,2518.53,2497.00,2502.53,2518.53
10,Chattogram,255.00,256.06,235.70,657.41,709.99,766.18,3427,2084.32,2026.42,2760.40,2794.31,2792.60
11,Cumilla,344.00,944.00,1015.74,358.01,364.21,367.27,2168,2045.79,2060.44,2410.01,2410.00,2427.71
12,Cox’s Bazar,206.00,206.08,208.74,2558.14,2568.56,2548.36,5809,1824.51,1858.01,4368.00,4393.07,4406.37
13,Feni,137.00,131.80,75.62,0.00,0.00,0.00,493,614.00,397.50,493.00,614.00,397.50
