District/ Division,None,2021-22,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
1,Barguna,6080.00,27602.00,7141.00,30811.00,13998.00,55465.00
2,Barishal,234.00,943.00,201.00,778.00,245.00,890.00
3,Bhola,8541.00,58519.00,8264.00,70113.00,8281.00,69325.00
4,Jhallokati,79.00,354.00,76.00,419.00,73.00,445.00
5,Patuakhali,1192.00,2785.19,1271.00,2702.30,1270.13,5404.28
6,Pirojpur,918.00,6763.00,915.00,6751.00,914.00,6745.00
Barishal Division,,17044.00,96966.19,17868.00,111574.30,24781.13,138274.28
7,Bandarban,113.80,414.50,114.00,415.20,114.80,418.07
8,Brahmanbaria,25.00,206.75,25.00,208.05,27.00,228.00
9,Chandpur,0.95,3.80,0.98,4.02,1.03,7.20
10,Chattogram,1012.40,6276.50,997.26,5916.13,953.27,6394.68
11,Cumilla,82.30,339.00,85.71,345.85,87.75,346.73
12,Cox’s Bazar,1252.86,12860.05,1242.02,12781.27,1241.28,12765.89
13,Feni,34.00,123.30,37.30,265.00,280.90,2369.00
14,Khagrachari,173.60,691.25,172.90,684.64,167.91,649.78
15,Lakshmipur,236.50,1655.00,244.50,1759.20,246.00,1765.50
16,Noakhali,5392.50,36721.50,5642.50,29129.70,5750.00,35508.95
17,Rangamati,725.08,3616.04,733.53,3630.79,730.20,3629.32
Chattogram Division,,9048.99,62907.69,9295.70,55139.85,9600.14,64083.12
18,Dhaka,11.00,52.80,20.00,96.24,23.00,110.69
19,Faridpur,79.10,624.25,81.40,644.06,79.50,619.01
20,Gazipur,5.05,21.90,5.55,24.08,5.20,22.56
21,Gopalganj,593.50,9456.09,595.65,9459.06,435.64,5932.21
22,Kishoreganj,33.72,393.11,22.25,224.13,24.44,235.02
23,Madaripur,19.20,156.30,22.55,181.23,18.94,152.77
24,Manikganj,0.00,0.00,0.00,0.00,0.00,0.00
25,Munshiganj,5.55,20.70,3.00,8.25,0.00,0.00
26,Narayanganj,74.00,393.50,73.26,384.70,68.32,356.03
27,Narsingdi,0.00,0.00,0.00,0.00,0.00,0.00
28,Rajbari,85.00,693.00,82.00,658.80,83.50,675.85
29,Shariatpur,0.00,0.00,0.00,0.00,0.00,0.00
30,Tangail,0.75,10.02,2.20,40.00,2.35,41.40
Dhaka Division,,906.87,11821.67,907.86,11720.55,740.89,8145.54
31,Bagerhat,329.50,3304.57,324.50,3213.40,326.00,3297.74
32,Chuadanga,1316.50,10429.50,1327.05,10525.05,233.30,1771.55
33,Jashore,49.00,222.90,52.40,245.88,49.80,234.82
34,Jhenaidah,65.25,369.60,63.00,371.05,72.85,389.20
35,Khulna,25049.93,331876.56,24971.60,330910.65,25016.20,331491.57
36,Kushtia,20.00,119.00,13.00,94.00,8.00,59.00
37,Magura,5.64,24.82,6.92,48.75,7.37,51.95
