District/ Division,None,None_1,Area Under Garden (acre),None_2,None_3,Production of Inside Garden (M.Tons),None_4,None_5,Production of Outside Garden (M.Tons),None_6,None_7,Total Production of Inside & Outside Garden (M. Tons),None_8,None_9
None,None,None,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
1,None,Barguna,2350,2192.27,2210.00,235,235.79,189.86,730,741.21,908.14,965,977.00,1098.00
2,None,Barishal,3520,3658.00,3531.00,2204,2190.18,630.41,8043,8056.82,7330.59,10247,10247.00,7961.00
3,None,Bhola,116,152.34,162.00,8,0.00,14.12,1163,1452.60,1102.88,1171,1452.60,1117.00
4,None,Jhallokati,2987,3029.00,3036.00,3527,3517.26,3529.80,1718,1795.74,1888.20,5245,5313.00,5418.00
5,None,Patuakhali,288,299.00,314.00,0,0.00,0.00,1262,1398.00,1690.00,1262,1398.00,1690.00
6,None,Pirojpur,2093,2725.20,2723.00,27153,27051.27,27144.49,3640,3624.73,3321.52,30793,30676.00,30466.01
Barishal Division,None,None,11354,12055.81,11976.00,33127,32994.50,31508.68,16556,17069.10,16241.33,49683,50063.60,47750.01
7,None,Bandarban,846,846.30,846.60,374,371.04,371.09,277,279.89,279.83,651,650.93,650.93
8,None,Brahmanbaria,657,644.15,623.61,1352,1354.47,1310.01,2093,2103.59,2029.69,3445,3458.06,3339.70
9,None,Chandpur,169,177.19,177.96,0,0.00,0.00,1626,1627.30,1955.24,1626,1627.30,1955.24
10,None,Chattogram,5306,4999.09,4683.78,35360,36019.81,33696.18,6622,7122.30,5572.06,41982,43142.11,39268.24
11,None,Cumilla,1539,1539.49,1812.00,510,516.75,558.66,5518,5512.25,5702.09,6028,6029.00,6260.75
12,None,Cox’s Bazar,285,285.56,272.44,421,422.55,438.87,1308,1324.39,1363.80,1729,1746.94,1802.67
13,None,Feni,190,190.32,191.81,96,95.41,94.00,589,590.08,599.00,685,685.49,693.00
14,None,Khagrachari,633,639.85,639.85,367,333.19,348.89,1121,1149.31,1160.92,1488,1482.50,1509.81
15,None,Lakshmipur,71,213.84,201.33,0,0.00,0.00,1005,1261.27,1257.75,1005,1261.27,1257.75
16,None,Noakhali,363,364.94,367.20,0,0.00,0.00,1970,2217.73,2231.70,1970,2217.73,2231.70
17,None,Rangamati,1053,1187.31,1228.73,3397,3110.96,3049.25,2932,2677.78,2590.44,6329,5788.74,5639.68
Chattogram Division,None,None,11112,11088.04,11045.31,41877,42224.18,39866.95,25061,25865.89,24742.52,66938,68090.07,64609.47
18,None,Dhaka,271,270.89,269.95,2177,2262.47,2114.41,1696,1999.22,1861.53,3873,4261.69,3975.94
19,None,Faridpur,300,230.00,232.00,247,278.95,360.29,1169,1128.25,1132.41,1416,1407.20,1492.70
20,None,Gazipur,3108,2770.46,2763.00,3098,2882.83,2784.63,1829,1851.17,1957.37,4927,4734.00,4742.00
21,None,Gopalganj,279,301.00,302.25,0,0.00,35.69,1781,1945.75,2106.00,1781,1945.75,2141.69
22,None,Kishoreganj,224,216.86,214.76,276,259.57,269.18,2621,2520.24,2604.92,2897,2779.81,2874.10
23,None,Madaripur,162,158.04,166.39,166,149.80,152.65,575,527.28,549.84,741,677.08,702.49
24,None,Manikganj,196,203.31,203.93,300,342.61,350.74,1051,1130.79,1128.56,1351,1473.40,1479.30
25,None,Munshiganj,86,87.24,84.64,26,30.43,30.71,568,588.63,588.55,594,619.06,619.26
26,None,Narayanganj,46,57.62,57.78,361,357.28,361.74,600,601.65,608.52,961,958.93,970.26
27,None,Narsingdi,302,303.27,303.81,1345,1524.01,1489.85,2987,3384.77,3401.15,4332,4908.78,4891.00
28,None,Rajbari,300,300.08,334.56,330,366.01,412.89,1480,1472.28,1690.21,1810,1838.29,2103.10
29,None,Shariatpur,292,291.94,297.07,113,112.75,127.25,1087,1087.25,1173.75,1200,1200.00,1301.00
30,None,Tangail,399,542.28,527.60,870,1440.86,1449.19,3381,3977.64,3889.21,4251,5418.50,5338.40
Dhaka Division,None,None,5965,5732.99,5757.74,9309,10007.57,9939.22,20825,22214.92,22692.02,30134,32222.49,32631.24
31,None,Bagerhat,231,216.74,227.35,370,264.74,235.09,1493,1677.56,1720.23,1863,1942.30,1955.32
32,None,Chuadanga,204,191.77,170.20,999,1105.27,1257.75,1006,1031.43,1022.06,2005,2136.70,2279.81
33,None,Jashore,1045,1021.30,991.21,3391,3504.87,3759.00,4334,4558.13,4667.46,7725,8063.00,8426.46
34,None,Jhenaidah,414,471.18,483.21,1792,2054.01,2623.02,3112,3315.59,2745.44,4904,5369.60,5368.46
35,None,Khulna,446,432.04,430.21,127,194.44,203.32,2082,2025.06,2020.38,2209,2219.50,2223.70
36,None,Kushtia,449,519.00,546.00,2346,2613.67,3348.69,4908,4640.32,6246.31,7254,7253.99,9595.00
37,Magura,None,219,211.10,210.44,1299,1340.46,1428.61,1090,1073.44,1093.02,2389,2413.90,2521.63
38,Meherpur,None,315,318.78,324.25,797,1037.57,1116.51,769,770.03,814.23,1566,1807.60,1930.74
39,Narail,None,386,385.93,386.47,166,166.65,168.11,1847,1857.35,1864.49,2013,2024.00,2032.60
40,Satkhira,None,705,718.90,722.14,586,591.18,611.13,1166,1177.92,1212.45,1752,1769.10,1823.58
Khulna Division,None,None,4414,4486.74,4491.48,11873,12872.86,14751.23,21807,22126.83,23406.07,33680,34999.69,38157.30
None,None,2022-23,2021-22,2023-24,2022-23,2021-22,2023-24,2022-23,2021-22,2023-24,2022-23,2021-22,2023-24,
41,Jamalpur,659.00,650,665.00,33.57,23,33.67,3895.44,3696,3967.33,3929.01,3719,4001.00,
42,Mymensingh,1554.00,1532,1554.00,263.96,248,287.95,3903.04,3781,4255.05,4167.00,4029,4543.00,
43,Netrokona,296.00,247,308.00,173.89,96,221.33,2326.11,2319,2534.67,2500.00,2415,2756.00,
44,Sherpur,304.00,303,313.00,107.63,102,107.50,1105.38,1103,1131.50,1213.01,1205,1239.00,
Mymensingh Division,None,2813.00,2732,2840.00,579.05,469,650.45,11229.97,10899,11888.55,11809.02,11368,12539.00,
45,Bogura,382.39,351,389.00,1127.08,661,676.86,3387.92,3304,3893.14,4515.00,3965,4570.00,
46,Joypurhat,106.70,106,77.00,97.95,123,96.88,485.82,571,403.12,583.77,694,500.00,
47,Naogaon,404.82,418,416.00,359.39,123,780.74,1609.36,1623,1913.27,1968.75,1746,2694.01,
48,Natore,704.96,535,754.00,3766.72,2165,4278.96,2982.18,2600,2932.04,6748.90,4765,7211.00,
49,Chapai Nawabganj,833.42,840,873.00,3123.06,2920,4121.77,1582.42,1351,1803.23,4705.48,4271,5925.00,
50,Pabna,470.63,537,501.00,4227.13,4142,4763.99,3283.68,2844,3277.01,7510.81,6986,8041.00,
51,Rajshahi,1512.88,1569,1544.00,7076.25,7192,7426.01,3017.65,2878,3321.99,10093.90,10070,10748.00,
52,Sirajganj,162.08,158,161.00,495.21,484,518.09,2458.07,2419,2545.91,2953.28,2903,3064.00,
Rajshahi Division,None,4577.88,4514,4715.00,20272.79,17810,22663.30,18807.10,17590,20089.71,39079.89,35400,42753.01,
53,Dinajpur,326.31,373,353.00,433.55,313,454.20,2136.03,1784,2212.87,2569.58,2097,2667.07,
54,Gaibandha,302.52,279,302.82,31.05,0,33.62,1364.77,1389,1479.18,1395.82,1389,1512.80,
55,Kurigram,139.22,141,150.00,107.30,94,113.19,862.70,834,886.81,970.00,928,1000.00,
56,Lalmonirhat,333.62,331,335.55,285.06,289,289.76,788.35,803,799.19,1073.41,1092,1088.95,
57,Nilphamari,144.78,140,154.55,57.81,59,63.88,1492.69,1516,1543.28,1550.50,1575,1607.16,
58,Panchagar,381.11,381,382.57,157.79,158,139.73,1338.61,1340,1333.37,1496.40,1498,1473.10,
59,Rangpur,215.56,209,235.41,181.16,167,199.69,1400.65,1346,1148.64,1581.81,1513,1348.33,
60,Thakurgaon,144.71,112,146.18,283.24,170,283.11,905.25,562,919.58,1188.49,732,1202.69,
Rangpur Divison,None,1987.83,1966,2060.08,1536.96,1250,1577.18,10289.05,9574,10322.92,11826.01,10824,11900.10,
61,Habiganj,605.00,546,632.61,444.99,378,289.57,2539.39,1697,1651.75,2984.38,2075,1941.32,
62,Moulvibazar,197.65,301,203.55,870.71,1116,831.32,1773.71,1374,1723.87,2644.42,2490,2555.19,
63,Sunamganj,1326.00,1324,1325.00,0.00,0,0.00,624.00,596,841.00,624.00,596,841.00,
64,Sylhet,516.00,514,523.00,191.89,150,260.44,1570.10,1519,2046.56,1761.99,1669,2307.00,
Sylhet Division,None,2644.65,2685,2684.16,1507.59,1644,1381.33,6507.20,5186,6263.18,8014.79,6830,7644.51,
