District/ Division,None,2022-23,None_1,None_2,None_3,None_4,2023-24,None_5,None_6,None_7,None_8
None,None,Area,None,Yield Rate,None,"Productio
n",Area,None,Yield Rate,None,"Producti
on"
None,None,Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maund)","Hectors
(M.
Ton)",(M. Ton)
1,Barguna,19790,8009,34.27,3.161,25317,29296,11856,36.18,3.337,39563
2,Barishal,127353,51560,45.12,4.160,214468,141726,57368,45.59,4.204,241172
3,Bhola,98567,39890,45.49,4.196,167366,99603,40309,45.98,4.241,170961
4,Jhallokati,30597,12382,38.54,3.555,44013,29070,11764,39.08,3.605,42410
5,Patuakhali,13784,5578,25.98,2.397,13369,13899,5626,25.85,2.384,13411
6,Pirojpur,63570,25726,44.28,4.085,105080,71719,29024,45.37,4.185,121472
Barishal Division,None,353661,143146,43.15,3.979,569613,385313,155948,43.73,4.033,628989
7,Bandarban,15137,6126,42.38,3.909,23948,14843,6007,42.77,3.945,23698
8,Brahmanbaria,274737,111184,42.82,3.950,439170,275952,111676,43.43,4.006,447369
9,Chandpur,155580,62962,36.56,3.372,212331,157519,63747,37.99,3.504,223400
10,Chattogram,158763,64250,44.00,4.058,260741,161783,65473,44.05,4.063,265986
11,Cumilla,371353,150345,45.21,4.168,626711,381427,154415,44.85,4.135,638569
12,Cox’s Bazar,126053,51013,45.79,4.223,215446,128946,52184,45.48,4.195,218885
13,Feni,73082,29576,37.58,3.466,102511,77150,31222,38.01,3.506,109461
14,Khagrachari,26833,10859,41.74,3.850,41804,26934,10900,41.92,3.867,42148
15,Lakshmipur,82319,33328,37.30,3.439,114598,83727,33891,37.76,3.482,118026
16,Noakhali,176400,71412,53.67,4.948,353364,188227,76174,53.93,4.975,378930
17,Rangamati,18047,7304,46.10,4.252,31053,18259,7389,47.11,4.346,32111
Chattogram Division,None,1478304,598359,43.89,4.047,2421678,1514767,613078,44.19,4.075,2498583
18,Dhaka,106094,42936,49.83,4.596,197343,105330,42626,50.37,4.646,198058
19,Faridpur,56708,22949,49.13,4.532,104006,55765,22568,50.53,4.660,105177
20,Gazipur,145802,59029,46.82,4.317,254806,145796,59003,47.47,4.378,258322
21,Gopalganj,198871,80514,57.90,5.338,429796,207351,83914,58.28,5.375,451046
22,Kishoreganj,406293,164424,45.92,4.236,696448,406076,164337,46.60,4.298,706342
23,Madaripur,80360,32521,47.04,4.338,141088,82926,33560,46.25,4.266,143173
24,Manikganj,120546,48784,54.35,5.013,244577,119016,48165,54.41,5.019,241729
25,Munshiganj,57451,23250,45.08,4.158,96682,57873,23421,44.53,4.108,96206
26,Narayanganj,48899,19789,45.14,4.164,82400,48594,19666,46.82,4.319,84931
27,Narsingdi,132668,53712,41.40,3.817,205033,132260,53525,41.56,3.834,205199
28,Rajbari,31499,12747,49.51,4.567,58218,31649,12808,48.90,4.510,57767
29,Shariatpur,60794,24603,48.50,4.474,110066,58558,23698,49.65,4.579,108516
30,Tangail,417979,169154,47.22,4.356,736806,417570,168988,47.45,4.376,739525
Dhaka Division,None,1863962,754413,48.25,4.450,3357269,1868764,756278,48.68,4.490,3395990
31,Bagerhat,146660,59352,50.39,4.647,275830,148940,60275,50.30,4.639,279618
32,Chuadanga,91518,37037,44.93,4.144,153494,90064,36448,44.71,4.124,150322
33,Jashore,394256,159553,51.04,4.708,751125,391207,158319,51.20,4.722,747657
34,Jhenaidah,221650,89737,47.29,4.360,391242,222359,89987,48.06,4.433,398930
35,Khulna,147631,59770,45.10,4.158,248551,142753,57771,46.12,4.254,245768
36,Kushtia,88639,35872,45.82,4.226,151597,87991,35609,47.44,4.375,155802
37,Magura,88539,35846,44.31,4.085,146432,90708,36709,45.10,4.160,152707
