District/ Division,None,2022-23,None_1,None_2,None_3,None_4,2023-24,None_5,None_6,None_7,None_8
None,None,Area,None,Yield Rate,None,"Product
ion",Area,None,Yield Rate,None,"Producti
on"
None,None,Acres,Hectors,"Acres
(Maun
d)","Hectors
( Bale)",( Bale),Acres,Hectors,"Acre
s
(Maun
d)","Hectors
(Bale)",(Bale)
1,Barguna,0,0,0,0,0,0,0,0,0,0
2,Barishal,27600,11169,4.2,10.37862,115920,27589,11165,5.24,12.948,144566
3,Bhola,0,0,0,০,0,0,0,0,০,0
4,Jhallokati,0,0,0,0,0,0,0,0,0,0
5,Patuakhali,0,0,0,0,0,0,0,0,0,0
6,Pirojpur,524,212,2.41,"5.9553
51",1263,770,312,3.91,9.662,3011
Barishal Division,None,28124,11381.17,4.17,10.296207,117183,28359,11477,5.20,12.859,147577
7,Bandarban,0,0,0,0,0,0,0,0,0,0
8,Brahmanbaria,6977,2823,4.89,12.084,34118,10203,4129,5.45,13.467,55609
9,Chandpur,10046,4065,4.6,11.367,46212,9565,3871,5.71,14.109,54616
10,Chattogram,0,0,0,0.000,0,0,0,0,0.000,0
11,Cumilla,718,291,5.22,12.899,3748,706,286,5.97,14.752,4214
12,Cox’s Bazar,0,0,0,0.000,0,0,0,0,0.000,0
13,Feni,0,0,0,0.000,0,0,0,0,0.000,0
14,Khagrachari,0,0,0,0.000,0,0,0,0,0.000,0
15,Lakshmipur,62,25,4.02,9.934,249,74,30,4.92,12.157,364
16,Noakhali,0,0,0,0.000,0,0,0,0,0.000,0
17,Rangamati,0,0,0,0.000,0,0,0,0,0.000,0
Chattogram Division,None,17803,7204,4.74,11.705,84326,20548,8316,5.59,13.805,114802
18,Dhaka,7399,2994,4.44,10.972,32852,7148,2893,5.35,13.220,38243
19,Faridpur,215625,87259,4.6,11.367,991875,215561,87236,5.74,14.184,1237320
20,Gazipur,2234,904,3.84,9.489,8579,2296,929,4.66,11.515,10700
21,Gopalganj,58249,23572,4.80,11.861,279595,59528,24090,5.77,14.258,343474
22,Kishoreganj,36404,14732,4.65,11.491,169279,36111,14614,5.30,13.096,191390
23,Madaripur,84529,34207,4.80,11.861,405739,86264,34911,5.32,13.146,458924
24,Manikganj,9543,3862,4.20,10.379,40081,9785,3960,5.37,13.269,52545
25,Munshiganj,6077,2459,4.42,10.922,26860,6064,2454,5.05,12.479,30623
26,Narayanganj,593,240,4.48,11.071,2657,619,251,5.20,12.849,3219
27,Narsingdi,6920,2800,4.87,12.034,33700,6026,2439,5.06,12.503,30492
28,Rajbari,118705,48037,4.33,10.700,513993,118457,47939,5.25,12.973,621899
29,Shariatpur,64675,26173,4.2,10.379,271635,66116,26757,5.24,12.948,346448
30,Tangail,38731,15674,4.38,10.823,169642,40739,16487,5.23,12.923,213065
Dhaka Division,None,649684,262913,4.54,11.207,2946486,654714,264959,5.47,13.505,3578342
31,Bagerhat,4656,1884,4.42,10.922,20580,4714,1908,5.25,12.973,24749
32,Chuadanga,46970,19008,4.35,10.749,204320,44245,17906,5.60,13.838,247772
33,Jashore,58781,23787,4.65,11.491,273332,61578,24920,5.22,12.899,321437
34,Jhenaidah,57636,23324,4.75,11.738,273771,58528,23686,5.29,13.072,309613
35,Khulna,3161,1279,4.80,11.861,15173,3271,1324,5.14,12.701,16813
36,Kushtia,101408,41038,4.8,11.861,486758,92231,37325,5.46,13.492,503581
37,Magura,89686,36294,4.9,12.108,439461,87877,35563,5.79,14.307,508808
38,Meherpur,50288,20350,4.80,11.861,241382,52460,21230,5.14,12.701,269644
39,Narail,54657,22118,4.34,10.725,237211,55728,22553,5.00,12.355,278640
40,Satkhira,28444,11511,4.1,10.132,116620,28881,11688,5.10,12.602,147291
Khulna Division,None,495687,200594,4.66,11.509,2308608,489513,198103,5.37,13.268,2628348
None,None,Area,None,Yield Rate,None,"Product
ion",Area,None,Yield Rate,None,"Producti
on"
