District/ Division,None,2022-23,None_1,None_2,None_3,None_4,None_5,None_6,None_7,None_8,None_9,None_10,None_11,None_12,None_13,None_14,2023-24,None_15,None_16,None_17,None_18,None_19,None_20,None_21,None_22,None_23,None_24,None_25,None_26,None_27,None_28
None,None,Area,None,None,None,None,None,Yield Rate,None,None,None,None,None,Production,None,None,Area,None,None,None,None,None,Yield Rate,None,None,None,None,None,Production,None,None
None,None,Acres,None,None,"Hector
s",None,None,"Acres
(Maund)",None,None,"Hector
s
(M.
Ton)",None,None,(M. Ton),None,None,Acres,None,None,Hectors,None,None,"Acres
(Maund)",None,None,"Hectors
(M. Ton)",None,None,(M. Ton),None,None
1,Barguna,,0,,,0,,,0,,,0,,,0,,,০,,,0,,,0,,,0,,,0,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
2,Barishal,,882,,,357,,,28.45,,,2.624,,,937,,,938,,,380,,,32.44,,,2.992,,,1136,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
3,Bhola,,8261,,,3343,,,45.35,,,4.183,,,13984,,,7879,,,3189,,,45.17,,,4.166,,,13285,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
4,Jhalokathi,,366,,,148,,,32.09,,,2.960,,,438,,,371,,,150,,,30.64,,,2.826,,,424,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
5,Patuakhali,,0,,,0,,,0,,,0.000,,,0,,,0,,,0,,,0,,,0.000,,,0,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
6,Pirojpur,,52,,,21,,,45.24,,,4.173,,,88,,,59,,,24,,,38.67,,,3.567,,,85,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
Barishal Division,None,,9561,,,3869,,,43.28,,,3.992,,,15447,,,9247,,,3742,,,43.25,,,3.990,,,14930,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
7,Bandarban,,0,,,0,,,0,,,0.000,,,0,,,0,,,0,,,0,,,0.000,,,0,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
8,Brahmanbaria,,2131,,,862,,,28.1,,,2.600,,,2242,,,2164,,,876,,,31.02,,,2.870,,,2514,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
9,Chandpur,,275,,,111,,,35.71,,,3.304,,,368,,,142,,,57,,,30.26,,,2.799,,,160,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
10,Chattogram,,92,,,37,,,57.84,,,0.000,,,199,,,124,,,50,,,41.49,,,3.838,,,193,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
11,Cumilla,,1203,,,487,,,38.52,,,3.564,,,1735,,,1208,,,489,,,30.27,,,2.800,,,1369,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
12,Cox’s Bazar,,0,,,0,,,0,,,0.000,,,0,,,0,,,0,,,0,,,0.000,,,0,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
13,Feni,,15,,,6,,,17.51,,,1.620,,,10,,,171,,,69,,,17.58,,,1.626,,,113,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
14,Khagrachari,,0,,,0,,,0,,,0.000,,,0,,,0,,,0,,,0,,,0.000,,,0,
None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None,,None,None
15,Laxmipur,,338,,,137,,,46.14,,,4.269,,,584,,,234,,,95,,,47.05,,,4.353,,,412,
