Item,Year,Area ‘000’ Acres,Production ‘000’ Metric Tons
Tea,2023-24,145,100
,2022-23,141,93
,2021-22,140,98
Tobacco,2023-24,101,97
,2022-23,93,87
,2021-22,100,93
Vegetables,2023-24,1247,5539
,2022-23,1145,5364
,2021-22,1125,6010
Tomato,2023-24,76,491
,2022-23,77,469
,2021-22,73,442
Sweet Potato,2023-24,69,302
,2022-23,69,298
,2021-22,72,304
Sugar Crops (Temporary),2023-24,167,2934
,2022-23,172,2983
,2021-22,179,3087
Sugar Crops (Permanent),2023-24,82,475
,2022-23,70,522
,2021-22,100,471
Fruits (Temporary),2023-24,231,1673
,2022-23,224,1646
,2021-22,205,1634
Fruits (Permanent),2023-24,762,4336
,2022-23,666,4013
,2021-22,896,3700
