District/ Division,None,2022-23,None,None,None,None,2023-24,None,None,None,None
,,Area,,Area,,Area,Area,,Area,,Area
,,Acres,Hectors,"Acres
(Maun
d)","Hectors
(M.
Ton)",(M. Ton),Acres,Hectors,"Acres
(Maun
d)","Hectors
(M.
Ton)",(M. Ton)
39,Narail,101308,41013,29.28,2.700,110718,104343,42227,32.14,2.964,125164
40,Satkhira,213415,86403,33.55,3.093,267282,214115,86651,34.53,3.185,275977
Khulna Division,,1822899,737990,31.52,2.907,2145027,1845703,746946,33.20,3.062,2287223
41,Jamalpur,273420,110652,27.64,2.550,282125,275315,111418,33.98,3.134,349220
42,Mymensingh,644049,260643,28.80,2.656,692344,624410,252695,30.73,2.834,716181
43,Netrokona,323714,131005,30.23,2.788,365289,306223,123927,32.45,2.993,370957
44,Sherpur,225853,91401,27.49,2.536,231791,241422,97702,30.22,2.788,272353
"Mymensingh
Division",,1467036,593701,28.70,2.647,1571549,1447370,585743,31.63,2.917,1708711
45,Bogura,446251,180595,33.37,3.078,555785,444256,179788,34.27,3.161,568321
46,Joypurhat,165021,66783,31.61,2.915,194686,165358,66919,33.48,3.088,206671
47,Naogaon,486779,197076,30.04,2.770,545877,481000,194666,32.49,2.996,583283
48,Natore,215033,87058,30.09,2.774,241485,217885,88177,31.90,2.942,259457
49,"Chapai
Nawabganj",131146,53074,34.52,3.230,171431,132965,53810,36.08,3.328,179072
50,Pabna,217338,87955,24.07,2.220,195233,221456,89622,25.61,2.362,211690
51,Rajshahi,192334,77837,35.59,3.282,255478,197835,80063,36.07,3.327,266347
52,Sirajganj,207590,84045,30.33,2.797,235034,208971,84569,32.26,2.975,251635
Rajshahi Division,,2061492,834423,31.12,2.870,2395009,2069725,837614,32.70,3.016,2526476
53,Dinajpur,641304,259532,30.58,2.820,731951,640543,259224,32.64,3.010,780378
54,Gaibandha,314879,127430,27.63,2.548,324723,314202,127156,30.96,2.856,363144
55,Kurigram,296358,119934,31.58,2.913,349358,296768,120100,33.99,3.135,376512
56,Lalmonirhat,211057,85448,33.80,3.116,266260,213445,86380,34.67,3.198,276232
57,Nilphamari,279346,113050,30.27,2.792,315608,279503,113113,34.71,3.201,362111
58,Panchagar,246800,99879,34.37,3.170,316596,246567,99784,35.91,3.312,330507
59,Rangpur,407781,165027,30.26,2.791,460590,409266,165628,34.38,3.171,525225
60,Thakurgaon,338380,136996,31.64,2.917,399653,339058,137215,33.29,3.070,421282
Rangpur Divison,,2735905,1107296,30.99,2.858,3164739,2739352,1108601,33.60,3.099,3435392
61,Habiganj,218068,88251,28.79,2.655,234315,223781,90563,32.63,3.010,272564
62,Moulvibazar,250602,101417,33.04,3.048,309089,252060,102007,34.55,3.187,325077
63,Sunamganj,200865,81289,30.28,2.793,227024,196288,79437,31.89,2.941,233650
64,Sylhet,350212,141729,29.59,2.730,386865,352321,142582,31.16,2.874,409740
Sylhet Division,,1019747,412686,30.40,2.804,1157293,1024450,414589,32.45,2.993,1241030
,Bangladesh,14143347,5724822,29.22,2.695,15426395,14210095,5750755,31.40,2.896,16656263
