District/ Division,None,2021-21,None,2022-23,None,2023-24,None
,,"Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)","Area
(acre)","Production
(M.Ton)"
38,Meherpur,492.00,2309.08,485.00,2368.59,478.00,2336.76
39,Narail,473.00,1397.68,470.00,1373.53,462.00,1356.00
40,Satkhira,1392.20,8323.86,1396.33,8366.03,1401.56,8499.03
Khulna Division,,11105.52,51089.04,11000.17,51322.12,10947.47,52212.87
41,Jamalpur,856.00,2659.00,866.00,2713.00,872.00,2739.00
42,Mymensingh,2017.00,6387.00,2007.00,6237.00,2084.00,6517.00
43,Netrokona,289.00,774.00,311.00,878.00,307.00,835.00
44,Sherpur,430.00,1397.00,428.00,1305.00,430.00,1352.00
Mymensingh Division,,3592.00,11217.00,3612.00,11133.00,3693.00,11443.00
45,Bogura,910.80,4978.46,989.39,5431.70,930.71,5445.95
46,Joypurhat,455.00,1495.80,474.26,1776.78,476.77,1874.76
47,Naogaon,1210.95,6320.85,1163.35,6735.12,1118.40,6873.01
48,Natore,2336.05,10427.61,2262.16,11113.28,2264.30,11141.88
49,Chapai Nawabganj,610.00,2578.31,630.50,3298.18,624.75,3322.47
50,Pabna,3604.50,11451.57,3567.50,12346.32,3526.60,17822.84
51,Rajshahi,3365.84,20124.59,3335.53,18141.15,3376.28,18291.24
52,Sirajganj,228.52,462.63,193.49,370.42,202.69,379.49
Rajshahi Division,,12721.66,57839.82,12616.18,59212.95,12520.50,65151.64
53,Dinajpur,1043.50,4085.00,1020.00,4005.09,1024.00,3719.00
54,Gaibandha,772.00,2224.00,602.65,1627.46,628.00,1779.00
55,Kurigram,562.20,1815.99,541.91,1695.13,535.00,1679.00
56,Lalmonirhat,795.50,4252.24,790.00,4217.27,791.00,2673.00
57,Nilphamari,2409.00,8599.00,2436.56,8470.62,2404.00,8302.00
58,Panchagar,2040.00,6472.68,1879.00,5937.50,1828.00,5947.00
59,Rangpur,1336.00,4238.00,1342.00,4232.00,1338.00,4193.00
60,Tahkurgaon,831.20,3862.50,843.00,4711.18,853.00,4321.00
Rangpur Division,,9789.40,35549.41,9455.12,34896.25,9401.00,32613.00
61,Habigonj,269.00,1107.08,275.00,1176.83,267.00,808.00
62,Moulvibazar,357.00,1323.08,358.00,1323.84,362.00,1294.00
63,Sunamganj,215.00,999.00,205.00,947.00,206.00,951.00
64,Sylhet,97.00,163.59,259.00,1037.01,170.00,552.00
Sylhet Division,,938.00,3592.75,1097.00,4484.68,1005.00,3605.00
BANGLADESH,,65361.42,232219.80,66054.78,240026.13,65856.96,244124.09
