District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M. Tons)",None,None,"Production of Outside
Garden (M. Tons)",None,None,"Total Production of
Inside & Outside Garden
(M. Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
38,Meherpur,20.23,21.40,27.38,0.00,0.00,0.00,239.74,229.81,234.21,239.74,229.81,234.21
39,Narail,305.69,301.74,300.74,132.38,174.28,0.00,935.97,905.55,1085.48,1068.35,"1079.8
3","1085.4
8"
40,Satkhira,1468.12,1576.90,1575.62,781.88,685.77,698.58,3258.20,2484.59,2534.14,4040.08,"3170.3
6","3232.7
2"
Khulna Division,,4336.90,4541.78,4499.09,10739.66,"10988.6
0","10487.8
4",31793.48,"30852.0
9","30233.0
2","42533.1
4","41840.
69","40720.
86"
41,Jamalpur,45.00,61.00,60.00,0.00,0.00,0.00,132.00,144.00,125.00,132.00,144.00,125.00
42,Mymensingh,608.00,678.00,674.00,0.00,0.00,0.00,400.00,2528.00,2548.00,400.00,"2528.0
0","2548.0
0"
43,Netrokona,3.00,5.00,6.00,0.00,0.00,0.00,111.00,17.00,20.00,111.00,17.00,20.00
44,Sherpur,12.00,10.00,10.00,0.00,0.00,0.00,339.00,60.00,57.00,339.00,60.00,57.00
Mymensingh Division,,668.00,754.00,750.00,0.00,0.00,0.00,982.00,2749.00,2750.00,982.00,"2749.0
0","2750.0
0"
45,Bogura,298.97,292.12,253.32,0.00,0.00,0.00,5119.24,4910.17,4822.17,5119.24,"4310.1
7","4822.1
7"
46,Joypurhat,72.85,72.07,72.44,0.00,0.00,0.00,760.68,700.28,701.07,760.68,700.28,701.07
47,Naogaon,189.44,250.61,247.03,0.00,0.00,0.00,3794.08,4756.12,4740.20,3794.08,"4756.1
2","4740.2
0"
48,Natore,803.55,800.52,838.88,2882.96,3012.15,2917.01,28252.13,"32017.2
7","32283.5
5","31135.0
9","35029.
42","35200.
56"
49,Chapai Nawabganj,55.36,55.63,55.90,0.00,0.00,0.00,537.91,498.09,583.67,537.91,498.09,583.67
50,Pabna,842.90,168.92,158.90,0.00,0.00,0.00,3084.79,4399.33,4817.27,3084.79,"4399.3
3","4817.2
7"
51,Rajshahi,504.05,768.24,616.49,489.64,1014.57,501.14,22281.19,"29563.9
1","22393.4
2","22770.8
3","30578.
48","22894.
56"
52,Sirajganj,16.60,20.22,22.47,0.00,0.00,0.00,658.26,546.98,546.98,658.26,546.98,546.98
Rajshahi Division,,2783.72,2428.33,2265.43,3372.60,4026.72,3418.15,64488.28,"77392.1
5","70888.3
3","67860.8
8","81418.
87","74306.
48"
53,Dinajpur,69.00,70.00,71.00,0.00,0.00,0.00,507.00,492.00,807.00,507.00,492.00,807.00
54,Gaibandha,27.25,27.18,27.17,25.90,25.92,25.87,156.73,156.89,156.13,182.63,182.81,182.00
55,Kurigram,49.39,51.24,56.00,0.00,0.00,0.00,223.68,209.41,200.00,223.68,209.41,200.00
56,Lalmonirhat,11.66,12.67,13.01,0.00,0.00,0.00,137.42,138.20,95.37,137.42,138.20,95.37
57,Nilphamari,8.55,9.08,10.74,0.00,0.00,0.00,132.84,139.11,143.00,132.84,139.11,143.00
58,Panchagar,3.22,5.49,6.00,0.00,0.00,0.00,14.30,20.19,24.00,14.30,20.19,24.00
59,Rangpur,37.66,37.66,37.71,0.00,0.00,0.00,331.40,327.78,330.00,331.40,327.78,330.00
60,Tahkurgaon,66.44,6.43,6.67,1.41,1.81,3.90,91.17,97.49,84.10,92.58,99.30,88.00
Rangpur Division,,273.17,219.75,228.30,27.31,27.73,29.77,1594.54,1581.07,1839.60,1621.85,"1608.8
0","1869.3
7"
61,Habigonj,50.32,52.44,54.58,0.00,0.00,0.00,22.00,0.20,13.49,22.00,0.20,13.49
62,Moulvibazar,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
63,Sunamganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,Sylhet,0.73,0.73,10.65,0.00,0.00,0.00,0.63,0.53,10.65,0.63,0.53,10.65
Sylhet Division,,51.05,53.17,65.23,0.00,0.00,0.00,22.63,0.73,24.14,22.63,0.73,24.14
BANGLADESH,,"39057.7
4","17673.5
0","17555.6
9",16171.69,"15647.6
4","14149.5
9","136391.9
4","152145.
11","143833.
93","152563.
63","167792
.75","158083
.52"
