District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of
Inside & Outside Garden
(M. Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
41,Jamalpur,43.00,56.00,52.00,0.00,0.00,0.00,10.57,12.00,40.00,10.57,12.00,40.00
42,Mymensingh,23.00,22.00,23.00,0.00,0.00,0.00,49.76,47.00,48.00,49.76,47.00,48.00
43,Netrokona,1.30,1.30,1.30,0.00,0.00,0.00,4.30,4.00,4.00,4.30,4.00,4.00
44,Sherpur,15.00,15.00,15.00,0.00,0.00,0.00,71.56,62.00,56.00,71.56,62.00,56.00
Mymensingh Division,,82.30,94.30,91.30,0.00,0.00,0.00,136.19,125.00,148.00,136.19,125.00,148.00
45,Bogura,110.00,284.00,264.40,0.00,0.00,0.00,615.60,627.98,874.81,615.60,627.98,874.81
46,Joypurhat,25.00,25.00,38.61,0.00,0.00,0.00,272.00,278.97,293.00,272.00,275.97,293.00
47,Naogaon,178.00,178.00,236.05,0.00,0.00,0.00,2409.00,2419.33,3436.16,2409.00,2419.33,3436.16
48,Natore,194.00,193.00,195.30,0.00,0.00,0.00,2016.66,2019.31,1223.72,2016.66,2019.31,1223.72
49,Chapai Nawabganj,143.00,143.00,89.69,0.00,0.00,0.00,610.27,609.07,924.90,610.27,609.07,924.90
50,Pabna,157.00,157.00,48.05,0.00,0.00,0.00,655.62,653.96,553.13,655.62,653.96,553.13
51,Rajshahi,395.00,395.00,390.34,0.00,0.00,0.00,3538.99,3547.78,3367.25,3538.99,3547.78,3367.25
52,Sirajganj,3.00,65.00,61.93,0.00,0.00,0.00,23.00,30.81,25.90,23.00,30.80,25.90
Rajshahi Division,,1205.00,1440.00,1324.37,0.00,0.00,0.00,10141.14,10184.21,10698.87,10141.14,10184.21,10698.87
53,Dinajpur,45.00,47.00,48.74,0.00,0.00,0.00,189.00,180.00,299.80,189.00,180.00,299.80
54,Gaibandha,7.60,8.03,8.41,0.00,0.00,0.00,25.98,26.55,25.47,25.98,26.55,25.47
55,Kurigram,2.47,2.50,3.00,0.00,0.00,0.00,6.14,6.15,6.00,6.14,6.15,6.00
56,Lalmonirhat,17.54,18.84,19.11,0.00,0.00,0.00,151.25,160.40,164.33,151.25,160.40,164.33
57,Nilphamari,1.98,1.95,2.11,0.00,0.00,0.00,18.49,21.09,21.65,18.49,21.09,21.65
58,Panchagar,0.81,2.93,3.57,0.00,0.00,0.00,1.50,2.75,2.03,1.50,2.75,2.03
59,Rangpur,13.52,16.21,17.25,0.00,0.00,0.00,113.55,124.50,261.08,113.55,124.50,261.08
60,Tahkurgaon,1.27,1.49,1.49,0.00,0.00,0.00,16.15,21.95,22.25,16.15,21.95,22.25
Rangpur Division,,90.19,98.95,103.68,0.00,0.00,0.00,522.06,543.39,802.61,522.06,543.39,802.61
61,Habigonj,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,2.71,2.71,2.78,0.00,0.00,0.00,16.90,17.40,19.00,16.90,17.40,19.00
63,Sunamganj,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,Sylhet,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sylhet Division,,2.71,2.71,2.78,0.00,0.00,0.00,16.90,17.40,19.00,16.90,17.40,19.00
BANGLADESH,,10238.17,9456.76,9337.24,603.86,788.94,654.44,56296.34,57821.16,60543.23,56900.20,58610.10,61197.67
