District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of Inside &
Outside Garden (M. Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
42,Mymensingh,6045,6116.00,6143.00,2241.75,2241.34,2802.96,4737.25,4686.66,4272.04,6979,6928,7075.00
43,Netrokona,1296,1303.00,1296.00,198.59,194.69,209.94,1700.41,1617.31,1617.06,1899,1812,1827.00
44,Sherpur,1402,1400.00,1400.00,13.38,13.2,17.54,2054.62,2084.8,2107.46,2068,2098,2125.00
Mymensingh Division,,10702,10759.00,10759.00,3077.91,3070.1,3651.30,10694.09,10626.9,10236.00,13772,13697,13887.30
45,Bogura,220,220.00,218.00,29.95,30.37,19.25,628.56,637.63,679.78,658.51,668,699.03
46,Joypurhat,33,40.00,60.00,15.07,19.31,20.02,58.12,63.69,78.80,73.19,83,98.82
47,Naogaon,43,43.00,46.00,10.78,6.58,6.58,215.6,116.42,127.31,226.38,123,133.89
48,Natore,415,581.00,591.00,633.72,530.68,535.09,1503.13,1385.32,1477.32,2136.85,1916,2012.41
49,Chapai Nawabganj,12,12.00,13.00,0,0,0.00,19,19,20.00,19,19,20.00
50,Pabna,188,184.00,187.00,351.24,168.6,270.58,690.76,457.4,771.42,1042,626,1042.00
51,Rajshahi,157,154.00,164.00,285.03,291.7,292.17,617.83,602.3,582.01,902.86,894,874.18
52,Sirajganj,70,66.00,68.00,0,0,0.00,179,209,239.00,179,209,239.00
Rajshahi Division,,1138,1300.00,1347.00,1325.79,1047.24,1143.69,3912,3490.76,3975.64,5237.79,4538,5119.33
53,Dinajpur,156,155.00,160.25,305.98,305.7,308.39,759.02,782.3,808.20,1065,1088,1116.59
54,Gaibandha,865,810.47,867.17,2629.92,2221.05,1892.37,1732.08,2129.85,2397.78,4362,4350.9,4290.15
55,Kurigram,1665.70,2591.81,2476.00,7390.94,6680.02,7091.10,2439.06,2877.01,3534.90,9830,9557.03,10626.00
56,Lalmonirhat,1019,1020.29,1022.11,1603.62,1645.79,1678.52,716.38,780.67,797.59,2320,2426.46,2476.11
57,Nilphamari,391,400.06,406.79,1836.79,1655.16,1574.89,611.21,727.14,717.98,2448,2382.3,2292.87
58,Panchagar,613,627.01,627.01,2274.65,2415.45,2415.45,921.35,905,905.00,3196,3320.45,3320.45
59,Rangpur,549,554.41,565.30,1658.01,1569.7,1603.75,1073.99,1160.1,1182.90,2732,2729.8,2786.65
60,Thakurgaon,41,41.63,41.53,29.39,30.52,30.96,99.61,104.7,106.56,129,135.22,137.52
Rangpur Divison,,5299.70,6200.68,6166.16,17729.3,16523.39,17195.43,8352.7,9466.77,"10930.9
1",26082,25990.16,28126.34
61,Habiganj,224.55,226.97,227.24,46.81,51.02,39.09,922.69,945.78,933.09,969.50,996.80,972.18
62,Moulvibazar,1136.01,940.97,941.42,739.14,666.11,594.58,2488.15,2216.06,1974.26,3227.29,2882.17,2568.84
63,Sunamganj,519.80,519.80,504.00,0,0,0.00,1435.78,1435.78,1447.45,1435.78,1435.78,1447.45
64,Sylhet,2250,2317.00,2261.00,4385.41,4081.84,4060.97,2389.59,3102.16,2820.03,6775,7184,6881.00
Sylhet Division,,4130.36,4004.74,3933.66,5171.36,4798.97,4694.64,7236.21,7699.78,7174.83,12407.57,12498.75,11869.47
BANGLADESH,,96757.10,96993.23,97993.23,243494.82,217595,229037.95,90229.24,123991.18,126991.18,333724.06,341586.02,356029.13
