District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of Inside
& Outside Garden (M.
Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
42,Mymensingh,6951,6994.00,7012.00,909,954.61,954.61,21864,22911.39,22911.39,22773,23866.00,23866.00
43,Netrokona,4375,4519.00,4657.00,149,102.40,102.40,29539,30324.60,30324.60,29688,30427.00,30427.00
44,Sherpur,2353,2365.00,2370.00,214,221.21,221.21,11373,11443.79,11443.79,11587,11665.00,11665.00
Mymensingh Division,,16314,16533.00,16705.00,1591,1623.04,1623.04,75423,77487.96,77487.96,77014,79111.00,79111.00
45,Bogura,3422,3428.41,3682.32,618,1785.03,1424.40,24053,23609.58,27655.55,24671,25394.61,29079.95
46,Joypurhat,833,842.12,847.44,500,481.91,578.14,5479,4944.05,5742.88,5979,5425.96,6321.02
47,Naogaon,29488,42412.08,58678.81,33298,322475.19,346122.37,14863,24064.12,24371.89,48161,346539.31,370494.26
48,Natore,3881,7739.88,7767.69,8359,18788.14,18190.24,13297,18072.50,19006.79,21656,36860.64,37197.03
49,Chapai Nawabganj,65905,66133.47,82502.3,130699,103518.44,378567.63,14062,13835.24,31598.29,144761,117353.68,410165.92
50,Pabna,2305,2352.00,2380.95,7341,7402.15,7703.36,27747,28707.42,29045.22,35088,36109.57,36748.58
51,Rajshahi,35764,36147.31,36925.93,161357,159518.28,165602.95,78926,76774.91,77387.63,240283,236293.19,242990.58
52,Sirajganj,764,744.63,749.01,363,404.42,450.13,20951,19943.41,21650.75,21314,20347.83,22100.88
Rajshahi Division,,142362,159799.90,193534.45,342535,614373.56,918639.22,199378,209951.23,236459.00,541913,824324.79,1155098.22
53,Dinajpur,9310,7302.00,6627.00,16627,15371.31,17039.35,28206,23662.69,22085.16,44833,39034.00,39124.51
54,Gaibandha,1807,1694.36,1533.89,48,72.44,70.26,13837,13694.45,13879.56,13885,13766.89,13949.82
55,Kurigram,863,770.79,774.00,626,565.32,593.47,11039,12041.06,11549.53,11665,12606.38,12143.00
56,Lalmonirhat,905,907.83,913.03,2298,2293.99,2324.18,3437,3418.51,3452.53,5735,5712.50,5776.71
57,Nilphamari,687,684.09,670.17,1302,1178.35,1178.35,9149,8284.07,8278.15,10451,9462.42,9456.50
58,Panchagar,1901,1930.10,2019.34,5789,5754.44,5899.28,9720,9653.44,10213.78,15509,15407.88,16113.06
59,Rangpur,976,1100.36,1211.28,6570,6234.41,6499.08,17255,16364.59,17254.64,23825,22599.00,23753.72
60,Thakurgaon,3725,4149.45,4142.4,12201,12078.81,13020.88,18468,18228.96,17827.12,30669,30307.77,30848.00
Rangpur Divison,,20174,18538.98,17891.11,45461,43549.07,46624.85,111111,105347.77,104540.47,156572,148896.84,151165.32
61,Habiganj,13353,12691.36,12344.26,1206,429.77,449.80,21850,19001.98,15935.45,23056,19431.75,16385.25
62,Moulvibazar,1065,765.38,769.81,169,160.09,167.45,5968,5226.01,5214.30,6137,5386.10,5381.75
63,Sunamganj,1394,1397.00,1400.00,0,0.00,0.00,6122,6133.00,6412.00,6122,6133.00,6412.00
64,Sylhet,1557,1497.00,1498.00,310,568.21,606.59,4398,7451.79,8407.41,4708,8020.00,9014.00
Sylhet Division,,17369,16350.74,16012.07,1685,1158.07,1223.84,38338,37812.78,35969.16,40023,38970.85,37193.00
BANGLADESH,,299054,306274.32,391464.86,473460,740644.71,1065040.03,733986,742292.33,834720.86,1207446,1482937.04,1842653.78
