District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of
Inside & Outside Garden
(M.Tons )",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
41,Jamalpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,Mymensingh,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
43,Netrokona,1.05,2.00,2.00,0.76,0.78,0.81,0.24,0.22,0.19,1.00,1.00,1.00
44,Sherpur,10.80,13.00,14.00,0.00,14.22,16.99,0.00,0.78,0.01,0.00,15.00,17.00
Mymensingh Division,,11.85,15.00,16.00,0.76,15.00,17.80,0.24,1.00,0.20,1.00,16.00,18.00
45,Bogura,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,Joypurhat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,Naogaon,1.28,4.41,15.00,0.00,4.16,17.00,0.47,0.00,0.00,0.47,4.16,17.00
48,Natore,0.00,18.02,3.00,0.00,6.36,8.00,0.00,0.00,0.00,0.00,6.36,8.00
49,Chapai Nawabganj,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,Pabna,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,Rajshahi,16.32,6.00,6.00,18.48,27.93,32.13,0.52,0.07,0.87,19.00,28.00,33.00
52,Sirajganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rajshahi Division,,17.60,28.43,25.00,18.48,38.45,57.13,0.99,0.07,0.87,19.47,38.52,58.00
53,Dinajpur,0.00,3.00,15.00,0.00,6.89,24.24,0.00,0.11,0.76,0.00,7.00,25.00
54,Gaibandha,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
55,Kurigram,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
56,Lalmonirhat,2.77,1.02,1.05,6.79,6.82,6.75,1.07,0.00,1.09,7.86,6.82,7.84
57,Nilphamari,8.52,4.08,4.48,1.62,1.55,1.46,10.07,10.45,10.23,11.69,12.00,11.69
58,Panchagar,103.56,72.68,53.00,46.62,48.96,60.94,15.81,17.68,27.06,62.43,66.64,88.00
59,Rangpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
60,Thakurgaon,36.41,16.32,16.37,9.46,29.17,29.49,4.60,8.81,8.89,14.06,37.98,38.38
Rangpur Divison,,151.26,97.10,89.90,64.49,93.39,122.88,31.55,37.05,48.03,96.04,130.44,170.91
61,Habiganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,397.66,233.42,232.80,154.47,156.43,125.33,131.53,131.96,107.38,286.00,288.39,232.71
63,Sunamganj,1.36,2.00,2.00,0.00,0.00,0.00,2.00,2.00,2.00,2.00,2.00,2.00
64,Sylhet,123.08,209.38,188.00,46.83,4.48,37.60,168.31,2.66,143.40,215.14,7.14,181.00
Sylhet Division,,522.10,444.80,422.80,201.30,160.91,162.93,301.84,136.62,252.78,503.14,297.53,415.71
BANGLADESH,,2188.14,2439.45,2435.62,2708.20,2925.52,3089.53,842.48,690.91,864.31,3550.68,3616.43,3953.84
