col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
38,Meherpur,17,21.42,21.35,0,0.00,0.00,27,28.99,28.83,27,28.99,28.83
39,Narail,69,72.94,72.95,112.15,0.00,0.00,225,339.88,341.18,337,339.88,341.18
40,Satkhira,242,240.64,230.07,57,0.00,0.00,392,454.22,461.15,449.13,454.22,461.15
Khulna Division,None,858,868.36,831.48,201.85,13.01,0.00,4689.08,4738.85,4490.90,4890.93,4751.86,4490.90
41,Jamalpur,5,5.00,7.00,0,0.00,0.00,12,14.00,19.00,12,14.00,19.00
42,Mymensingh,10,10.00,11.00,0,0.00,0.00,9,10.00,10.00,9,10.00,10.00
43,Netrokona,4,6.00,8.00,0,0.00,0.00,12,17.00,23.00,12,17.00,23.00
44,Sherpur,3.57,4.00,4.00,0,0.00,0.00,9,10.00,10.00,9,10.00,10.00
Mymensingh Division,None,22.57,25.00,30.00,0,0.00,0.00,42,51.00,62.00,42,51.00,62.00
45,Bogura,7.98,13.89,13.40,0,0.00,0.00,21.52,77.88,62.67,21.52,77.88,62.67
46,Joypurhat,6.24,6.29,6.67,0,0.00,0.00,32.59,29.88,29.67,32.59,29.88,29.67
47,Naogaon,24.33,23.72,14.01,0,0.00,0.00,59.22,60.66,78.07,59.22,60.66,78.07
48,Natore,4.18,20.03,24.54,0,0.00,0.00,28.45,59.73,64.61,28.45,59.73,64.61
49,Chapai Nawabganj,0.35,0.36,0.88,0,0.00,0.00,1.89,2.02,2.59,1.89,2.02,2.59
50,Pabna,8.99,9.23,9.45,0,0.00,0.00,82.99,85.90,89.18,82.99,85.90,89.18
51,Rajshahi,17.77,17.67,17.82,0,0.00,0.00,84.59,70.89,70.28,84.59,70.89,70.28
52,Sirajganj,5.70,6.03,6.00,11,0.00,0.00,37.67,51.23,53.24,48.67,51.23,53.24
Rajshahi Division,None,75.54,97.22,92.77,11,0.00,0.00,348.92,438.19,450.31,359.92,438.19,450.31
53,Dinajpur,4,3.57,5.28,0,0.00,0.00,12,11.86,11.30,12,11.86,11.30
54,Gaibandha,4.55,4.91,5.28,0,0.00,0.00,1,1.24,1.72,1,1.24,1.72
55,Kurigram,3.88,3.14,3.20,0,0.00,0.00,18.27,16.89,17.17,18.27,16.89,17.17
56,Lalmonirhat,3.35,3.65,3.95,0,0.00,0.00,8,8.51,9.12,8,8.51,9.12
57,Nilphamari,4.74,4.94,4.88,0,0.00,0.00,40.37,42.75,44.48,40.37,42.75,44.48
58,Panchagar,24.75,24.80,26.43,0,0.00,0.00,122,119.17,119.00,122,119.17,119.00
59,Rangpur,8.97,8.98,10.47,0,0.00,0.00,16.49,17.84,29.14,16.49,17.84,29.14
60,Thakurgaon,1,0.91,1.11,0,0.00,0.00,4.50,4.60,4.80,4.50,4.60,4.80
Rangpur Divison,None,55.24,54.90,60.60,0,0.00,0.00,222.63,222.86,236.73,222.63,222.86,236.73
61,Habiganj,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
62,Moulvibazar,7.26,9.97,13.14,0,0.00,0.00,28.35,30.30,11.25,28.35,30.30,11.25
63,Sunamganj,331,333.00,35.00,0,0.00,0.00,118,55.00,57.00,118,55.00,57.00
64,Sylhet,12.35,8.45,8.45,0,0.00,0.00,7.76,38.06,9.92,7.76,38.06,9.92
Sylhet Division,None,350.61,351.42,56.59,0,0.00,0.00,154.11,123.36,78.17,154.11,123.36,78.17
BANGLADESH,None,6147.47,5952.58,3399.18,926.16,213.22,122.98,12437.02,12897.19,12523.67,13363.18,13110.41,12646.65
