District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden(M.Tons)",None,None,"Total Production of Inside
& Outside Garden
(M. Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
41,Jamalpur,787,791.00,821.00,0,0.00,0.00,2129,2006.00,2160.00,2129,2006.00,2160.00
42,Mymensingh,1237,1242.00,1210.00,0,0.00,0.00,3719,3740.00,3601.00,3719,3740.00,3601.00
43,Netrokona,399,404.00,455.00,0,0.00,0.00,1696,1872.00,1960.00,1696,1872.00,1960.00
44,Sherpur,200,203.00,204.00,0,0.00,0.00,915,927.00,916.00,915,927.00,916.00
Mymensingh Division,,2623,2640.00,2690.00,0,0.00,0.00,8459,8545.00,8637.00,8459,8545.00,8637.00
45,Bogura,109.69,112.04,120.14,0,0.00,0.00,704,713.36,795.28,704,713.36,795.28
46,Joypurhat,57.03,57.39,52.80,0,0.00,0.00,259.39,240.88,240.16,259.39,240.88,240.16
47,Naogaon,132.32,78.42,79.60,0,0.00,0.00,483.06,490.15,536.97,483.06,490.15,536.97
48,Natore,189.68,245.84,251.11,0,0.00,0.00,797.10,847.80,992.15,797.10,847.80,992.15
49,Chapai Nawabganj,73.70,74.70,75.95,0,0.00,0.00,113.93,124.37,127.51,113.93,124.37,127.51
50,Pabna,191.94,192.54,183.38,0,0.00,0.00,834.16,847.51,1070.79,834.16,847.51,1070.79
51,Rajshahi,142.24,141.98,143.77,0,0.00,0.00,576.27,462.71,473.84,576.27,462.71,473.84
52,Sirajganj,51.64,52.21,52.10,0,0.00,0.00,585.30,593.07,569.63,585.30,593.07,569.63
Rajshahi Division,,948.24,955.12,958.85,0,0.00,0.00,4353.34,4319.85,4806.33,4353.34,4319.85,4806.33
53,Dinajpur,108,122.00,129.42,0,0.00,0.00,510,452.00,422.00,510,452.00,422.00
54,Gaibandha,91.17,73.34,73.34,0,0.00,0.00,322.92,460.40,467.04,322.92,460.40,467.04
55,Kurigram,186.72,162.44,163.00,0,0.00,0.00,1523.94,1530.00,1541.00,1523.94,1530.00,1541.00
56,Lalmonirhat,38.81,40.44,41.56,0,0.00,0.00,186.71,255.71,264.72,186.71,255.71,264.72
57,Nilphamari,134.55,131.51,134.66,0,0.00,0.00,627.87,638.71,618.17,627.87,638.67,618.17
58,Panchagar,136.43,94.17,95.76,0,0.00,0.00,480.70,576.48,591.12,480.70,576.48,591.12
59,Rangpur,86.71,86.23,87.15,0,0.00,0.00,815.54,791.26,823.44,815.54,791.26,823.44
60,Thakurgaon,46.21,46.33,46.54,0,0.00,0.00,511.43,519.58,523.60,511.43,519.58,523.60
Rangpur Divison,,828.60,756.46,771.43,0,0.00,0.00,4979.11,5224.10,5251.09,4979.11,5224.10,5251.09
61,Habiganj,240.35,251.00,271.00,17.47,17.50,8.25,2075.62,2082.50,2021.07,2093.09,2100.00,2029.32
62,Moulvibazar,144.51,145.00,145.00,0,0.00,0.00,416.92,415.95,418.63,416.92,415.95,418.63
63,Sunamganj,453,449.00,423.00,0,0.00,0.00,3418,3149.00,3001.00,3418,3149.00,3001.00
64,Sylhet,337.27,306.00,292.00,0,0.00,0.00,281.24,282.67,281.85,281.24,282.67,281.85
Sylhet Division,,1175.13,1151.00,1331.00,17.47,17.50,8.25,6191.78,5947.62,5722.55,6209.25,5965.12,5730.80
BANGLADESH,,13357.29,12626.15,12824.85,951.13,858.43,687.01,53184.75,52485.50,52506.84,54135.88,53343.93,53193.85
