District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of Inside &
Outside Garden
(M. Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
42,Mymensingh,249.00,149.00,254.00,0.00,0.00,0.00,941.00,970.00,990.00,941.00,970.00,990.00
43,Netrokona,49.00,48.00,49.00,0.00,0.00,0.00,351.00,311.00,325.00,351.00,311.00,325.00
44,Sherpur,47.59,48.00,48.00,0.00,0.00,0.00,446.00,342.00,445.00,446.00,342.00,445.00
Mymensingh Division,,447.59,349.00,457.00,0.00,0.00,0.00,2198.00,2103.00,2257.00,2198.00,2103.00,2257.00
45,Bogura,32.00,35.00,84.00,0.00,0.00,0.00,204.00,255.00,266.00,204.00,255.00,266.00
46,Joypurhat,20.00,20.00,47.00,0.00,0.00,0.00,132.00,139.00,140.00,132.00,139.00,140.00
47,Naogaon,45.00,36.00,36.00,0.00,0.00,0.00,389.00,482.00,501.00,389.00,482.00,501.00
48,Natore,36.00,41.00,43.00,2.42,0.00,0.00,249.58,266.00,301.00,252.00,266.00,301.00
49,Chapai Nawabganj,5.00,5.00,7.00,0.00,0.00,0.00,10.00,12.00,13.00,10.00,12.00,13.00
50,Pabna,11.00,12.00,7.00,0.00,0.00,0.00,78.00,78.00,86.00,78.00,78.00,86.00
51,Rajshahi,82.00,126.00,84.00,0.00,0.00,0.25,296.00,62.75,300.00,296.00,63.00,300.00
52,Sirajganj,11.00,12.00,14.00,0.00,0.00,0.00,166.00,174.00,177.00,166.00,174.00,177.00
Rajshahi Division,,242.00,287.00,322.00,2.42,0.00,0.25,1524.58,1468.75,1784.00,1527.00,1469.00,1784.25
53,Dinajpur,48.00,48.00,47.32,0.00,0.00,0.00,333.00,325.00,346.48,333.00,325.00,346.48
54,Gaibandha,27.92,23.47,19.95,0.00,0.00,13.53,157.11,161.10,152.46,157.11,161.10,165.99
55,Kurigram,23.91,24.15,24.00,0.00,0.00,0.00,150.10,119.13,119.00,150.10,119.13,119.00
56,Lalmonirhat,162.53,163.41,162.73,0.00,0.00,0.00,345.91,348.61,340.24,345.91,348.61,340.00
57,Nilphamari,44.05,44.05,46.51,0.00,0.00,0.00,352.74,352.74,342.63,352.74,352.74,342.63
58,Panchagar,43.72,40.30,39.00,0.00,0.00,0.00,168.70,168.85,170.00,168.70,168.85,170.00
59,Rangpur,17.52,18.97,19.31,0.00,0.00,0.00,222.00,243.68,245.67,222.00,243.68,245.67
60,Thakurgaon,18.04,18.00,18.00,0.00,0.00,0.00,241.53,268.65,260.64,241.53,268.65,260.64
Rangpur Divison,,385.69,380.35,376.82,0.00,0.00,13.53,1971.09,1987.76,1977.12,1971.09,1987.76,1990.65
61,Habiganj,17.85,19.14,22.20,0.00,0.00,0.00,41.06,40.36,33.21,41.06,40.36,33.21
62,Moulvibazar,113.98,132.48,128.48,0.00,0.00,0.00,671.26,720.83,615.29,671.26,720.83,615.29
63,Sunamganj,83.00,84.00,84.20,0.00,0.00,0.00,179.00,186.00,196.00,179.00,186.00,196.00
64,Sylhet,219.58,221.71,188.42,53.79,58.99,58.86,299.38,298.72,298.72,353.17,357.71,357.58
Sylhet Division,,434.41,457.33,423.30,53.79,58.99,58.86,1190.70,1245.91,1143.22,1244.49,1304.90,1202.08
BANGLADESH,,3961.16,3832.83,3010.16,93.38,99.39,102.91,14838.19,14492.49,14794.41,14931.57,14591.88,14897.32
