District/ Division,None,"Area Under Garden
(acre)",None,None,"Production of Inside
Garden (M.Tons)",None,None,"Production of Outside
Garden (M.Tons)",None,None,"Total Production of Inside
& Outside Garden
(M. Tons)",None,None
,,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24,2021-22,2022-23,2023-24
40,Satkhira,44.41,44.31,44.31,0.00,0.00,0.00,38.35,38.09,38.09,38.35,38.09,38.09
Khulna Division,,109.42,127.75,127.75,0.00,0.00,0.00,293.66,297.90,306.23,293.66,297.90,306.23
41,Jamalpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
42,Mymensingh,13.00,13.00,13.00,0.00,0.00,0.00,15.00,16.00,16.00,15.00,16.00,16.00
43,Netrokona,6.00,7.00,7.00,0.00,0.00,0.00,14.00,17.00,17.00,14.00,17.00,17.00
44,Sherpur,1.30,1.00,1.00,0.00,0.00,0.00,2.00,2.00,2.00,2.00,2.00,2.00
Mymensingh Division,,20.30,21.00,21.00,0.00,0.00,0.00,31.00,35.00,32.00,31.00,35.00,32.00
45,Bogura,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
46,Joypurhat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
47,Naogaon,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
48,Natore,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
49,Chapai Nawabganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
50,Pabna,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
51,Rajshahi,5.00,5.00,5.00,0.00,0.00,0.00,10.00,8.00,8.00,10.00,8.00,8.00
52,Sirajganj,14.00,14.00,14.00,0.00,0.00,0.00,2.37,3.00,3.00,2.37,3.00,3.00
Rajshahi Division,,19.00,19.00,19.00,0.00,0.00,0.00,12.37,11.00,12.50,12.37,11.00,12.50
53,Dinajpur,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
54,Gaibandha,0.95,1.20,1.20,0.00,0.00,0.00,2.26,2.7,2.7,2.26,2.7,2.7
55,Kurigram,9.25,9.43,9.43,0.00,0.00,0.00,29.69,30.15,30.15,29.69,30.15,30.15
56,Lalmonirhat,5.79,6.03,6.03,0.00,0.00,0.00,11.02,10.26,10.26,11.02,10.26,10.26
57,Nilphamari,5.15,5.36,5.36,0.00,0.00,0.00,18.49,19.06,19.06,18.49,19.06,19.06
58,Panchagar,49.10,41.83,41.83,22.40,22.45,22.45,36.32,36.83,36.83,58.72,59.28,59.28
59,Rangpur,2.02,2.11,2.11,0.00,0.00,0.00,5.00,6.42,6.42,5.00,6.42,6.42
60,Thakurgaon,1.64,1.64,1.64,0.00,0.00,0.00,7.00,7.35,7.35,7.00,7.35,7.35
Rangpur Divison,,73.90,67.60,67.60,22.40,22.45,23.79,109.78,112.77,141.42,132.18,135.22,165.22
61,Habiganj,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
62,Moulvibazar,2.25,2.27,2.27,0.00,0.00,0.00,13.39,13.68,13.68,13.39,13.68,13.68
63,Sunamganj,4.00,4.90,4.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
64,Sylhet,7.31,7.87,7.87,0.00,0.00,0.00,21.12,8.56,8.56,21.12,8.56,8.56
Sylhet Division,,13.56,15.04,15.04,0.00,0.00,0.00,34.51,22.24,27.49,34.51,22.24,27.24
BANGLADESH,,1638.84,1456.41,1453.37,135.53,135.65,141.71,2473.83,2299.25,2299.25,2609.36,2434.90,2700.79
