District,Year,Hectares,Production_MT
Bhola,2016-17,104125.0,287653.0
Bhola,2017-18,124900.0,349600.0
Jhalakathi,2016-17,8720.0,22442.0
Jhalakathi,2017-18,8700.0,24100.0
Patuakhali,2016-17,46461.0,118280.0
Patuakhali,2017-18,100750.0,272565.0
Pirojpur,2016-17,5888.0,14011.0
Pirojpur,2017-18,9507.0,26303.0
"Barishal
Division",2016-17,236139.0,624239.0
"Barishal
Division",2017-18,326537.0,900815.0
Bandarban,2016-17,9473.0,24169.0
Bandarban,2017-18,11160.0,31125.0
Brahmanbaria,2016-17,42178.0,112473.0
Brahmanbaria,2017-18,42010.0,116168.0
Chandpur,2016-17,21092.0,50564.0
Chandpur,2017-18,21195.0,55455.0
Chattogram,2016-17,143185.0,426730.0
Chattogram,2017-18,145185.0,404635.0
Cumilla,2016-17,97642.0,240832.0
Cumilla,2017-18,98835.0,275112.0
Cox' Bazar,2016-17,71541.0,188994.0
Cox' Bazar,2017-18,73385.0,207700.0
Feni,2016-17,59072.0,164444.0
Feni,2017-18,58105.0,162971.0
Khagrachari,2016-17,24873.0,72041.0
Khagrachari,2017-18,26023.0,72933.0
Laksmipur,2016-17,62682.0,172296.0
Laksmipur,2017-18,67815.0,187972.0
Noakhali,2016-17,44789.0,120676.0
Noakhali,2017-18,93375.0,244913.0
Rangamati,2016-17,9608.0,27376.0
Rangamati,2017-18,8906.0,24766.0
"Chattogram
Division",2016-17,586135.0,1600593.0
"Chattogram
Division",2017-18,645994.0,1783750.0
Dhaka,2016-17,6016.0,16149.0
Dhaka,2017-18,8117.0,22550.0
Faridpur,2016-17,50879.0,137461.0
Faridpur,2017-18,62017.0,173342.0
Gazipur,2016-17,37391.0,91085.0
Gazipur,2017-18,38080.0,105790.0
Gopalgonj,2016-17,5152.0,11097.0
Gopalgonj,2017-18,7255.0,20239.0
Kishoregonj,2016-17,70579.0,188078.0
Kishoregonj,2017-18,71568.0,203421.0
Madaripur,2016-17,4886.0,12844.0
Madaripur,2017-18,5832.0,16327.0
Manikgonj,2016-17,4346.0,10804.0
Manikgonj,2017-18,6645.0,18674.0
Munsigonj,2016-17,194.0,496.0
Munsigonj,2017-18,510.0,1395.0
Narayanganj,2016-17,2091.0,4821.0
Narayanganj,2017-18,2305.0,6420.0
Narsingdi,2016-17,29390.0,69075.0
Narsingdi,2017-18,31365.0,86036.0
Rajbari,2016-17,39108.0,110205.0
Rajbari,2017-18,42886.0,121395.0
Shariatpur,2016-17,2329.0,5037.0
Shariatpur,2017-18,1937.0,5391.0
Tangail,2016-17,76615.0,197450.0
Tangail,2017-18,68438.0,191560.0
"Dhaka
Division",2016-17,328977.0,854601.0
"Dhaka
Division",2017-18,346955.0,972540.0
Bagerhat,2016-17,26627.0,71201.0
Bagerhat,2017-18,29745.0,82160.0
Chuadanga,2016-17,36330.0,101369.0
Chuadanga,2017-18,33840.0,96120.0
Jashore,2016-17,121676.0,343546.0
Jashore,2017-18,124790.0,352592.0
Jhenaidah,2016-17,88447.0,266450.0
Jhenaidah,2017-18,99155.0,277473.0
Khulna,2016-17,66102.0,189197.0
Khulna,2017-18,67265.0,166090.0
Kustia,2016-17,81564.0,224951.0
Kustia,2017-18,83322.0,230692.0
Magura,2016-17,56251.0,149950.0
Magura,2017-18,56430.0,157682.0
Meherpur,2016-17,23856.0,72439.0
Meherpur,2017-18,25595.0,71523.0
Narail,2016-17,21311.0,56101.0
Narail,2017-18,28205.0,79620.0
Satkhira,2016-17,85024.0,258727.0
Satkhira,2017-18,83075.0,230671.0
"Khulna
Division",2016-17,607187.0,1733931.0
"Khulna
Division",2017-18,631422.0,1744623.0
Jamalpur.,2016-17,76788.0,204696.0
Jamalpur.,2017-18,66840.0,189814.0
Mymensingh,2016-17,216757.0,575815.0
Mymensingh,2017-18,214185.0,601596.0
Netrokona,2016-17,98143.0,259812.0
Netrokona,2017-18,86510.0,242386.0
Sherpur,2016-17,51255.0,132186.0
Sherpur,2017-18,58850.0,172810.0
"Mymensing
h Division",2016-17,442942.0,1172509.0
"Mymensing
h Division",2017-18,426385.0,1206606.0
Bogra,2016-17,175439.0,483854.0
Bogra,2017-18,156880.0,438273.0
Joypurhat,2016-17,66926.0,195073.0
Joypurhat,2017-18,69820.0,196705.0
Naogaon,2016-17,180110.0,547407.0
Naogaon,2017-18,138077.0,387278.0
Natore,2016-17,56387.0,170856.0
Natore,2017-18,55773.0,156469.0
"Chapai
Nawabgonj",2016-17,47791.0,137405.0
"Chapai
Nawabgonj",2017-18,45028.0,125128.0
Pabna,2016-17,50819.0,145595.0
Pabna,2017-18,51437.0,144346.0
Rajshahi,2016-17,68416.0,202573.0
Rajshahi,2017-18,69218.0,193069.0
Sirajgonj,2016-17,59683.0,169613.0
Sirajgonj,2017-18,57515.0,160382.0
"Rajshahi
Division",2016-17,705570.0,2052375.0
"Rajshahi
Division",2017-18,643748.0,1801650.0
Dinajpur,2016-17,242773.0,624998.0
Dinajpur,2017-18,253255.0,708262.0
Gaibandha,2016-17,102975.0,275358.0
Gaibandha,2017-18,107230.0,298265.0
Kurigram,2016-17,83976.0,215956.0
Kurigram,2017-18,97063.0,272601.0
Lalmonirhat,2016-17,81643.0,230515.0
Lalmonirhat,2017-18,84380.0,236318.0
Nilphamari,2016-17,107650.0,300768.0
Nilphamari,2017-18,111298.0,316827.0
Panchagar,2016-17,90507.0,254542.0
Panchagar,2017-18,96410.0,268621.0
Rangpur,2016-17,157754.0,445847.0
Rangpur,2017-18,162043.0,459364.0
Thakurgaon,2016-17,126387.0,360344.0
Thakurgaon,2017-18,135451.0,382410.0
"Rangpur
Division",2016-17,993665.0,2708328.0
"Rangpur
Division",2017-18,1047130.0,2942668.0
Hobigonj,2016-17,61476.0,148851.0
Hobigonj,2017-18,71800.0,200532.0
Maulovibazar,2016-17,94075.0,248174.0
Maulovibazar,2017-18,94232.0,260513.0
Sunamgonj,2016-17,39117.0,96878.0
Sunamgonj,2017-18,56195.0,151355.0
Sylhet,2016-17,77212.0,199061.0
Sylhet,2017-18,87390.0,245110.0
"Sylhet
Division",2016-17,271880.0,692964.0
"Sylhet
Division",2017-18,309617.0,857510.0
Barishal,2018-19,45527.0,117625.0
Barishal,2019-20,47303.0,112003.0
Bhola,2018-19,124254.0,334551.0
Bhola,2019-20,115509.0,299924.0
Jhalokathi,2018-19,9428.0,24375.0
Jhalokathi,2019-20,9755.0,26318.0
Patuakhali,2018-19,84550.0,226244.0
Patuakhali,2019-20,83485.0,238027.0
Pirojpur,2018-19,9764.0,26136.0
Pirojpur,2019-20,9613.0,26025.0
"Barishal
Division",2018-19,306647.0,815154.0
"Barishal
Division",2019-20,294689.0,770326.0
Bandarban,2018-19,9668.0,25923.0
Bandarban,2019-20,10072.0,28149.0
Brahmanbaria,2018-19,41729.0,117359.0
Brahmanbaria,2019-20,47705.0,140720.0
Chandpur,2018-19,20824.0,52572.0
Chandpur,2019-20,18630.0,49783.0
Chattogram,2018-19,144194.0,396750.0
Chattogram,2019-20,143502.0,368110.0
Cumilla,2018-19,97761.0,267458.0
Cumilla,2019-20,94431.0,236572.0
Cox’s Bazar,2018-19,69436.0,190350.0
Cox’s Bazar,2019-20,77323.0,217176.0
Feni,2018-19,54947.0,151137.0
Feni,2019-20,58050.0,153460.0
Khagrachari,2018-19,25234.0,70245.0
Khagrachari,2019-20,25579.0,77081.0
Laxmipur,2018-19,63933.0,173552.0
Laxmipur,2019-20,60631.0,166883.0
Noakhali,2018-19,93889.0,253832.0
Noakhali,2019-20,97935.0,270193.0
Rangamati,2018-19,9323.0,24981.0
Rangamati,2019-20,9345.0,27436.0
"Chattogram
Division",2018-19,630937.0,1724159.0
"Chattogram
Division",2019-20,643203.0,1735564.0
Dhaka,2018-19,1731.0,5203.0
Dhaka,2019-20,5931.0,18068.0
Faridpur,2018-19,63153.0,182796.0
Faridpur,2019-20,65429.0,193124.0
Gazipur,2018-19,37269.0,107050.0
Gazipur,2019-20,39077.0,110225.0
Gopalgonj,2018-19,6252.0,16863.0
Gopalgonj,2019-20,15220.0,40685.0
Kishoregonj,2018-19,65846.0,188584.0
Kishoregonj,2019-20,64667.0,194753.0
Madaripur,2018-19,6204.0,16916.0
