District,Year,Hectares,Production_MT
Bhola,2018-19,323.0,224.0
Jhalokathi,2018-19,31.0,208.0
Patuakhali,2018-19,173.0,155.0
Pirojpur,2018-19,314.0,229.0
Barishal Division,2018-19,1477.0,1245.0
Bandarban,2018-19,166.0,126.0
Brahmanbaria,2018-19,930.0,362.8
Chandpur,2018-19,544.0,245.2
Chattogram,2018-19,1020.0,367.5
Cumilla,2018-19,1891.0,646.45
Cox’s Bazar,2018-19,98.0,15.0
Feni,2018-19,194.0,75.0
Khagrachhari,2018-19,606.0,216.0
Lakshmipur,2018-19,280.0,139.0
Noakhali,2018-19,506.0,88.0
Rangamati,2018-19,662.0,124.0
Chattogram Division,2018-19,6897.0,1592.0
Dhaka,2018-19,1564.0,404.0
Faridpur,2018-19,1245.0,534.0
Gazipur,2018-19,612.0,121.0
Gopalganj,2018-19,2089.0,417.0
Kishoreganj,2018-19,1196.0,232.0
Madaripur,2018-19,282.0,188.0
Manikganj,2018-19,509.0,77.0
Munshiganj,2018-19,419.0,114.0
Narayanganj,2018-19,1190.0,61.0
Narsingdi,2018-19,801.0,154.0
Rajbari,2018-19,4231.0,521.0
Shariatpur,2018-19,516.0,374.0
Tangail,2018-19,5091.0,509.0
Dhaka Division,2018-19,19745.0,3706.0
Bagerhat,2018-19,1192.0,199.0
Chuadanga,2018-19,1152.0,80.0
Jessore,2018-19,5506.0,846.0
Jhenaidah,2018-19,3245.0,388.0
Khulna,2018-19,1035.0,190.0
Kushtia,2018-19,1472.0,328.0
Magura,2018-19,895.0,93.0
Meherpur,2018-19,463.0,56.0
Narail,2018-19,1339.0,128.0
Satkhira,2018-19,1375.0,220.0
Khulna Division,2018-19,17674.0,2528.0
Jamalpur,2018-19,1926.0,411.0
Mymensinghh,2018-19,4966.0,679.0
Netrokona,2018-19,556.0,163.0
Sherpur,2018-19,5012.0,43.0
Mymensinghh Division,2018-19,12460.0,1296.0
Bogura,2018-19,1224.0,114.0
Joypurhat,2018-19,1482.0,7.0
Naogaon,2018-19,1311.0,132.0
Natore,2018-19,375.0,33.0
Chapai Nawabganj,2018-19,679.0,230.0
Pabna,2018-19,748.0,383.0
Rajshahi,2018-19,2751.0,116.0
Sirajganj,2018-19,975.0,1019.0
Rajshahi Division,2018-19,9545.0,2034.0
Dinajpur,2018-19,1160.0,278.0
Gaibandha,2018-19,673.0,176.0
Kurigram,2018-19,312.0,188.0
Lalmonirhat,2018-19,427.0,133.0
Nilphamari,2018-19,599.0,143.0
Panchagarh,2018-19,772.0,214.0
Rangpur,2018-19,536.0,296.0
Thakurgaon,2018-19,728.0,176.0
Rangpur Divison,2018-19,5207.0,1604.0
Habiganj,2018-19,452.0,175.0
Maulvibazar,2018-19,529.0,251.0
Sunamganj,2018-19,558.0,98.0
Sylhet,2018-19,355.0,233.0
Sylhet Division,2018-19,1894.0,757.0
Bhola,2020-21,392.0,253.0
Jhalokathi,2020-21,195.0,407.0
Patuakhali,2020-21,185.0,159.0
Pirojpur,2020-21,317.0,232.0
Barishal Division,2020-21,1773.0,1515.0
Bandarban,2020-21,168.9,86.0
Brahmanbaria,2020-21,937.2,691.45
Chandpur,2020-21,471.66,250.57
Chattogram,2020-21,1026.43,381.48
Cumilla,2020-21,1843.0,644.64
Cox’s Bazar,2020-21,104.81,84.09
Feni,2020-21,177.55,145.02
Khagrachhari,2020-21,719.36,375.4
Lakshmipur,2020-21,236.0,190.0
Noakhali,2020-21,312.55,269.57
Rangamati,2020-21,669.64,375.35
Chattogram Division,2020-21,6667.1,3493.57
Dhaka,2020-21,1754.0,717.49
Faridpur,2020-21,1263.0,551.25
Gazipur,2020-21,619.0,394.65
Gopalganj,2020-21,2643.0,676.33
Kishoreganj,2020-21,1162.0,467.82
Madaripur,2020-21,234.0,309.62
Manikganj,2020-21,531.0,396.07
Munshiganj,2020-21,464.0,420.0
Narayanganj,2020-21,1353.0,571.82
Narsingdi,2020-21,705.0,379.33
Rajbari,2020-21,2927.0,636.0
Shariatpur,2020-21,518.0,214.0
Tangail,2020-21,5017.0,1857.6
Dhaka Division,2020-21,19190.0,7591.98
Bagerhat,2020-21,1185.0,534.2
Chuadanga,2020-21,1103.0,476.5
Jessore,2020-21,1605.0,1259.0
Jhenaidah,2020-21,3241.0,728.5
Khulna,2020-21,1113.0,378.49
Kushtia,2020-21,1605.0,571.0
Magura,2020-21,938.0,243.62
Meherpur,2020-21,487.0,142.0
Narail,2020-21,1376.0,324.0
Satkhira,2020-21,1550.0,561.24
Khulna Division,2020-21,14203.0,5218.55
Jamalpur,2020-21,2142.0,774.0
Mymensinghh,2020-21,8466.0,1523.0
Netrokona,2020-21,563.0,402.0
Sherpur,2020-21,5659.0,822.0
Mymensinghh Division,2020-21,16830.0,3521.0
Bogura,2020-21,1299.94,326.8
Joypurhat,2020-21,1487.77,221.18
Naogaon,2020-21,1263.0,359.34
Natore,2020-21,377.0,285.41
Chapai Nawabganj,2020-21,744.0,388.3
Pabna,2020-21,851.0,511.42
Rajshahi,2020-21,3249.0,755.99
Sirajganj,2020-21,814.0,365.11
Rajshahi Division,2020-21,10085.71,3213.55
Dinajpur,2020-21,1107.0,468.0
Gaibandha,2020-21,532.0,251.0
Kurigram,2020-21,513.0,223.95
Lalmonirhat,2020-21,459.0,176.25
Nilphamari,2020-21,587.0,185.24
Panchagarh,2020-21,833.0,393.0
Rangpur,2020-21,453.0,260.0
Thakurgaon,2020-21,695.0,385.28
Rangpur Divison,2020-21,5179.0,2342.72
Habiganj,2020-21,640.0,247.46
Maulvibazar,2020-21,533.0,283.9
Sunamganj,2020-21,1152.0,193.0
Sylhet,2020-21,402.0,367.45
Sylhet Division,2020-21,2727.0,1091.81
Bhola,2022-23,412.0,263.0
Jhalokathi,2022-23,521.0,421.0
Patuakhali,2022-23,259.0,165.0
Pirojpur,2022-23,314.0,235.0
Bandarban,2022-23,113.16,83.7
Brahmanbaria,2022-23,2159.2,658.16
Chandpur,2022-23,592.65,250.99
Chattogram,2022-23,1041.86,348.71
Cumilla,2022-23,1842.33,673.0
Cox’s Bazar,2022-23,119.55,79.69
Feni,2022-23,226.94,140.5
Khagrachhari,2022-23,810.6,395.65
Lakshmipur,2022-23,246.0,200.0
Noakhali,2022-23,473.15,253.94
Rangamati,2022-23,627.6,350.22
Dhaka,2022-23,2044.16,751.12
Faridpur,2022-23,1287.56,536.1
Gazipur,2022-23,679.91,488.79
Gopalganj,2022-23,2189.02,647.44
Kishoreganj,2022-23,1832.39,473.4
Madaripur,2022-23,1989.92,291.07
Manikganj,2022-23,1102.72,293.92
Munshiganj,2022-23,624.99,445.21
Narayanganj,2022-23,1098.41,510.65
Narsingdi,2022-23,1008.87,389.07
Rajbari,2022-23,2964.0,600.0
Shariatpur,2022-23,1016.0,217.0
Tangail,2022-23,4830.97,1807.51
Bagerhat,2022-23,1499.18,551.5
Chuadanga,2022-23,1091.2,449.65
Jessore,2022-23,5424.34,1234.0
Jhenaidah,2022-23,3238.0,724.31
Khulna,2022-23,1075.04,391.19
Kushtia,2022-23,2099.0,431.0
Magura,2022-23,931.39,238.59
Meherpur,2022-23,913.53,153.0
Narail,2022-23,1377.9,350.0
Satkhira,2022-23,1480.16,556.85
Jamalpur,2022-23,2163.0,821.0
Mymensinghh,2022-23,4865.0,1568.0
Netrokona,2022-23,2122.0,392.0
Sherpur,2022-23,4056.0,827.0
Bogura,2022-23,1475.12,309.69
Joypurhat,2022-23,612.42,224.91
Naogaon,2022-23,1529.3,374.58
Natore,2022-23,1009.75,305.4
Chapai Nawabganj,2022-23,1107.66,382.0
Pabna,2022-23,2216.03,537.44
Rajshahi,2022-23,3958.5,762.71
Sirajganj,2022-23,1969.93,332.33
Dinajpur,2022-23,1162.0,494.0
Gaibandha,2022-23,665.0,240.02
Kurigram,2022-23,515.23,249.5
Lalmonirhat,2022-23,411.02,187.0
Nilphamari,2022-23,564.3,177.87
Panchagarh,2022-23,956.0,383.0
Rangpur,2022-23,459.0,250.0
Thakurgaon,2022-23,699.53,395.56
Habiganj,2022-23,740.26,263.54
Maulvibazar,2022-23,984.18,289.98
Sunamganj,2022-23,1314.0,193.0
Sylhet,2022-23,804.73,448.0
