District,Year,Hectares,Production_MT
Bhola,2018-19,654.0,214.0
Jhalokathi,2018-19,452.0,189.0
Patuakhali,2018-19,244.0,166.0
Pirojpur,2018-19,824.0,356.0
Barishal Division,2018-19,2952.0,1393.0
Bandarban,2018-19,510.0,216.0
Brahmanbaria,2018-19,697.0,413.0
Chandpur,2018-19,551.0,212.0
Chattogram,2018-19,1958.0,489.0
Cumilla,2018-19,1879.0,539.0
Cox’s Bazar,2018-19,522.0,127.0
Feni,2018-19,216.0,104.0
Khagrachhari,2018-19,1340.0,513.0
Lakshmipur,2018-19,569.0,208.0
Noakhali,2018-19,486.0,299.0
Rangamati,2018-19,1629.0,500.0
Chattogram Division,2018-19,10357.0,3620.0
Dhaka,2018-19,2199.0,718.0
Faridpur,2018-19,1341.0,426.0
Gazipur,2018-19,735.0,340.0
Gopalganj,2018-19,1400.0,433.0
Kishoreganj,2018-19,860.0,355.0
Madaripur,2018-19,342.0,145.0
Manikganj,2018-19,1320.0,629.0
Munshiganj,2018-19,911.0,530.0
Narayanganj,2018-19,854.0,403.0
Narsingdi,2018-19,1441.0,415.0
Rajbari,2018-19,1048.0,410.0
Shariatpur,2018-19,248.0,190.0
Tangail,2018-19,3400.0,1124.0
Dhaka Division,2018-19,16099.0,6118.0
Bagerhat,2018-19,1365.0,512.0
Chuadanga,2018-19,1088.0,356.0
Jessore,2018-19,1803.0,424.0
Jhenaidah,2018-19,1528.0,445.0
Khulna,2018-19,533.0,241.0
Kushtia,2018-19,1144.0,316.0
Magura,2018-19,407.0,152.0
Meherpur,2018-19,406.0,127.0
Narail,2018-19,505.0,94.0
Satkhira,2018-19,780.0,209.0
Khulna Division,2018-19,9559.0,2876.0
Jamalpur,2018-19,1335.0,545.0
Mymensinghh,2018-19,6362.0,2030.0
Netrokona,2018-19,583.0,320.0
Sherpur,2018-19,3546.0,663.0
Mymensinghh Division,2018-19,11826.0,3558.0
Bogura,2018-19,1715.0,459.0
Joypurhat,2018-19,793.0,177.23
Naogaon,2018-19,1514.0,356.0
Natore,2018-19,554.0,304.0
Chapai Nawabganj,2018-19,496.0,230.0
Pabna,2018-19,2256.0,811.0
Rajshahi,2018-19,2348.0,576.0
Sirajganj,2018-19,2949.0,711.0
Rajshahi Division,2018-19,12625.0,3624.23
