District,Year,Hectares,Production_MT
Bhola,2016-17,46750.0,59508.0
Bhola,2017-18,44210.0,66315.0
Jhalokathi,2016-17,1839.0,2510.0
Jhalokathi,2017-18,1850.0,2405.0
Patuakhali,2016-17,13365.0,19355.0
Patuakhali,2017-18,4929.0,5395.0
Pirojpur,2016-17,2711.0,4525.0
Pirojpur,2017-18,3275.0,3963.0
"Barishal
Division",2016-17,77600.0,103627.0
"Barishal
Division",2017-18,65634.0,93322.0
Bandarban,2016-17,6208.0,8990.0
Bandarban,2017-18,8988.0,12583.0
Brahmanbaria,2016-17,873.0,1265.0
Brahmanbaria,2017-18,100.0,135.0
Chandpur,2016-17,465.0,622.0
Chandpur,2017-18,365.0,456.0
Chattogram,2016-17,6239.0,9554.0
Chattogram,2017-18,6454.0,9036.0
Cumilla,2016-17,2484.0,3574.0
Cumilla,2017-18,75.0,107.0
Cox's Bazar,2016-17,81.0,124.0
Cox's Bazar,2017-18,0.0,0.0
Feni,2016-17,2176.0,2878.0
Feni,2017-18,1775.0,2308.0
Khagrachhari,2016-17,1171.0,1631.0
Khagrachhari,2017-18,2362.0,5196.0
Lakshmipur,2016-17,10257.0,12300.0
Lakshmipur,2017-18,4470.0,6258.0
Noakhali,2016-17,22707.0,30161.0
Noakhali,2017-18,5850.0,8308.0
Rangamati,2016-17,5949.0,8395.0
Rangamati,2017-18,5950.0,7438.0
"Chattogram
Division",2016-17,58610.0,79492.0
"Chattogram
Division",2017-18,36389.0,51825.0
Dhaka,2016-17,79.0,100.0
Dhaka,2017-18,1.0,2.0
Faridpur,2016-17,4490.0,5964.0
Faridpur,2017-18,5280.0,6864.0
Gazipur,2016-17,0.0,0.0
Gazipur,2017-18,0.0,0.0
Gopalganj,2016-17,1335.0,1774.0
Gopalganj,2017-18,2815.0,3660.0
Kishoreganj,2016-17,186.0,308.0
Kishoreganj,2017-18,110.0,220.0
Madaripur,2016-17,1298.0,2239.0
Madaripur,2017-18,1250.0,1461.0
Manikganj,2016-17,81.0,68.0
Manikganj,2017-18,811.0,973.0
Munsigonj,2016-17,4.0,6.0
Munsigonj,2017-18,5.0,5.0
Narayanganj,2016-17,1.0,1.0
Narayanganj,2017-18,0.0,0.0
Narsingdi,2016-17,0.0,0.0
Narsingdi,2017-18,5.0,5.0
Rajbari,2016-17,947.0,1187.0
Rajbari,2017-18,1163.0,1273.0
Shariatpur,2016-17,6079.0,7682.0
Shariatpur,2017-18,7380.0,11070.0
Tangail,2016-17,987.0,1338.0
Tangail,2017-18,679.0,937.0
"Dhaka
Division",2016-17,15487.0,20669.0
"Dhaka
Division",2017-18,19499.0,26470.0
Bagerhat,2016-17,836.0,1017.0
Bagerhat,2017-18,605.0,707.0
Chuadanga,2016-17,0.0,0.0
Chuadanga,2017-18,0.0,0.0
Jessore,2016-17,130.0,184.0
Jessore,2017-18,65.0,0.0
Jhenaidah,2016-17,50.0,61.0
Jhenaidah,2017-18,135.0,158.0
Khulna,2016-17,2486.0,3234.0
Khulna,2017-18,2880.0,3744.0
Kushtia,2016-17,5570.0,7295.0
Kushtia,2017-18,5856.0,7027.0
Magura,2016-17,408.0,485.0
Magura,2017-18,260.0,338.0
Meherpur,2016-17,0.0,0.0
Meherpur,2017-18,0.0,0.0
Narail,2016-17,3630.0,4989.0
Narail,2017-18,3550.0,4899.0
Satkhira,2016-17,0.0,0.0
Satkhira,2017-18,0.0,0.0
"Khulna",2016-17,13109.0,17265.0
"Khulna",2017-18,13351.0,16873.0
Jamalpur,2016-17,410.0,545.0
Jamalpur,2017-18,633.0,874.0
Mymensinghh,2016-17,0.0,0.0
Mymensinghh,2017-18,35.0,41.0
Netrokona,2016-17,74.0,137.0
Netrokona,2017-18,60.0,70.0
Sherpur,2016-17,210.0,273.0
Sherpur,2017-18,90.0,113.0
"Mymensinghh
Division",2016-17,694.0,955.0
"Mymensinghh
Division",2017-18,818.0,1098.0
Bogura,2016-17,0.0,0.0
Bogura,2017-18,0.0,0.0
Joypurhat,2016-17,0.0,0.0
Joypurhat,2017-18,0.0,0.0
Naogaon,2016-17,0.0,0.0
Naogaon,2017-18,0.0,0.0
Natore,2016-17,872.0,1158.0
Natore,2017-18,510.0,597.0
"Chapai Nawabganj",2016-17,7639.0,10449.0
"Chapai Nawabganj",2017-18,8000.0,12492.0
Pabna,2016-17,7092.0,9224.0
Pabna,2017-18,7982.0,9328.0
Rajshahi,2016-17,617.0,831.0
Rajshahi,2017-18,540.0,826.0
Sirajganj,2016-17,935.0,1138.0
Sirajganj,2017-18,2900.0,4002.0
"Rajshahi
Division",2016-17,17155.0,22800.0
"Rajshahi
Division",2017-18,19932.0,27245.0
Dinajpur,2016-17,0.0,0.0
Dinajpur,2017-18,0.0,0.0
Gaibandha,2016-17,0.0,0.0
Gaibandha,2017-18,0.0,0.0
Kurigram,2016-17,285.0,492.0
Kurigram,2017-18,490.0,573.0
Lalmonirhat,2016-17,0.0,0.0
Lalmonirhat,2017-18,0.0,0.0
Nilphamari,2016-17,0.0,0.0
Nilphamari,2017-18,0.0,0.0
Panchagarh,2016-17,32.0,54.0
Panchagarh,2017-18,80.0,110.0
Rangpur,2016-17,0.0,0.0
Rangpur,2017-18,0.0,0.0
Thakurgaon,2016-17,0.0,0.0
Thakurgaon,2017-18,0.0,0.0
"Rangpur",2016-17,318.0,546.0
"Rangpur",2017-18,570.0,683.0
Habiganj,2016-17,402.0,545.0
Habiganj,2017-18,300.0,390.0
Maulvibazar,2016-17,172.0,251.0
Maulvibazar,2017-18,203.0,254.0
Sunamganj,2016-17,375.0,595.0
Sunamganj,2017-18,871.0,1219.0
