District,Year,Hectares,Production_MT
Bhola,2016-17,75008.0,119328.0
Bhola,2017-18,86800.0,174068.0
Jhalakathi,2016-17,12693.0,25136.0
Jhalakathi,2017-18,13355.0,30595.0
Patuakhali,2016-17,32180.0,66213.0
Patuakhali,2017-18,28729.0,66094.0
Pirojpur,2016-17,18328.0,37845.0
Pirojpur,2017-18,14825.0,33248.0
"Barishal
Division",2016-17,200694.0,376508.0
"Barishal
Division",2017-18,202800.0,443921.0
Bandarban,2016-17,8518.0,14766.0
Bandarban,2017-18,12108.0,22366.0
Brahmanbaria,2016-17,7649.0,16639.0
Brahmanbaria,2017-18,8115.0,20573.0
Chandpur,2016-17,9871.0,24569.0
Chandpur,2017-18,9955.0,25483.0
Chattogram,2016-17,31805.0,84071.0
Chattogram,2017-18,35528.0,92506.0
Cumilla,2016-17,63962.0,148178.0
Cumilla,2017-18,70800.0,185718.0
Cox' Bazar,2016-17,1206.0,2886.0
Cox' Bazar,2017-18,3572.0,9537.0
Feni,2016-17,7524.0,14768.0
Feni,2017-18,8461.0,19259.0
Khagrachari,2016-17,2345.0,4554.0
Khagrachari,2017-18,4312.0,10071.0
Laksmipur,2016-17,27699.0,47710.0
Laksmipur,2017-18,28160.0,69747.0
Noakhali,2016-17,42307.0,72881.0
Noakhali,2017-18,37321.0,90132.0
Rangamati,2016-17,6924.0,10401.0
Rangamati,2017-18,6420.0,8660.0
"Chattogram
Division",2016-17,209811.0,441424.0
"Chattogram
Division",2017-18,224752.0,554052.0
Dhaka,2016-17,655.0,1407.0
Dhaka,2017-18,747.0,2016.0
Faridpur,2016-17,5485.0,7892.0
Faridpur,2017-18,6580.0,10192.0
Gazipur,2016-17,1229.0,2980.0
Gazipur,2017-18,1356.0,3729.0
Gopalgonj,2016-17,1698.0,2685.0
Gopalgonj,2017-18,3355.0,5010.0
Kishoregonj,2016-17,21395.0,45890.0
Kishoregonj,2017-18,24135.0,65112.0
Madaripur,2016-17,1500.0,2667.0
Madaripur,2017-18,1525.0,2171.0
Manikgonj,2016-17,588.0,1251.0
Manikgonj,2017-18,1422.0,2519.0
Munsigonj,2016-17,134.0,317.0
Munsigonj,2017-18,94.0,240.0
Narayanganj,2016-17,131.0,288.0
Narayanganj,2017-18,690.0,1829.0
Narsingdi,2016-17,282.0,565.0
Narsingdi,2017-18,331.0,820.0
Rajbari,2016-17,1017.0,1360.0
Rajbari,2017-18,1310.0,1652.0
Shariatpur,2016-17,7822.0,11014.0
Shariatpur,2017-18,9180.0,15742.0
Tangail,2016-17,1085.0,1545.0
Tangail,2017-18,837.0,1364.0
"Dhaka
Division",2016-17,43021.0,79862.0
"Dhaka
Division",2017-18,51562.0,112396.0
Bagerhat,2016-17,5474.0,12953.0
Bagerhat,2017-18,5785.0,14297.0
Chuadanga,2016-17,27142.0,75607.0
Chuadanga,2017-18,38400.0,111916.0
Jashore,2016-17,18491.0,51160.0
Jashore,2017-18,20500.0,52917.0
Jhenaidah,2016-17,21282.0,62145.0
Jhenaidah,2017-18,30400.0,77683.0
Khulna,2016-17,2838.0,4035.0
Khulna,2017-18,3280.0,4776.0
Kustia,2016-17,19964.0,45134.0
Kustia,2017-18,27800.0,70773.0
Magura,2016-17,3693.0,8273.0
Magura,2017-18,3310.0,8088.0
Meherpur,2016-17,8956.0,28829.0
Meherpur,2017-18,15200.0,42944.0
Narail,2016-17,4967.0,7948.0
Narail,2017-18,5459.0,9696.0
Satkhira,2016-17,6463.0,16156.0
Satkhira,2017-18,6350.0,14522.0
"Khulna
Division",2016-17,119268.0,312240.0
"Khulna
Division",2017-18,156484.0,407612.0
Jamalpur.,2016-17,1857.0,3347.0
Jamalpur.,2017-18,1770.0,3443.0
Mymensingh,2016-17,20948.0,51783.0
Mymensingh,2017-18,16626.0,46998.0
Netrokona,2016-17,197.0,395.0
Netrokona,2017-18,490.0,977.0
Sherpur,2016-17,2014.0,4301.0
Sherpur,2017-18,2240.0,5746.0
"Mymensing
h Division",2016-17,25017.0,59827.0
"Mymensing
h Division",2017-18,21126.0,57164.0
Bogura,2016-17,18878.0,47137.0
Bogura,2017-18,19075.0,53795.0
Joypurhat,2016-17,58.0,134.0
Joypurhat,2017-18,251.0,710.0
Naogaon,2016-17,51546.0,139738.0
Naogaon,2017-18,59190.0,177988.0
Natore,2016-17,4959.0,10885.0
Natore,2017-18,6855.0,18512.0
"Chapai
Nawabgonj",2016-17,46922.0,112269.0
"Chapai
Nawabgonj",2017-18,52630.0,135671.0
Pabna,2016-17,14168.0,25867.0
Pabna,2017-18,16974.0,37653.0
Rajshahi,2016-17,38824.0,103737.0
Rajshahi,2017-18,47069.0,134527.0
Sirajgonj,2016-17,4044.0,8820.0
Sirajgonj,2017-18,4725.0,8955.0
"Rajshahi
Division",2016-17,179399.0,448587.0
"Rajshahi
Division",2017-18,206769.0,567811.0
Dinajpur,2016-17,5208.0,11577.0
Dinajpur,2017-18,7708.0,22157.0
Gaibandha,2016-17,1050.0,1849.0
Gaibandha,2017-18,1608.0,4191.0
Kurigram,2016-17,1398.0,2966.0
Kurigram,2017-18,1460.0,3209.0
Lalmonirhat,2016-17,1259.0,2995.0
Lalmonirhat,2017-18,5037.0,15033.0
Nilphamari,2016-17,117.0,183.0
Nilphamari,2017-18,406.0,1154.0
Panchagar,2016-17,121.0,297.0
Panchagar,2017-18,280.0,644.0
Rangpur,2016-17,13695.0,35938.0
Rangpur,2017-18,16075.0,48194.0
Thakurgaon,2016-17,9505.0,24014.0
Thakurgaon,2017-18,14820.0,43345.0
"Rangpur
Division",2016-17,32352.0,79819.0
"Rangpur
Division",2017-18,47394.0,137927.0
Hobigonj,2016-17,39191.0,92498.0
Hobigonj,2017-18,45120.0,120059.0
Maulvibazar,2016-17,40455.0,112836.0
Maulvibazar,2017-18,45777.0,118875.0
Sunamgonj,2016-17,5682.0,14107.0
Sunamgonj,2017-18,12452.0,32443.0
Sylhet,2016-17,46791.0,115909.0
Sylhet,2017-18,60825.0,157383.0
"Sylhet
Division",2016-17,132120.0,335350.0
"Sylhet
Division",2017-18,164174.0,428760.0
Barishal,2018-19,21770.0,38239.0
Barishal,2019-20,14633.0,20507.0
Bhola,2018-19,84740.0,172102.0
Bhola,2019-20,73218.0,160144.0
Jhallokati,2018-19,14127.0,34279.0
Jhallokati,2019-20,10764.0,30672.0
Patuakhali,2018-19,30374.0,67620.0
Patuakhali,2019-20,25739.0,51492.0
Pirojpur,2018-19,17268.0,39368.0
Pirojpur,2019-20,13154.0,29466.0
"Barishal
Division",2018-19,221607.0,474172.0
"Barishal
Division",2019-20,175588.0,387433.0
Bandarban,2018-19,12747.0,23672.0
Bandarban,2019-20,12310.0,22540.0
Brahmanbaria,2018-19,8624.0,20992.0
Brahmanbaria,2019-20,11270.0,27157.0
Chandpur,2018-19,9774.0,26286.0
Chandpur,2019-20,8502.0,19866.0
Chattogram,2018-19,36058.0,97581.0
Chattogram,2019-20,33207.0,87523.0
Cumilla,2018-19,71060.0,191367.0
Cumilla,2019-20,73200.0,189367.0
Cox’s Bazar,2018-19,3181.0,8950.0
Cox’s Bazar,2019-20,1824.0,4878.0
Feni,2018-19,11840.0,28102.0
Feni,2019-20,10648.0,26024.0
Khagrachari,2018-19,4027.0,9567.0
Khagrachari,2019-20,3203.0,7748.0
Lakshmipur,2018-19,27533.0,67283.0
Lakshmipur,2019-20,18150.0,45051.0
Noakhali,2018-19,38483.0,88331.0
Noakhali,2019-20,35787.0,80022.0
Rangamati,2018-19,6400.0,9781.0
Rangamati,2019-20,5813.0,8356.0
"Chattogram
Division",2018-19,229727.0,571912.0
"Chattogram
Division",2019-20,213914.0,518533.0
Dhaka,2018-19,486.0,1098.0
Dhaka,2019-20,641.0,1502.0
Faridpur,2018-19,12293.0,15869.0
Faridpur,2019-20,8743.0,10990.0
Gazipur,2018-19,1333.0,3914.0
Gazipur,2019-20,2184.0,6427.0
Gopalganj,2018-19,3071.0,4765.0
Gopalganj,2019-20,3155.0,4424.0
Kishoreganj,2018-19,13261.0,34193.0
Kishoreganj,2019-20,22000.0,58994.0
Madaripur,2018-19,1402.0,1808.0
Madaripur,2019-20,1342.0,2200.0
Manikganj,2018-19,1833.0,3153.0
Manikganj,2019-20,2408.0,3997.0
Munshiganj,2018-19,124.0,351.0
Munshiganj,2019-20,183.0,454.0
Narayanganj,2018-19,1200.0,1707.0
Narayanganj,2019-20,1865.0,4484.0
Narsingdi,2018-19,475.0,1281.0
Narsingdi,2019-20,752.0,1939.0
Rajbari,2018-19,1253.0,1633.0
Rajbari,2019-20,1818.0,3221.0
Shariatpur,2018-19,8663.0,14686.0
Shariatpur,2019-20,11748.0,16578.0
Tangail,2018-19,894.0,1519.0
Tangail,2019-20,753.0,1828.0
Dhaka Division,2018-19,46287.0,85977.0
Dhaka Division,2019-20,57592.0,117016.0
Bagerhat,2018-19,4722.0,11650.0
Bagerhat,2019-20,5159.0,13879.0
Chuadanga,2018-19,37776.0,109585.0
Chuadanga,2019-20,39222.0,105055.0
Jashore,2018-19,19455.0,49574.0
Jashore,2019-20,17449.0,52054.0
Jhenaidah,2018-19,30773.0,81538.0
Jhenaidah,2019-20,30632.0,93996.0
Khulna,2018-19,2802.0,3974.0
Khulna,2019-20,3863.0,6677.0
Kushtia,2018-19,30212.0,79165.0
Kushtia,2019-20,26799.0,72030.0
Magura,2018-19,2668.0,6296.0
Magura,2019-20,3096.0,6709.0
Meherpur,2018-19,14220.0,42168.0
Meherpur,2019-20,15305.0,47928.0
Narail,2018-19,5412.0,9619.0
Narail,2019-20,6421.0,10636.0
Satkhira,2018-19,6199.0,16387.0
Satkhira,2019-20,6700.0,18954.0
"Khulna
Division",2018-19,154239.0,409957.0
"Khulna
Division",2019-20,154646.0,421142.0
Jamalpur,2018-19,2649.0,6174.0
Jamalpur,2019-20,1736.0,3924.0
Mymensingh,2018-19,15625.0,41708.0
Mymensingh,2019-20,13990.0,34338.0
Netrokona,2018-19,617.0,1657.0
Netrokona,2019-20,568.0,1322.0
Sherpur,2018-19,2672.0,6831.0
Sherpur,2019-20,3355.0,7555.0
"Mymensingh
Division",2018-19,21563.0,56370.0
"Mymensingh
Division",2019-20,19649.0,47138.0
Bogura,2018-19,20232.0,57385.0
Bogura,2019-20,26986.0,68154.0
Joypurhat,2018-19,171.0,471.0
Joypurhat,2019-20,187.0,481.0
Naogaon,2018-19,61614.0,179648.0
Naogaon,2019-20,61761.0,178708.0
Natore,2018-19,7408.0,18043.0
Natore,2019-20,8345.0,22475.0
"Chapai
Nawabganj",2018-19,52015.0,138418.0
"Chapai
Nawabganj",2019-20,38410.0,102365.0
Pabna,2018-19,15614.0,33819.0
Pabna,2019-20,18812.0,37135.0
Rajshahi,2018-19,46579.0,131950.0
Rajshahi,2019-20,47295.0,134357.0
Sirajganj,2018-19,5952.0,12552.0
Sirajganj,2019-20,8412.0,20574.0
"Rajshahi
Division",2018-19,209585.0,572285.0
"Rajshahi
Division",2019-20,210209.0,564250.0
Dinajpur,2018-19,6914.0,20324.0
Dinajpur,2019-20,6889.0,16801.0
Gaibandha,2018-19,2407.0,6157.0
Gaibandha,2019-20,7467.0,16889.0
Kurigram,2018-19,1626.0,3692.0
Kurigram,2019-20,3607.0,8347.0
Lalmonirhat,2018-19,4852.0,14134.0
Lalmonirhat,2019-20,11025.0,27966.0
Nilphamari,2018-19,409.0,1116.0
Nilphamari,2019-20,1190.0,2768.0
Panchagar,2018-19,377.0,1049.0
Panchagar,2019-20,1995.0,5236.0
Rangpur,2018-19,16314.0,47115.0
Rangpur,2019-20,18794.0,50325.0
Thakurgaon,2018-19,15111.0,44214.0
Thakurgaon,2019-20,14674.0,43488.0
"Rangpur
Divison",2018-19,48010.0,137799.0
"Rangpur
Divison",2019-20,65641.0,171818.0
Habiganj,2018-19,44900.0,121870.0
Habiganj,2019-20,46729.0,115798.0
Moulvibazar,2018-19,56723.0,153990.0
Moulvibazar,2019-20,56244.0,169741.0
Sunamganj,2018-19,13857.0,34677.0
Sunamganj,2019-20,19053.0,45169.0
Sylhet,2018-19,58830.0,156469.0
Sylhet,2019-20,75923.0,197358.0
"Sylhet
Division",2018-19,174310.0,467006.0
"Sylhet
Division",2019-20,197950.0,528065.0
Barishal,2020-21,18097.0,33829.0
Barishal,2021-22,11777.0,19318.0
Bhola,2020-21,91126.0,176699.0
Bhola,2021-22,83030.0,180850.0
Jhallokati,2020-21,16057.0,42484.0
Jhallokati,2021-22,13332.0,34140.0
Patuakhali,2020-21,33705.0,84711.0
Patuakhali,2021-22,29752.0,73795.0
Pirojpur,2020-21,13722.0,32164.0
Pirojpur,2021-22,12402.0,27266.0
"Barishal
Division",2020-21,228075.0,509946.0
"Barishal
Division",2021-22,197208.0,444153.0
Bandarban,2020-21,12271.0,24465.0
Bandarban,2021-22,12327.0,23318.0
Brahmanbaria,2020-21,11400.0,29411.0
Brahmanbaria,2021-22,11713.0,30267.0
Chandpur,2020-21,10585.0,27283.0
Chandpur,2021-22,9663.0,25762.0
Chattogram,2020-21,35301.0,101908.0
Chattogram,2021-22,33345.0,88815.0
Cumilla,2020-21,78668.0,184858.0
Cumilla,2021-22,74150.0,194110.0
Cox’s Bazar,2020-21,3027.0,7961.0
Cox’s Bazar,2021-22,2014.0,5718.0
Feni,2020-21,11053.0,24428.0
Feni,2021-22,10645.0,24231.0
Khagrachari,2020-21,4514.0,11256.0
Khagrachari,2021-22,3249.0,6944.0
Lakshmipur,2020-21,32470.0,71060.0
Lakshmipur,2021-22,26446.0,62330.0
Noakhali,2020-21,40094.0,86027.0
Noakhali,2021-22,36086.0,90574.0
Rangamati,2020-21,5877.0,9091.0
Rangamati,2021-22,5488.0,7996.0
"Chattogram
Division",2020-21,245259.0,577749.0
"Chattogram
Division",2021-22,225126.0,560065.0
Dhaka,2020-21,588.0,1149.0
Dhaka,2021-22,717.0,1842.0
Faridpur,2020-21,8675.0,13413.0
Faridpur,2021-22,8171.0,12010.0
Gazipur,2020-21,1596.0,5147.0
Gazipur,2021-22,1540.0,4843.0
Gopalganj,2020-21,3911.0,13842.0
Gopalganj,2021-22,2675.0,6013.0
Kishoreganj,2020-21,26714.0,69329.0
Kishoreganj,2021-22,25548.0,67140.0
Madaripur,2020-21,1964.0,3324.0
Madaripur,2021-22,1259.0,2319.0
Manikganj,2020-21,3301.0,6967.0
Manikganj,2021-22,2911.0,6942.0
Munshiganj,2020-21,181.0,401.0
Munshiganj,2021-22,166.0,443.0
Narayanganj,2020-21,2450.0,5646.0
Narayanganj,2021-22,1811.0,3706.0
Narsingdi,2020-21,1512.0,4071.0
Narsingdi,2021-22,1037.0,2710.0
Rajbari,2020-21,2594.0,4485.0
Rajbari,2021-22,2479.0,4156.0
Shariatpur,2020-21,12481.0,30321.0
Shariatpur,2021-22,9622.0,23371.0
Tangail,2020-21,1199.0,2569.0
Tangail,2021-22,1732.0,3147.0
Dhaka Division,2020-21,67167.0,160666.0
Dhaka Division,2021-22,59667.0,138640.0
Bagerhat,2020-21,5809.0,16061.0
Bagerhat,2021-22,4816.0,11392.0
Chuadanga,2020-21,42725.0,114888.0
Chuadanga,2021-22,39474.0,112404.0
Jashore,2020-21,16989.0,52983.0
Jashore,2021-22,15097.0,48436.0
Jhenaidah,2020-21,35378.0,106970.0
Jhenaidah,2021-22,35947.0,112268.0
