District,Year,Hectares,Production_MT
Bhola,2018-19,641.0,2073.0
Jhallokati,2018-19,1616.0,5654.0
Patuakhali,2018-19,1616.0,3643.0
Pirojpur,2018-19,3673.0,4912.0
Barishal Division,2018-19,9572.0,3951.0
Bandarban,2018-19,3729.0,4814.0
Brahmanbaria,2018-19,361.0,2719.0
Chandpur,2018-19,617.0,4478.0
Chattogram,2018-19,2522.0,5378.0
Cumilla,2018-19,1287.0,5542.0
Cox’s Bazar,2018-19,1903.0,3917.0
Feni,2018-19,673.0,2716.0
Khagrachari,2018-19,4302.0,4115.0
Lakshmipur,2018-19,1325.0,10484.0
Noakhali,2018-19,619.0,2458.0
Rangamati,2018-19,5207.0,5213.0
Chattogram Division,2018-19,22545.0,4885.0
Dhaka,2018-19,2146.0,5246.0
Faridpur,2018-19,599.0,3135.0
Gazipur,2018-19,2732.0,5517.0
Gopalganj,2018-19,2821.0,4151.0
Kishoreganj,2018-19,751.0,4226.0
Madaripur,2018-19,610.0,3220.0
Manikganj,2018-19,1037.0,2726.0
Munshiganj,2018-19,435.0,3156.0
Narayanganj,2018-19,480.0,4160.0
Narsingdi,2018-19,585.0,5505.0
Rajbari,2018-19,8999.0,7406.0
Shariatpur,2018-19,514.0,4805.0
Tangail,2018-19,3756.0,6600.0
Dhaka Division,2018-19,25465.0,5242.0
Bagerhat,2018-19,1752.0,2720.0
Chuadanga,2018-19,4918.0,7322.0
Jashore,2018-19,9130.0,7107.0
Jhenaidah,2018-19,21849.0,6729.0
Khulna,2018-19,4062.0,5184.0
Kushtia,2018-19,5538.0,8695.0
Magura,2018-19,1766.0,6656.0
Meherpur,2018-19,1922.0,7427.0
Narail,2018-19,1707.0,6199.0
Satkhira,2018-19,7045.0,6157.0
Khulna Division,2018-19,59689.0,6490.0
Jamalpur,2018-19,877.0,3866.0
Mymensingh,2018-19,2376.0,6285.0
Netrokona,2018-19,565.0,4216.0
Sherpur,2018-19,1527.0,6331.0
Mymensingh Division,2018-19,5345.0,5467.0
Bogura,2018-19,1653.0,8275.0
Joypurhat,2018-19,447.0,4198.0
Naogaon,2018-19,3353.0,5716.0
Natore,2018-19,4252.0,14051.0
Chapai Nawabganj,2018-19,1057.0,4725.0
Pabna,2018-19,4229.0,6482.0
Rajshahi,2018-19,8628.0,10371.0
Sirajganj,2018-19,2814.0,7189.0
Rajshahi Division,2018-19,26433.0,7993.0
Dinajpur,2018-19,805.0,4613.0
Gaibandha,2018-19,1086.0,5481.0
Kurigram,2018-19,1595.0,7503.0
Lalmonirhat,2018-19,463.0,3836.0
Nilphamari,2018-19,621.0,6479.0
Panchagar,2018-19,461.0,3395.0
Rangpur,2018-19,825.0,4613.0
Thakurgaon,2018-19,412.0,3173.0
Rangpur Divison,2018-19,6268.0,4641.0
Habiganj,2018-19,374.0,3058.0
Moulvibazar,2018-19,423.0,3568.0
Sunamganj,2018-19,126.0,3040.0
Sylhet,2018-19,797.0,2973.0
Sylhet Division,2018-19,1720.0,3129.0
Bhola,2018-19,1178.0,536.0
Jhallokati,2018-19,7461.0,2902.0
Patuakhali,2018-19,3343.0,554.0
Pirojpur,2018-19,14034.0,2768.0
Barishal Division,2018-19,30367.0,8857.0
Bandarban,2018-19,18093.0,3822.0
Brahmanbaria,2018-19,1685.0,274.0
Chandpur,2018-19,4995.0,956.0
