District,Year,Hectares,Production_MT
Bhola,2018-19,2016.0,745.0
Jhalokathi,2018-19,632.0,855.0
Patuakhali,2018-19,211.0,183.0
Pirojpur,2018-19,578.0,332.0
Barishal Division,2018-19,4677.0,2926.0
Bandarban,2018-19,987.0,561.0
Brahmanbaria,2018-19,1779.0,926.0
Chandpur,2018-19,945.0,713.0
Chattogram,2018-19,5950.0,11949.0
Cumilla,2018-19,5438.0,1823.0
Cox’s Bazar,2018-19,1473.0,577.0
Feni,2018-19,497.0,318.0
Khagrachhari,2018-19,1371.0,704.0
Lakshmipur,2018-19,1062.0,764.0
Noakhali,2018-19,578.0,1153.0
Rangamati,2018-19,921.0,638.0
Chattogram Division,2018-19,21001.0,20126.0
Dhaka,2018-19,4267.0,1487.0
Faridpur,2018-19,895.0,493.0
Gazipur,2018-19,645.0,1008.0
Gopalganj,2018-19,821.0,344.0
Kishoreganj,2018-19,3515.0,1179.0
Madaripur,2018-19,687.0,294.0
Manikganj,2018-19,3894.0,349.0
Munshiganj,2018-19,859.0,554.0
Narayanganj,2018-19,2055.0,802.0
Narsingdi,2018-19,12801.0,2720.0
Rajbari,2018-19,1649.0,472.0
Shariatpur,2018-19,520.0,368.0
Tangail,2018-19,3431.0,1875.0
Dhaka Division,2018-19,36039.0,11945.0
Bagerhat,2018-19,1357.0,518.0
Chuadanga,2018-19,1201.0,768.0
Jessore,2018-19,9092.0,2759.0
Jhenaidah,2018-19,7173.0,1556.0
Khulna,2018-19,1934.0,538.0
Kushtia,2018-19,1849.0,651.0
Magura,2018-19,577.0,181.0
Meherpur,2018-19,2345.0,511.0
Narail,2018-19,1128.0,366.0
Satkhira,2018-19,1701.0,692.0
Khulna Division,2018-19,28357.0,8540.0
Jamalpur,2018-19,2270.0,1303.0
Mymensinghh,2018-19,6119.0,2120.0
Netrokona,2018-19,734.0,510.0
Sherpur,2018-19,1890.0,565.0
Mymensinghh Division,2018-19,11013.0,4498.0
