District,Year,Hectares,Production_MT
Bhola,2018-19,415.0,220.0
Jhalokathi,2018-19,144.0,133.0
Patuakhali,2018-19,64.0,66.0
Pirojpur,2018-19,215.0,120.0
Barishal Division,2018-19,1385.0,1076.0
Bandarban,2018-19,174.0,115.0
Brahmanbaria,2018-19,213.0,248.0
Chandpur,2018-19,429.0,260.0
Chattogram,2018-19,1726.0,915.0
Cumilla,2018-19,518.0,250.0
Cox’s Bazar,2018-19,20.0,11.0
Feni,2018-19,205.0,284.0
Khagrachhari,2018-19,312.0,215.0
Lakshmipur,2018-19,140.0,191.0
Noakhali,2018-19,482.0,246.0
Rangamati,2018-19,126.0,144.0
Chattogram Division,2018-19,4345.0,2879.0
Dhaka,2018-19,2162.0,537.0
Faridpur,2018-19,2339.0,1208.0
Gazipur,2018-19,352.0,194.0
Gopalganj,2018-19,1036.0,431.0
Kishoreganj,2018-19,192.0,193.0
Madaripur,2018-19,188.0,205.0
Manikganj,2018-19,265.0,221.0
Munshiganj,2018-19,770.0,476.0
Narayanganj,2018-19,588.0,380.0
Narsingdi,2018-19,200.0,147.0
Rajbari,2018-19,2451.0,537.0
Shariatpur,2018-19,294.0,130.0
Tangail,2018-19,688.0,387.0
Dhaka Division,2018-19,11525.0,5046.0
Bagerhat,2018-19,1928.0,586.0
Chuadanga,2018-19,2751.0,834.0
Jessore,2018-19,4429.0,1394.0
Jhenaidah,2018-19,2026.0,815.0
Khulna,2018-19,1015.0,452.0
Kushtia,2018-19,1989.0,731.0
Magura,2018-19,529.0,211.0
Meherpur,2018-19,1022.0,276.0
Narail,2018-19,1341.0,437.0
Satkhira,2018-19,1745.0,618.0
Khulna,2018-19,18775.0,6354.0
Jamalpur,2018-19,1675.0,1117.0
Mymensinghh,2018-19,2255.0,598.0
Netrokona,2018-19,272.0,120.0
Sherpur,2018-19,513.0,164.0
Mymensinghh Division,2018-19,4715.0,1999.0
Bogura,2018-19,996.0,311.0
Joypurhat,2018-19,564.0,177.0
Naogaon,2018-19,1081.0,388.0
Natore,2018-19,620.0,271.0
Chapai Nawabganj,2018-19,498.0,302.0
Pabna,2018-19,931.0,563.0
Rajshahi,2018-19,2225.0,1052.0
Sirajganj,2018-19,1125.0,531.0
Rajshahi Division,2018-19,8040.0,3595.0
Dinajpur,2018-19,693.0,373.0
Gaibandha,2018-19,311.0,231.0
Kurigram,2018-19,615.0,309.0
Lalmonirhat,2018-19,576.0,245.0
Nilphamari,2018-19,876.0,329.0
Panchagarh,2018-19,1607.0,496.0
Rangpur,2018-19,866.0,797.0
Thakurgaon,2018-19,955.0,308.0
Rangpur Divison,2018-19,6499.0,3088.0
Habiganj,2018-19,76.0,26.0
