District,Year,Hectares,Production_MT
Barguna,2016-17,0.0,0.0
Barguna,2017-18,279.0,279.0
Barishal,2016-17,5.0,23.0
Barishal,2017-18,413.0,436.0
Bhola,2016-17,6.0,30.0
Bhola,2017-18,262.0,262.0
Jhallokati,2016-17,2520.0,0.0
Jhallokati,2017-18,262.0,262.0
Patuakhali,2016-17,0.0,0.0
Patuakhali,2017-18,432.0,432.0
Pirojpur,2016-17,18.0,117.0
Pirojpur,2017-18,188.0,266.0
Barishal,2016-17,2549.0,170.0
Barishal,2017-18,1836.0,1937.0
Bandarban,2016-17,8.0,29.0
Bandarban,2017-18,387.0,415.0
Brahmanbaria,2016-17,0.0,0.0
Brahmanbaria,2017-18,1453.0,1453.0
Chandpur,2016-17,0.0,0.0
Chandpur,2017-18,1165.0,1165.0
Chattogram,2016-17,2.0,10.0
Chattogram,2017-18,3148.0,3157.0
Cumilla,2016-17,0.0,0.0
Cumilla,2017-18,3396.0,3418.0
Cox's Bazar,2016-17,17.0,96.0
Cox's Bazar,2017-18,1526.0,1558.0
Feni,2016-17,0.0,0.0
Feni,2017-18,256.0,256.0
Khagrachhari,2016-17,6.0,29.0
Khagrachhari,2017-18,603.0,630.0
Laksmipur,2016-17,0.0,0.0
Laksmipur,2017-18,538.0,538.0
Noakhali,2016-17,0.0,0.0
Noakhali,2017-18,792.0,792.0
Rangamati,2016-17,44.0,161.0
Rangamati,2017-18,1214.0,1374.0
Chattogram,2016-17,77.0,325.0
Chattogram,2017-18,14478.0,14756.0
Dhaka,2016-17,4.0,44.0
Dhaka,2017-18,1310.0,1352.0
Faridpur,2016-17,23.0,62.0
Faridpur,2017-18,516.0,578.0
Gazipur,2016-17,22.0,63.0
Gazipur,2017-18,378.0,438.0
Gopalganj,2016-17,4.0,13.0
Gopalganj,2017-18,576.0,587.0
Kishorganj,2016-17,1.0,4.0
Kishorganj,2017-18,1712.0,1716.0
Madaripur,2016-17,1.0,74.0
Madaripur,2017-18,3213.0,3213.0
Manikganj,2016-17,77.0,51.0
Manikganj,2017-18,607.0,658.0
Munshiganj,2016-17,0.0,0.0
Munshiganj,2017-18,275.0,275.0
Narayanganj,2016-17,0.0,0.0
Narayanganj,2017-18,344.0,344.0
Narsingdi,2016-17,13.0,115.0
Narsingdi,2017-18,800.0,969.0
Rajbari,2016-17,825.0,42.0
Rajbari,2017-18,358.0,399.0
Shariatpur,2016-17,0.0,0.0
Shariatpur,2017-18,803.0,815.0
Tangail,2016-17,63.0,989.0
Tangail,2017-18,1579.0,2573.0
Dhaka,2016-17,1033.0,1457.0
Dhaka,2017-18,12471.0,13917.0
Bagerhat,2016-17,27.0,112.0
Bagerhat,2017-18,564.0,666.0
Chuadanga,2016-17,66.0,1084.0
Chuadanga,2017-18,70.0,2250.0
Jashore,2016-17,1156.0,2090.0
Jashore,2017-18,794.0,2730.0
Jhenaidah,2016-17,139.0,1225.0
Jhenaidah,2017-18,569.0,1938.0
Khulna,2016-17,85.0,230.0
Khulna,2017-18,719.0,931.0
Kushtia,2016-17,74.0,887.0
Kushtia,2017-18,1548.0,2448.0
Magura,2016-17,30.0,485.0
Magura,2017-18,1331.0,1811.0
Meherpur,2016-17,84.0,237.0
Meherpur,2017-18,35.0,138.0
Narail,2016-17,57.0,333.0
Narail,2017-18,738.0,1032.0
Satkhira,2016-17,178.0,857.0
Satkhira,2017-18,818.0,1636.0
Khulna,2016-17,1896.0,7540.0
Khulna,2017-18,7186.0,15580.0
Jamalpur,2016-17,22.0,406.0
Jamalpur,2017-18,2344.0,2672.0
Mymensing,2016-17,99.0,1035.0
Mymensing,2017-18,6215.0,6865.0
Netrakona,2016-17,0.0,0.0
Netrakona,2017-18,1712.0,1712.0
Sherpur,2016-17,4.0,109.0
Sherpur,2017-18,586.0,691.0
Mymensing,2016-17,125.0,1550.0
Mymensing,2017-18,10857.0,11940.0
Bogura,2016-17,17.0,556.0
Bogura,2017-18,1757.0,2413.0
Joypurhat,2016-17,5.0,58.0
Joypurhat,2017-18,1028.0,1086.0
Naogaon,2016-17,122.0,496.0
Naogaon,2017-18,933.0,1307.0
