District,Year,Hectares,Production_MT
Barguna,2016-17,0.0,0.0
Barguna,2017-18,80.0,80.0
Barishal,2016-17,0.0,0.0
Barishal,2017-18,484.0,484.0
Bhola,2016-17,0.0,0.0
Bhola,2017-18,177.0,177.0
Jhalokathi,2016-17,0.0,0.0
Jhalokathi,2017-18,35.0,35.0
Patuakhali,2016-17,0.0,0.0
Patuakhali,2017-18,80.0,80.0
Pirojpur,2016-17,0.0,0.0
Pirojpur,2017-18,115.0,115.0
Barishal,2016-17,0.0,0.0
Barishal,2017-18,971.0,971.0
Bandarban,2016-17,23.0,65.0
Bandarban,2017-18,215.0,279.0
Brahmanbaria,2016-17,0.0,0.0
Brahmanbaria,2017-18,682.0,682.0
Chandpur,2016-17,0.0,0.0
Chandpur,2017-18,332.0,332.0
Chattogram,2016-17,5.0,543.0
Chattogram,2017-18,1416.0,1445.0
Cumilla,2016-17,0.0,0.0
Cumilla,2017-18,1390.0,1390.0
Cox's Bazar,2016-17,95.0,27.0
Cox's Bazar,2017-18,725.0,752.0
Feni,2016-17,0.0,0.0
Feni,2017-18,277.0,277.0
Khagrachhari,2016-17,4.0,136.0
Khagrachhari,2017-18,513.0,513.0
Lakshmipur,2016-17,0.0,0.0
Lakshmipur,2017-18,152.0,152.0
Noakhali,2016-17,27.0,0.0
Noakhali,2017-18,581.0,581.0
Rangamati,2016-17,0.0,63.0
Rangamati,2017-18,494.0,560.0
Chattogram,2016-17,154.0,834.0
Chattogram,2017-18,6777.0,6963.0
Dhaka,2016-17,0.0,0.0
Dhaka,2017-18,209.0,209.0
Faridpur,2016-17,0.0,0.0
Faridpur,2017-18,864.0,864.0
Gazipur,2016-17,0.0,0.0
Gazipur,2017-18,514.0,514.0
Gopalganj,2016-17,0.0,0.0
Gopalganj,2017-18,450.0,464.0
Kishoreganj,2016-17,0.0,0.0
Kishoreganj,2017-18,1407.0,1407.0
Madaripur,2016-17,0.0,0.0
Madaripur,2017-18,694.0,694.0
Manikganj,2016-17,0.0,0.0
Manikganj,2017-18,324.0,324.0
Munshiganj,2016-17,0.0,0.0
Munshiganj,2017-18,114.0,114.0
Narayanganj,2016-17,0.0,0.0
Narayanganj,2017-18,110.0,110.0
Narsingdi,2016-17,0.0,0.0
Narsingdi,2017-18,639.0,639.0
Rajbari,2016-17,0.0,0.0
Rajbari,2017-18,1244.0,1244.0
Shariatpur,2016-17,0.0,0.0
Shariatpur,2017-18,285.0,285.0
Tangail,2016-17,0.0,0.0
Tangail,2017-18,449.0,449.0
Dhaka,2016-17,0.0,0.0
Dhaka,2017-18,7303.0,7317.0
Bagerhat,2016-17,0.0,0.0
Bagerhat,2017-18,171.0,171.0
Chuadanga,2016-17,0.0,0.0
Chuadanga,2017-18,156.0,156.0
Jessore,2016-17,0.0,0.0
Jessore,2017-18,959.0,959.0
Jhenaidah,2016-17,0.0,0.0
Jhenaidah,2017-18,1081.0,1081.0
Khulna,2016-17,0.0,0.0
Khulna,2017-18,331.0,331.0
Kushtia,2016-17,61.0,343.0
Kushtia,2017-18,4475.0,4865.0
Magura,2016-17,0.0,0.0
Magura,2017-18,941.0,941.0
Meherpur,2016-17,74.0,78.0
Meherpur,2017-18,131.0,209.0
Narail,2016-17,0.0,0.0
Narail,2017-18,243.0,243.0
Satkhira,2016-17,0.0,0.0
Satkhira,2017-18,902.0,902.0
Khulna,2016-17,135.0,421.0
Khulna,2017-18,9390.0,9858.0
Jamalpur,2016-17,0.0,0.0
Jamalpur,2017-18,2096.0,2096.0
Mymensingh,2016-17,0.0,0.0
Mymensingh,2017-18,3372.0,3372.0
Netrokona,2016-17,0.0,0.0
Netrokona,2017-18,1113.0,1113.0
Sherpur,2016-17,0.0,0.0
Sherpur,2017-18,695.0,695.0
Mymensingh,2016-17,0.0,0.0
Mymensingh,2017-18,7276.0,7276.0
Bogura,2016-17,0.0,0.0
Bogura,2017-18,2114.0,2114.0
Joypurhat,2016-17,0.0,0.0
Joypurhat,2017-18,190.0,190.0
Naogaon,2016-17,0.0,0.0
Naogaon,2017-18,554.0,554.0
Natore,2016-17,0.0,0.0
Natore,2017-18,4642.0,4642.0
Chapai Nawabganj,2016-17,0.0,0.0
Chapai Nawabganj,2017-18,76.0,77.0
Pabna,2016-17,0.0,0.0
Pabna,2017-18,793.0,793.0
Rajshahi,2016-17,0.0,0.0
Rajshahi,2017-18,540.0,540.0
Sirajganj,2016-17,0.0,0.0
Sirajganj,2017-18,987.0,987.0
Rajshahi,2016-17,0.0,0.0
Rajshahi,2017-18,9896.0,9897.0
Dinajpur,2016-17,0.0,0.0
Dinajpur,2017-18,519.0,519.0
Gaibandha,2016-17,0.0,0.0
Gaibandha,2017-18,330.0,330.0
Kurigram,2016-17,0.0,0.0
