District,Year,Hectares,Production_MT
Barguna,2022-23,604.28,0.0
Barguna,2023-24,285.0,285.0
Barishal,2022-23,225.0,25.59
Barishal,2023-24,1317.55,1338.0
Bhola,2022-23,97.34,19.15
Bhola,2023-24,451.13,469.47
Jhallokati,2022-23,497.0,69.05
Jhallokati,2023-24,311.58,357.0
Patuakhali,2022-23,207.62,0.0
Patuakhali,2023-24,377.37,745.81
Pirojpur,2022-23,104.18,105.54
Pirojpur,2023-24,345.79,451.6
Bandarban,2022-23,312.9,45.26
Bandarban,2023-24,396.98,425.76
Brahmanbaria,2022-23,294.23,0.0
Brahmanbaria,2023-24,1281.03,1281.03
Chandpur,2022-23,108.54,0.0
Chandpur,2023-24,468.71,468.71
Chattogram,2022-23,458.03,13.32
Chattogram,2023-24,3659.22,3674.07
Cumilla,2022-23,1224.0,206.89
Cumilla,2023-24,4070.07,4275.0
Cox’s Bazar,2022-23,273.6,102.78
Cox’s Bazar,2023-24,981.48,1083.22
Feni,2022-23,182.32,0.0
Feni,2023-24,284.79,284.79
Khagrachari,2022-23,381.69,364.99
Khagrachari,2023-24,708.8,774.25
Lakshmipur,2022-23,85.72,34.86
Lakshmipur,2023-24,87.68,124.0
Noakhali,2022-23,275.38,0.0
Noakhali,2023-24,1058.89,1058.89
Rangamati,2022-23,514.59,610.56
Rangamati,2023-24,1147.58,1679.7
Dhaka,2022-23,316.7,0.0
Dhaka,2023-24,1481.64,1481.64
Faridpur,2022-23,71.0,157.1
Faridpur,2023-24,637.14,723.0
Gazipur,2022-23,291.0,142.91
Gazipur,2023-24,471.21,611.0
Gopalganj,2022-23,147.67,152.76
Gopalganj,2023-24,502.23,502.23
Kishoreganj,2022-23,220.28,37.48
Kishoreganj,2023-24,1627.24,1663.48
Madaripur,2022-23,95.57,33.18
Madaripur,2023-24,1296.84,1328.12
Manikganj,2022-23,264.81,139.26
Manikganj,2023-24,644.57,778.95
Munshiganj,2022-23,54.39,0.0
Munshiganj,2023-24,295.86,295.86
Narayanganj,2022-23,94.05,9.69
Narayanganj,2023-24,308.93,319.06
Narsingdi,2022-23,91.48,157.01
Narsingdi,2023-24,596.68,737.18
Rajbari,2022-23,51.13,54.14
Rajbari,2023-24,256.66,304.92
Shariatpur,2022-23,171.7,0.0
Shariatpur,2023-24,1421.0,1421.0
Tangail,2022-23,403.0,1179.99
Tangail,2023-24,1783.57,2938.0
Bagerhat,2022-23,162.39,102.26
Bagerhat,2023-24,884.26,1099.0
Chuadanga,2022-23,93.14,1645.59
Chuadanga,2023-24,266.08,1937.0
Jashore,2022-23,250.24,2259.95
Jashore,2023-24,953.98,2979.0
Jhenaidah,2022-23,239.47,1424.08
Jhenaidah,2023-24,664.58,2024.0
Khulna,2022-23,232.58,196.98
Khulna,2023-24,743.86,935.0
Kushtia,2022-23,431.0,1179.09
Magura,2022-23,158.0,269.29
Magura,2023-24,1210.5,1419.0
Meherpur,2022-23,101.07,449.61
Meherpur,2023-24,156.67,617.0
Narail,2022-23,438.0,637.19
Narail,2023-24,906.8,1557.9
Satkhira,2022-23,612.18,848.73
Satkhira,2023-24,1266.43,2091.0
Jamalpur,2022-23,543.0,10.56
Jamalpur,2023-24,2513.25,2524.0
Mymensingh,2022-23,1249.0,1338.34
Mymensingh,2023-24,5753.41,7057.0
Netrokona,2022-23,557.78,14.28
Netrokona,2023-24,1770.0,1770.0
Sherpur,2022-23,221.38,74.36
Sherpur,2023-24,1106.84,1175.0
Bogura,2022-23,252.43,563.56
Bogura,2023-24,2513.25,3072.43
Joypurhat,2022-23,149.44,82.44
Joypurhat,2023-24,1425.04,1523.2
Naogaon,2022-23,233.24,1562.62
Naogaon,2023-24,1250.09,2374.87
Natore,2022-23,230.13,1163.65
Natore,2023-24,642.81,1516.47
Chapai Nawabganj,2022-23,330.97,1811.59
Chapai Nawabganj,2023-24,516.33,2380.09
Pabna,2022-23,162.91,1113.63
Pabna,2023-24,1302.71,1752.81
Rajshahi,2022-23,689.89,7367.09
Rajshahi,2023-24,1304.69,8537.55
Sirajganj,2022-23,73.48,39.09
Sirajganj,2023-24,1363.13,1399.92
Dinajpur,2022-23,163.0,346.3
Dinajpur,2023-24,572.8,904.0
Gaibandha,2022-23,75.4,99.06
Gaibandha,2023-24,232.45,327.41
Kurigram,2022-23,76.53,47.61
Kurigram,2023-24,313.85,357.18
Lalmonirhat,2022-23,64.32,30.13
Lalmonirhat,2023-24,172.4,208.3
Nilphamari,2022-23,129.75,730.03
Nilphamari,2023-24,1284.51,1994.94
Panchagar,2022-23,99.07,125.18
Panchagar,2023-24,274.99,398.1
Rangpur,2022-23,79.03,200.12
Rangpur,2023-24,374.14,567.2
Thakurgaon,2022-23,49.77,32.18
Thakurgaon,2023-24,509.45,541.28
Habiganj,2022-23,191.14,0.0
Habiganj,2023-24,579.47,579.47
Moulvibazar,2022-23,172.67,144.64
Moulvibazar,2023-24,1436.84,1529.42
Sunamganj,2022-23,250.0,0.0
Sunamganj,2023-24,1253.0,1253.0
Sylhet,2022-23,476.2,221.98
Sylhet,2023-24,1468.45,1512.12
