District,Year,Hectares,Production_MT
Barguna,2016-17,0.0,0.0
Barguna,2017-18,54.0,54.0
Barishal,2016-17,0.0,0.0
Barishal,2017-18,333.0,333.0
Bhola,2016-17,0.0,0.0
Bhola,2017-18,85.0,85.0
Jhallokati,2016-17,0.0,0.0
Jhallokati,2017-18,133.0,133.0
Patuakhali,2016-17,0.0,0.0
Patuakhali,2017-18,91.0,91.0
Pirojpur,2016-17,0.0,0.0
Pirojpur,2017-18,53.0,53.0
Barishal,2016-17,0.0,0.0
Barishal,2017-18,749.0,749.0
Bandarban,2016-17,7.0,27.0
Bandarban,2017-18,175.0,201.0
Brahmanbaria,2016-17,0.0,0.0
Brahmanbaria,2017-18,272.0,272.0
Chandpur,2016-17,0.0,0.0
Chandpur,2017-18,251.0,251.0
Chattogram,2016-17,0.0,0.0
Chattogram,2017-18,466.0,466.0
Cumilla,2016-17,0.0,0.0
Cumilla,2017-18,792.0,792.0
Cox's Bazar,2016-17,0.0,0.0
Cox's Bazar,2017-18,222.0,222.0
Feni,2016-17,0.0,0.0
Feni,2017-18,199.0,199.0
Khagrachhari,2016-17,0.0,0.0
Khagrachhari,2017-18,848.0,848.0
Laksmipur,2016-17,0.0,0.0
Laksmipur,2017-18,384.0,384.0
Noakhali,2016-17,0.0,0.0
Noakhali,2017-18,190.0,190.0
Rangamati,2016-17,10.0,10.0
Rangamati,2017-18,410.0,418.0
Chattogram,2016-17,17.0,37.0
Chattogram,2017-18,4209.0,4243.0
Dhaka,2016-17,0.0,0.0
Dhaka,2017-18,150.0,150.0
Faridpur,2016-17,0.0,0.0
Faridpur,2017-18,113.0,113.0
Gazipur,2016-17,0.0,11.0
Gazipur,2017-18,243.0,254.0
Gopalganj,2016-17,0.0,32.0
Gopalganj,2017-18,63.0,63.0
Kishorganj,2016-17,0.0,0.0
Kishorganj,2017-18,498.0,498.0
Madaripur,2016-17,0.0,0.0
Madaripur,2017-18,31.0,31.0
Manikganj,2016-17,0.0,0.0
Manikganj,2017-18,114.0,114.0
Munshiganj,2016-17,0.0,0.0
Munshiganj,2017-18,84.0,84.0
Narayanganj,2016-17,0.0,0.0
Narayanganj,2017-18,164.0,164.0
Narsingdi,2016-17,0.0,0.0
Narsingdi,2017-18,183.0,183.0
Rajbari,2016-17,0.0,0.0
Rajbari,2017-18,20.0,20.0
Shariatpur,2016-17,0.0,0.0
Shariatpur,2017-18,8.0,8.0
Tangail,2016-17,0.0,0.0
Tangail,2017-18,475.0,475.0
Dhaka,2016-17,0.0,43.0
Dhaka,2017-18,2146.0,2157.0
Bagerhat,2016-17,0.0,0.0
