District,Year,Hectares,Production_MT
Bhola,2018-19,329.0,112.0
Jhallokati,2018-19,0.0,0.0
Patuakhali,2018-19,109.0,0.75
Pirojpur,2018-19,0.0,0.0
Barishal Division,2018-19,503.0,132.75
Bandarban,2018-19,6.0,4.0
Brahmanbaria,2018-19,17.0,15.0
Chandpur,2018-19,25.0,22.0
Chattogram,2018-19,135.0,52.0
Cumilla,2018-19,7.0,10.0
Cox’s Bazar,2018-19,12.0,14.0
Feni,2018-19,42.0,0.22
Khagrachari,2018-19,21.0,10.1
Lakshmipur,2018-19,13.0,5.0
Noakhali,2018-19,46.0,21.0
Rangamati,2018-19,0.0,0.0
Chattogram Division,2018-19,324.0,153.32
Dhaka,2018-19,2943.0,437.0
Faridpur,2018-19,44.0,28.0
Gazipur,2018-19,190.0,52.07
Gopalganj,2018-19,0.0,0.0
Kishoreganj,2018-19,153.0,39.0
Madaripur,2018-19,0.0,0.0
Manikganj,2018-19,3324.0,1123.0
Munshiganj,2018-19,0.0,0.0
Narayanganj,2018-19,73.0,50.0
Narsingdi,2018-19,2.0,1.15
Rajbari,2018-19,50.0,53.0
Shariatpur,2018-19,7.0,14.0
Tangail,2018-19,355.0,103.0
Dhaka Division,2018-19,7141.0,1900.22
Bagerhat,2018-19,76.0,44.0
Chuadanga,2018-19,251.0,76.0
Jashore,2018-19,415.0,125.0
Jhenaidah,2018-19,245.0,60.0
Khulna,2018-19,31.0,13.0
Kushtia,2018-19,174.0,77.0
Magura,2018-19,79.0,21.0
Meherpur,2018-19,108.0,35.0
Narail,2018-19,11.0,28.0
Satkhira,2018-19,299.0,90.0
Khulna Division,2018-19,1689.0,569.0
Jamalpur,2018-19,1477.0,272.0
Mymensingh,2018-19,300.0,224.0
Netrokona,2018-19,19.0,16.0
Sherpur,2018-19,516.0,155.0
Mymensingh Division,2018-19,2312.0,667.0
Bogura,2018-19,585.0,138.0
Joypurhat,2018-19,137.0,48.0
Naogaon,2018-19,185.0,42.0
Natore,2018-19,143.0,75.0
Chapai Nawabganj,2018-19,0.0,0.0
Pabna,2018-19,3202.0,441.0
Rajshahi,2018-19,200.0,87.0
Sirajganj,2018-19,224.0,62.0
Rajshahi Division,2018-19,4676.0,893.0
Dinajpur,2018-19,248.0,137.0
Gaibandha,2018-19,298.0,158.0
Kurigram,2018-19,138.0,72.0
Lalmonirhat,2018-19,310.0,93.0
Nilphamari,2018-19,142.0,98.0
Panchagar,2018-19,331.0,187.0
Rangpur,2018-19,399.0,202.0
Thakurgaon,2018-19,138.0,78.0
Rangpur Divison,2018-19,2004.0,1025.0
Habiganj,2018-19,0.0,0.0
Moulvibazar,2018-19,18.0,8.0
Sunamganj,2018-19,0.0,0.0
Sylhet,2018-19,7.0,26.0
Sylhet Division,2018-19,25.0,34.0
Bhola,2020-21,313.0,106.0
Jhallokati,2020-21,0.0,0.0
Patuakhali,2020-21,2.6,7.8
Pirojpur,2020-21,6.0,0.0
Barishal Division,2020-21,351.6,136.8
Bandarban,2020-21,7.0,5.5
Brahmanbaria,2020-21,18.0,22.55
Chandpur,2020-21,46.0,22.35
Chattogram,2020-21,176.0,50.65
Cumilla,2020-21,20.0,10.71
Cox’s Bazar,2020-21,27.0,6.72
Feni,2020-21,0.58,0.27
Khagrachari,2020-21,20.0,11.0
Lakshmipur,2020-21,10.0,6.0
Noakhali,2020-21,39.0,29.0
Rangamati,2020-21,0.0,0.0
Chattogram Division,2020-21,363.58,164.75
Dhaka,2020-21,3147.0,429.2
Faridpur,2020-21,60.0,29.2
Gazipur,2020-21,203.0,52.8
Gopalganj,2020-21,0.0,0.0
Kishoreganj,2020-21,121.0,44.2
