District,Year,Hectares,Production_MT
Barguna,2018-19,17.0,0.0
Barguna,2019-20,0.0,0.0
Barishal,2018-19,136.0,0.0
Barishal,2019-20,0.0,0.0
Bhola,2018-19,11.0,0.0
Bhola,2019-20,0.0,0.0
Jhalokathi,2018-19,64.0,0.0
Jhalokathi,2019-20,0.0,0.0
Patuakhali,2018-19,87.0,0.0
Patuakhali,2019-20,0.0,0.0
Pirojpur,2018-19,8.0,0.0
Pirojpur,2019-20,0.0,0.0
Barishal Division,2018-19,323.0,0.0
Barishal Division,2019-20,0.0,0.0
Bandarban,2018-19,0.0,0.0
Bandarban,2019-20,0.0,0.0
Brahmanbaria,2018-19,1.0,0.0
Brahmanbaria,2019-20,0.0,0.0
Chandpur,2018-19,0.0,0.0
Chandpur,2019-20,0.0,0.0
Chattogram,2018-19,0.0,0.0
Chattogram,2019-20,0.0,0.0
Cumilla,2018-19,1.0,0.0
Cumilla,2019-20,0.0,0.0
Cox’s Bazar,2018-19,0.0,0.0
Cox’s Bazar,2019-20,0.0,0.0
Feni,2018-19,1.0,0.0
Feni,2019-20,0.0,0.0
Khagrachhari,2018-19,184.0,67.0
Khagrachhari,2019-20,0.0,0.0
Lakshmipur,2018-19,0.0,0.0
Lakshmipur,2019-20,0.0,0.0
Noakhali,2018-19,0.0,0.0
Noakhali,2019-20,0.0,0.0
Rangamati,2018-19,76.0,3.0
Rangamati,2019-20,0.0,0.0
"Chattogram
Division",2018-19,263.0,70.0
"Chattogram
Division",2019-20,0.0,0.0
Dhaka,2018-19,0.0,0.0
Dhaka,2019-20,0.0,0.0
Faridpur,2018-19,12.0,0.0
Faridpur,2019-20,0.0,0.0
Gazipur,2018-19,0.0,0.0
Gazipur,2019-20,0.0,0.0
Gopalganj,2018-19,0.0,0.0
Gopalganj,2019-20,0.0,0.0
Kishoreganj,2018-19,16.0,0.0
Kishoreganj,2019-20,0.0,0.0
Madaripur,2018-19,0.0,0.0
Madaripur,2019-20,0.0,0.0
Manikganj,2018-19,0.0,0.0
Manikganj,2019-20,0.0,0.0
Munshiganj,2018-19,0.0,0.0
Munshiganj,2019-20,0.0,0.0
Narayanganj,2018-19,0.0,0.0
Narayanganj,2019-20,0.0,0.0
Narsingdi,2018-19,53.0,0.0
Narsingdi,2019-20,0.0,0.0
Rajbari,2018-19,0.0,0.0
Rajbari,2019-20,0.0,0.0
Shariatpur,2018-19,0.0,0.0
Shariatpur,2019-20,0.0,0.0
Tangail,2018-19,205.0,0.0
Tangail,2019-20,0.0,0.0
Dhaka Division,2018-19,286.0,0.0
Dhaka Division,2019-20,0.0,0.0
Bagerhat,2018-19,5.0,0.0
Bagerhat,2019-20,0.0,0.0
Chuadanga,2018-19,0.0,0.0
Chuadanga,2019-20,0.0,0.0
Jessore,2018-19,21.0,0.0
Jessore,2019-20,0.0,0.0
Jhenaidah,2018-19,0.0,0.0
Jhenaidah,2019-20,0.0,0.0
Khulna,2018-19,0.0,0.0
Khulna,2019-20,0.0,0.0
Kushtia,2018-19,0.0,0.0
Kushtia,2019-20,0.0,0.0
Magura,2018-19,0.0,0.0
Magura,2019-20,0.0,0.0
Meherpur,2018-19,0.0,0.0
Meherpur,2019-20,0.0,0.0
Narail,2018-19,11.0,19.0
Narail,2019-20,0.0,0.0
Satkhira,2018-19,0.0,0.0
Satkhira,2019-20,0.0,0.0
Khulna Division,2018-19,37.0,19.0
Khulna Division,2019-20,0.0,0.0
Jamalpur,2018-19,2.0,2.0
Jamalpur,2019-20,0.0,0.0
Mymensinghh,2018-19,179.0,0.0
Mymensinghh,2019-20,0.0,0.0
Netrokona,2018-19,0.0,0.0
Netrokona,2019-20,0.0,0.0
Sherpur,2018-19,1.0,0.0
Sherpur,2019-20,0.0,0.0
"Mymensinghh
Division",2018-19,182.0,2.0
"Mymensinghh
Division",2019-20,0.0,0.0
Bogura,2018-19,2.0,6.0
Bogura,2019-20,0.0,0.0
Joypurhat,2018-19,0.0,0.0
Joypurhat,2019-20,0.0,0.0
Naogaon,2018-19,0.0,0.0
Naogaon,2019-20,0.0,0.0
Natore,2018-19,0.0,0.0
Natore,2019-20,0.0,0.0
Chapai Nawabganj,2018-19,0.0,0.0
Chapai Nawabganj,2019-20,0.0,0.0
Pabna,2018-19,0.0,0.0
Pabna,2019-20,0.0,0.0
Rajshahi,2018-19,0.0,0.0
Rajshahi,2019-20,0.0,0.0
Sirajganj,2018-19,0.0,0.0
Sirajganj,2019-20,0.0,0.0
Rajshahi Division,2018-19,2.0,6.0
Rajshahi Division,2019-20,0.0,0.0
Dinajpur,2018-19,31.0,0.0
Dinajpur,2019-20,0.0,0.0
Gaibandha,2018-19,3.0,0.0
Gaibandha,2019-20,0.0,0.0
Kurigram,2018-19,19.0,0.0
Kurigram,2019-20,0.0,0.0
Lalmonirhat,2018-19,6.0,12.0
Lalmonirhat,2019-20,0.0,0.0
Nilphamari,2018-19,15.0,75.0
Nilphamari,2019-20,0.0,0.0
Panchagarh,2018-19,117.0,104.0
Panchagarh,2019-20,0.0,0.0
Rangpur,2018-19,5.0,0.0
Rangpur,2019-20,0.0,0.0
Thakurgaon,2018-19,8.0,7.0
Thakurgaon,2019-20,0.0,0.0
Rangpur Division,2018-19,204.0,198.0
Rangpur Division,2019-20,0.0,0.0
Habiganj,2018-19,0.0,0.0
Habiganj,2019-20,0.0,0.0
Maulvibazar,2018-19,38.0,0.0
Maulvibazar,2019-20,0.0,0.0
Sunamganj,2018-19,0.0,0.0
Sunamganj,2019-20,0.0,0.0
Sylhet,2018-19,41.0,22.0
Sylhet,2019-20,0.0,0.0
Sylhet Division,2018-19,79.0,22.0
Sylhet Division,2019-20,0.0,0.0
Barguna,2020-21,36.68,0.0
Barguna,2021-22,3.0,17.0
Barishal,2020-21,140.42,0.0
Barishal,2021-22,65.0,70.0
Bhola,2020-21,4.05,0.0
Bhola,2021-22,7.0,9.0
Jhalokathi,2020-21,19.0,0.0
Jhalokathi,2021-22,25.0,25.0
Patuakhali,2020-21,34.95,0.0
Patuakhali,2021-22,50.0,35.0
Pirojpur,2020-21,24.35,0.55
Pirojpur,2021-22,52.0,52.0
Barishal Division,2020-21,259.45,0.55
Barishal Division,2021-22,202.0,208.0
Bandarban,2020-21,0.0,0.0
Bandarban,2021-22,0.0,0.0
Brahmanbaria,2020-21,1.74,0.0
Brahmanbaria,2021-22,3.0,3.0
Chandpur,2020-21,0.0,0.0
Chandpur,2021-22,0.0,0.0
Chattogram,2020-21,1.25,0.0
Chattogram,2021-22,3.0,6.0
Cumilla,2020-21,1.92,0.0
Cumilla,2021-22,0.0,1.0
Cox’s Bazar,2020-21,0.0,0.0
Cox’s Bazar,2021-22,0.0,0.0
Feni,2020-21,0.9,0.0
Feni,2021-22,1.0,1.0
Khagrachhari,2020-21,212.45,80.99
Khagrachhari,2021-22,59.0,141.0
Lakshmipur,2020-21,0.0,0.0
Lakshmipur,2021-22,0.0,0.0
Noakhali,2020-21,0.0,0.0
Noakhali,2021-22,0.0,0.0
Rangamati,2020-21,78.04,3.26
Rangamati,2021-22,61.0,70.0
"Chattogram
Division",2020-21,296.3,84.25
"Chattogram
Division",2021-22,127.0,221.0
Dhaka,2020-21,0.0,0.0
Dhaka,2021-22,0.0,0.0
Faridpur,2020-21,0.51,0.0
Faridpur,2021-22,1.0,1.0
Gazipur,2020-21,7.0,0.0
Gazipur,2021-22,0.0,8.0
Gopalganj,2020-21,0.0,0.0
Gopalganj,2021-22,0.0,0.0
Kishoreganj,2020-21,14.72,0.0
Kishoreganj,2021-22,4.0,49.0
Madaripur,2020-21,0.0,0.0
Madaripur,2021-22,0.0,0.0
Manikganj,2020-21,0.0,0.0
Manikganj,2021-22,0.0,0.0
Munshiganj,2020-21,0.0,0.0
Munshiganj,2021-22,0.0,0.0
Narayanganj,2020-21,0.0,0.0
Narayanganj,2021-22,0.0,0.0
Narsingdi,2020-21,6.75,0.0
Narsingdi,2021-22,1.0,2.0
Rajbari,2020-21,0.0,0.0
Rajbari,2021-22,0.0,0.0
Shariatpur,2020-21,0.0,0.0
Shariatpur,2021-22,0.0,0.0
Tangail,2020-21,3.49,0.0
Tangail,2021-22,17.0,0.0
Dhaka Division,2020-21,32.47,0.0
Dhaka Division,2021-22,23.0,60.0
Bagerhat,2020-21,15.8,0.0
Bagerhat,2021-22,0.0,14.0
Chuadanga,2020-21,3.8,0.0
Chuadanga,2021-22,0.0,4.0
Jessore,2020-21,9.98,0.0
Jessore,2021-22,10.0,20.0
Jhenaidah,2020-21,2.68,0.0
Jhenaidah,2021-22,8.0,4.0
Khulna,2020-21,9.7,0.0
Khulna,2021-22,6.0,2.0
Kushtia,2020-21,0.0,0.0
Kushtia,2021-22,0.0,0.0
Magura,2020-21,2.42,0.0
Magura,2021-22,33.0,33.0
Meherpur,2020-21,0.0,0.0
Meherpur,2021-22,0.0,0.0
Narail,2020-21,73.0,0.0
Narail,2021-22,19.0,36.0
Satkhira,2020-21,26.5,0.0
Satkhira,2021-22,57.0,57.0
Khulna Division,2020-21,143.88,0.0
Khulna Division,2021-22,153.0,170.0
Jamalpur,2020-21,3.0,0.0
Jamalpur,2021-22,6.0,6.0
Mymensinghh,2020-21,13.0,0.0
Mymensinghh,2021-22,12.0,12.0
Netrokona,2020-21,0.0,0.0
Netrokona,2021-22,0.0,0.0
Sherpur,2020-21,2.0,0.0
Sherpur,2021-22,2.0,2.0
"Mymensinghh
Division",2020-21,18.0,0.0
"Mymensinghh
Division",2021-22,20.0,20.0
Bogura,2020-21,24.0,5.7
Bogura,2021-22,23.0,29.0
Joypurhat,2020-21,6.89,0.0
Joypurhat,2021-22,0.0,0.0
Naogaon,2020-21,9.0,0.0
Naogaon,2021-22,89.0,89.0
Natore,2020-21,0.0,0.0
Natore,2021-22,0.0,0.0
Chapai Nawabganj,2020-21,0.0,0.0
Chapai Nawabganj,2021-22,0.0,0.0
Pabna,2020-21,0.0,0.0
Pabna,2021-22,0.0,0.0
Rajshahi,2020-21,0.0,0.0
Rajshahi,2021-22,0.0,0.0
Sirajganj,2020-21,1.92,0.0
Sirajganj,2021-22,0.0,0.0
Rajshahi Division,2020-21,41.81,5.7
Rajshahi Division,2021-22,112.0,118.0
Dinajpur,2020-21,28.39,0.0
Dinajpur,2021-22,66.0,66.0
Gaibandha,2020-21,3.01,0.0
Gaibandha,2021-22,10.0,10.0
Kurigram,2020-21,10.44,1.29
Kurigram,2021-22,38.0,38.0
Lalmonirhat,2020-21,33.59,16.92
Lalmonirhat,2021-22,67.0,93.0
Nilphamari,2020-21,12.63,37.48
Nilphamari,2021-22,81.0,156.0
Panchagarh,2020-21,123.85,130.31
Panchagarh,2021-22,90.0,216.0
Rangpur,2020-21,5.06,0.0
Rangpur,2021-22,24.0,24.0
Thakurgaon,2020-21,8.78,7.83
Thakurgaon,2021-22,14.0,21.0
"Rangpur Division",2020-21,225.75,193.83
"Rangpur Division",2021-22,390.0,624.0
Habiganj,2020-21,0.0,0.0
Habiganj,2021-22,0.0,0.0
Maulvibazar,2020-21,148.32,0.0
Maulvibazar,2021-22,306.0,306.0
Sunamganj,2020-21,0.0,0.0
Sunamganj,2021-22,0.0,0.0
Sylhet,2020-21,67.17,41.99
Sylhet,2021-22,38.0,87.0
Sylhet Division,2020-21,215.49,41.99
Sylhet Division,2021-22,344.0,393.0
Barguna,2022-23,39.62,0.0
Barguna,2023-24,11.0,11.0
Barishal,2022-23,100.2,0.0
Barishal,2023-24,75.0,75.0
Bhola,2022-23,4.45,0.0
Bhola,2023-24,9.72,9.72
Jhalokathi,2022-23,20.0,3.63
Jhalokathi,2023-24,30.0,30.0
Patuakhali,2022-23,31.78,0.0
Patuakhali,2023-24,34.39,34.39
Pirojpur,2022-23,24.13,0.54
Pirojpur,2023-24,48.22,48.76
Bandarban,2022-23,0.25,0.0
Bandarban,2023-24,0.21,0.21
Brahmanbaria,2022-23,2.69,0.0
Brahmanbaria,2023-24,2.94,2.94
Chandpur,2022-23,0.0,0.0
Chandpur,2023-24,0.0,0.0
Chattogram,2022-23,1.28,0.0
Chattogram,2023-24,3.09,3.09
Cumilla,2022-23,2.32,0.0
Cumilla,2023-24,0.72,0.72
