District,Year,Hectares,Production_MT
Bhola,2018-19,0.0,0.0
Jhalokathi,2018-19,0.0,0.0
Patuakhali,2018-19,0.0,0.0
Pirojpur,2018-19,0.0,0.0
Barishal Division,2018-19,0.0,0.0
Bandarban,2018-19,27.0,118.0
Brahmanbaria,2018-19,0.0,0.0
Chandpur,2018-19,30.0,0.0
Chattogram,2018-19,0.0,0.0
Cumilla,2018-19,0.0,0.0
Cox’s Bazar,2018-19,0.0,28.0
Feni,2018-19,0.0,0.0
Khagrachhari,2018-19,1.0,0.0
Lakshmipur,2018-19,1.0,3.0
Noakhali,2018-19,0.0,4.0
Rangamati,2018-19,21.0,28.0
Chattogram Division,2018-19,80.0,181.0
Dhaka,2018-19,0.0,0.0
Faridpur,2018-19,0.0,0.0
Gazipur,2018-19,0.0,0.0
Gopalganj,2018-19,0.0,0.0
Kishoreganj,2018-19,0.0,0.0
Madaripur,2018-19,17.0,25.0
Manikganj,2018-19,0.0,0.0
Munshiganj,2018-19,19.0,51.05
Narayanganj,2018-19,0.0,0.0
Narsingdi,2018-19,0.0,0.0
Rajbari,2018-19,0.0,0.0
Shariatpur,2018-19,0.0,0.0
Tangail,2018-19,4.0,0.0
Dhaka Division,2018-19,40.0,76.05
Bagerhat,2018-19,0.0,0.0
Chuadanga,2018-19,0.0,0.0
Jessore,2018-19,0.0,0.0
Jhenaidah,2018-19,0.0,0.0
Khulna,2018-19,0.0,0.0
Kushtia,2018-19,0.0,0.0
Magura,2018-19,0.0,0.0
Meherpur,2018-19,0.0,0.0
Narail,2018-19,0.0,0.0
Satkhira,2018-19,0.0,0.0
Khulna Division,2018-19,0.0,0.0
Jamalpur,2018-19,127.0,0.0
Mymensinghh,2018-19,0.0,0.0
Netrokona,2018-19,0.0,0.0
Sherpur,2018-19,0.0,0.0
Mymensinghh Division,2018-19,127.0,0.0
Bogura,2018-19,43.0,109.0
Joypurhat,2018-19,0.0,0.0
Naogaon,2018-19,0.0,0.0
Chapai Nawabganj,2018-19,5.0,0.0
Pabna,2018-19,2.0,0.0
Rajshahi,2018-19,0.0,0.0
Sirajganj,2018-19,14.0,0.0
Rajshahi Division,2018-19,64.0,109.0
Dinajpur,2018-19,5.0,10.0
Gaibandha,2018-19,108.0,112.0
Kurigram,2018-19,460.0,626.0
Lalmonirhat,2018-19,0.0,9.5
Nilphamari,2018-19,5.0,8.0
Panchagarh,2018-19,9.0,24.0
Rangpur,2018-19,8.0,23.0
Thakurgaon,2018-19,34.0,122.0
Rangpur Division,2018-19,629.0,934.5
Habiganj,2018-19,0.0,0.0
Maulvibazar,2018-19,0.0,0.0
Sunamganj,2018-19,0.0,0.0
Sylhet,2018-19,0.0,0.0
Sylhet Division,2018-19,0.0,0.0
Bhola,2020-21,0.0,54.0
Jhalokathi,2020-21,0.0,0.0
Patuakhali,2020-21,0.0,0.0
Pirojpur,2020-21,0.0,0.0
Barishal Division,2020-21,0.0,54.0
Bandarban,2020-21,25.0,118.7
Brahmanbaria,2020-21,0.0,0.0
Chandpur,2020-21,0.0,41.15
Chattogram,2020-21,0.0,0.0
Cumilla,2020-21,0.0,0.0
Cox’s Bazar,2020-21,0.0,0.0
Feni,2020-21,0.0,0.0
Khagrachhari,2020-21,0.0,0.0
Lakshmipur,2020-21,1.0,1.6
Noakhali,2020-21,1.0,2.72
Rangamati,2020-21,16.0,21.3
Chattogram Division,2020-21,62.0,185.47
Dhaka,2020-21,0.0,0.0
Faridpur,2020-21,0.0,0.0
Gazipur,2020-21,0.0,0.0
Gopalganj,2020-21,0.0,0.0
Kishoreganj,2020-21,0.0,0.0
Madaripur,2020-21,8.1,38.04
Manikganj,2020-21,0.0,7.5
Munshiganj,2020-21,21.53,0.0
Narayanganj,2020-21,0.0,0.0
Narsingdi,2020-21,0.0,0.5
Rajbari,2020-21,0.0,0.0
Shariatpur,2020-21,0.0,0.0
Tangail,2020-21,0.0,0.0
Dhaka Division,2020-21,29.63,46.04
Bagerhat,2020-21,0.0,0.0
Chuadanga,2020-21,0.0,0.0
Jessore,2020-21,0.0,0.0
Jhenaidah,2020-21,0.0,0.0
Khulna,2020-21,0.0,0.0
Kushtia,2020-21,0.0,0.0
Magura,2020-21,0.0,0.0
Meherpur,2020-21,0.0,0.0
Narail,2020-21,0.0,0.0
Satkhira,2020-21,0.0,0.0
Khulna Division,2020-21,0.0,0.0
Jamalpur,2020-21,0.0,8.0
Mymensinghh,2020-21,0.0,0.0
Netrokona,2020-21,0.0,0.0
Sherpur,2020-21,0.0,0.0
Mymensinghh Division,2020-21,0.0,8.0
Bogura,2020-21,34.0,112.0
Joypurhat,2020-21,0.0,0.0
Naogaon,2020-21,0.0,0.0
Natore,2020-21,0.0,0.0
Chapai Nawabganj,2020-21,0.0,65.0
Pabna,2020-21,0.0,0.0
Rajshahi,2020-21,0.0,19.0
Sirajganj,2020-21,0.0,156.0
Rajshahi Division,2020-21,34.0,352.0
Dinajpur,2020-21,2.0,3.0
Gaibandha,2020-21,60.0,146.65
Kurigram,2020-21,218.0,823.2
Lalmonirhat,2020-21,4.3,9.0
Nilphamari,2020-21,4.0,9.2
Panchagarh,2020-21,11.0,28.0
Rangpur,2020-21,7.0,14.0
Thakurgaon,2020-21,33.0,119.6
Rangpur Division,2020-21,339.3,1152.65
Habiganj,2020-21,0.0,0.0
Maulvibazar,2020-21,0.0,0.0
Sunamganj,2020-21,0.0,0.0
Sylhet,2020-21,0.0,0.0
Sylhet Division,2020-21,0.0,0.0
Bhola,2022-23,34.0,53.0
Jhalokathi,2022-23,0.0,0.0
Patuakhali,2022-23,0.0,0.0
Pirojpur,2022-23,0.0,0.0
Bandarban,2022-23,25.7,117.4
Brahmanbaria,2022-23,0.0,0.0
Chandpur,2022-23,15.17,25.79
Chattogram,2022-23,0.0,0.0
Cumilla,2022-23,0.0,0.0
Cox’s Bazar,2022-23,0.0,0.0
Feni,2022-23,0.0,0.0
Khagrachhari,2022-23,0.0,12.0
Lakshmipur,2022-23,0.36,1.85
Noakhali,2022-23,0.37,1.82
Rangamati,2022-23,11.53,16.05
Dhaka,2022-23,0.0,0.0
Faridpur,2022-23,0.0,0.0
Gazipur,2022-23,0.0,0.0
Gopalganj,2022-23,0.0,0.0
Kishoreganj,2022-23,0.0,0.0
Madaripur,2022-23,16.82,28.78
Manikganj,2022-23,1.5,3.0
Munshiganj,2022-23,0.0,48.2
Narayanganj,2022-23,0.0,0.0
Narsingdi,2022-23,0.11,1.05
Rajbari,2022-23,0.0,0.0
Shariatpur,2022-23,0.0,0.0
Tangail,2022-23,0.0,3.9
Bagerhat,2022-23,0.0,0.0
Chuadanga,2022-23,0.0,0.0
Jessore,2022-23,0.0,0.0
Jhenaidah,2022-23,0.0,0.0
Khulna,2022-23,0.0,0.0
Kushtia,2022-23,0.0,0.0
Magura,2022-23,0.0,0.0
Meherpur,2022-23,0.0,0.0
Narail,2022-23,0.0,0.0
Satkhira,2022-23,0.0,0.0
Jamalpur,2022-23,5.0,21.0
Mymensinghh,2022-23,0.0,0.0
Netrokona,2022-23,0.0,0.0
Sherpur,2022-23,0.0,0.0
Bogura,2022-23,36.0,76.0
Joypurhat,2022-23,0.0,0.0
Naogaon,2022-23,0.0,0.0
Natore,2022-23,0.0,0.0
Chapai Nawabganj,2022-23,21.0,73.0
Pabna,2022-23,0.0,0.0
Rajshahi,2022-23,9.0,0.0
Sirajganj,2022-23,66.0,0.0
Dinajpur,2022-23,0.75,3.0
Gaibandha,2022-23,83.52,136.0
Kurigram,2022-23,384.96,801.0
Lalmonirhat,2022-23,4.09,10.0
Nilphamari,2022-23,4.42,0.0
Panchagarh,2022-23,12.18,29.0
Rangpur,2022-23,7.0,6.0
Thakurgaon,2022-23,30.28,128.15
Habiganj,2022-23,0.0,0.0
Maulvibazar,2022-23,0.0,0.0
Sunamganj,2022-23,0.0,0.0
Sylhet,2022-23,0.0,0.0
