District,Year,Hectares,Production_MT
Barguna,2016-17,0.0,0.0
Barguna,2017-18,7442.0,7442.0
Barishal,2016-17,231.0,599.0
Barishal,2017-18,13341.0,14054.0
Bhola,2016-17,40.0,136.0
Bhola,2017-18,20248.0,20394.0
Jhalokathi,2016-17,0.0,0.0
Jhalokathi,2017-18,6264.0,6264.0
Patuakhali,2016-17,0.0,0.0
Patuakhali,2017-18,7592.0,7592.0
Pirojpur,2016-17,228.0,2318.0
Pirojpur,2017-18,17864.0,18757.0
Barishal,2016-17,499.0,3053.0
Barishal,2017-18,72751.0,74503.0
Bandarban,2016-17,75.0,462.0
Bandarban,2017-18,656.0,1054.0
Brahmanbaria,2016-17,0.0,0.0
Brahmanbaria,2017-18,5055.0,5055.0
Chandpur,2016-17,0.0,0.0
Chandpur,2017-18,8293.0,8293.0
Chattogram,2016-17,199.0,836.0
Chattogram,2017-18,4666.0,5336.0
Cumilla,2016-17,0.0,0.0
Cumilla,2017-18,9751.0,10186.0
Cox's Bazar,2016-17,698.0,3259.0
Cox's Bazar,2017-18,7461.0,10275.0
Feni,2016-17,10.0,50.0
Feni,2017-18,2648.0,2701.0
Khagrachhari,2016-17,17.0,28.0
Khagrachhari,2017-18,742.0,772.0
Lakshmipur,2016-17,0.0,0.0
Lakshmipur,2017-18,11299.0,13037.0
Noakhali,2016-17,0.0,0.0
Noakhali,2017-18,8922.0,8922.0
Rangamati,2016-17,245.0,2049.0
Rangamati,2017-18,2205.0,4283.0
Chattogram,2016-17,1244.0,6684.0
Chattogram,2017-18,61698.0,69914.0
Dhaka,2016-17,29.0,221.0
Dhaka,2017-18,2629.0,2850.0
Faridpur,2016-17,37.0,216.0
Faridpur,2017-18,4420.0,4640.0
Gazipur,2016-17,18.0,172.0
Gazipur,2017-18,2793.0,2962.0
Gopalganj,2016-17,19.0,214.0
Gopalganj,2017-18,2855.0,3069.0
Kishoreganj,2016-17,25.0,280.0
Kishoreganj,2017-18,4769.0,5011.0
Madaripur,2016-17,0.0,0.0
Madaripur,2017-18,6322.0,6322.0
Manikganj,2016-17,5.0,80.0
Manikganj,2017-18,4967.0,5039.0
Munshiganj,2016-17,0.0,0.0
Munshiganj,2017-18,791.0,791.0
Narayanganj,2016-17,6.0,37.0
Narayanganj,2017-18,1332.0,1370.0
Narsingdi,2016-17,0.0,0.0
Narsingdi,2017-18,1918.0,1918.0
Rajbari,2016-17,169.0,4532.0
Rajbari,2017-18,3038.0,6210.0
Shariatpur,2016-17,0.0,0.0
Shariatpur,2017-18,7694.0,7694.0
Tangail,2016-17,14.0,117.0
Tangail,2017-18,3862.0,3965.0
Dhaka,2016-17,322.0,5869.0
Dhaka,2017-18,47390.0,51841.0
Bagerhat,2016-17,5343.0,5324.0
Bagerhat,2017-18,16603.0,22106.0
Chuadanga,2016-17,112.0,538.0
Chuadanga,2017-18,917.0,1298.0
Jessore,2016-17,509.0,3752.0
Jessore,2017-18,8899.0,12819.0
Jhenaidah,2016-17,64.0,331.0
Jhenaidah,2017-18,12977.0,13421.0
