District,Year,Hectares,Production_MT
Bhola,2018-19,689.0,259.0
Jhalokathi,2018-19,102.0,104.0
Patuakhali,2018-19,127.0,82.0
Pirojpur,2018-19,365.0,199.0
Barishal Division,2018-19,1761.0,959.0
Bandarban,2018-19,366.0,231.0
Brahmanbaria,2018-19,654.0,174.0
Chandpur,2018-19,412.0,192.0
Chattogram,2018-19,4742.0,1519.0
Cumilla,2018-19,3345.0,746.0
Cox’s Bazar,2018-19,471.0,219.0
Feni,2018-19,287.0,310.0
Khagrachhari,2018-19,1045.0,439.0
Lakshmipur,2018-19,896.0,479.0
Noakhali,2018-19,724.0,344.0
Rangamati,2018-19,791.0,329.0
Chattogram Division,2018-19,13733.0,4982.0
Dhaka,2018-19,173.0,247.0
Faridpur,2018-19,157.0,194.0
Gazipur,2018-19,453.0,395.0
Gopalganj,2018-19,738.0,312.0
Kishoreganj,2018-19,1251.0,454.0
Madaripur,2018-19,335.0,90.0
Manikganj,2018-19,59.0,155.0
Munshiganj,2018-19,76.0,91.0
Narayanganj,2018-19,353.0,173.0
Narsingdi,2018-19,532.0,242.0
Rajbari,2018-19,99.0,109.0
Shariatpur,2018-19,122.0,103.0
Tangail,2018-19,1631.0,901.0
Dhaka Division,2018-19,5979.0,3466.0
Bagerhat,2018-19,118.0,144.0
Chuadanga,2018-19,29.0,30.0
Jessore,2018-19,3042.0,638.0
Jhenaidah,2018-19,923.0,385.0
Khulna,2018-19,241.0,164.0
Kushtia,2018-19,12.0,13.0
Magura,2018-19,190.0,80.0
Meherpur,2018-19,64.0,7.0
Narail,2018-19,520.0,196.0
Satkhira,2018-19,252.0,116.0
Khulna,2018-19,5391.0,1773.0
Jamalpur,2018-19,577.0,257.0
Mymensinghh,2018-19,1923.0,1554.0
Netrokona,2018-19,370.0,190.0
Sherpur,2018-19,1727.0,379.0
Mymensinghh Division,2018-19,4597.0,2380.0
Bogura,2018-19,745.0,310.0
Joypurhat,2018-19,6039.0,1478.0
Naogaon,2018-19,128.0,60.0
Natore,2018-19,65.0,113.0
Chapai Nawabganj,2018-19,0.0,0.0
Pabna,2018-19,4.0,81.0
Rajshahi,2018-19,4.0,17.0
Sirajganj,2018-19,815.0,359.0
Rajshahi Division,2018-19,7800.0,2418.0
Dinajpur,2018-19,270.0,166.0
Gaibandha,2018-19,107.0,150.0
Kurigram,2018-19,68.0,60.0
Lalmonirhat,2018-19,356.0,136.0
Nilphamari,2018-19,49.0,39.0
Panchagarh,2018-19,542.0,291.0
Rangpur,2018-19,242.0,244.0
Thakurgaon,2018-19,55.0,63.0
Rangpur Divison,2018-19,1689.0,1149.0
Habiganj,2018-19,643.0,219.0
Maulvibazar,2018-19,238.0,193.0
Sunamganj,2018-19,105.0,65.0
Sylhet,2018-19,98.0,194.0
Sylhet Division,2018-19,1084.0,671.0
Bhola,2020-21,611.0,250.0
Jhalokathi,2020-21,105.0,116.0
Patuakhali,2020-21,130.0,81.0
Pirojpur,2020-21,343.0,187.0
Barishal Division,2020-21,1693.0,968.0
Bandarban,2020-21,366.0,232.5
Brahmanbaria,2020-21,778.0,183.3
Chandpur,2020-21,386.0,199.12
Chattogram,2020-21,4758.0,2110.09
Cumilla,2020-21,3377.0,733.79
Cox’s Bazar,2020-21,471.0,180.33
Feni,2020-21,274.0,267.5
Khagrachhari,2020-21,1105.0,463.2
Lakshmipur,2020-21,803.0,495.5
Noakhali,2020-21,648.0,332.88
Rangamati,2020-21,784.0,316.24
Chattogram Division,2020-21,13750.0,5514.45
Dhaka,2020-21,13750.0,196.55
Faridpur,2020-21,160.0,202.14
Gazipur,2020-21,425.0,338.96
Gopalganj,2020-21,748.0,319.8
Kishoreganj,2020-21,1242.0,565.74
Madaripur,2020-21,328.0,92.49
Manikganj,2020-21,243.0,147.2
Munshiganj,2020-21,92.0,86.75
Narayanganj,2020-21,362.0,166.05
Narsingdi,2020-21,429.0,234.4
Rajbari,2020-21,103.0,199.0
Shariatpur,2020-21,131.0,100.0
Tangail,2020-21,1672.0,903.02
Dhaka Division,2020-21,6111.0,3552.1
Bagerhat,2020-21,159.0,215.3
Chuadanga,2020-21,35.0,28.48
Jessore,2020-21,2980.0,657.0
Jhenaidah,2020-21,944.0,413.0
Khulna,2020-21,212.0,171.66
Kushtia,2020-21,15.0,13.0
Magura,2020-21,203.0,92.9
Meherpur,2020-21,60.0,9.5
Narail,2020-21,559.0,191.2
Satkhira,2020-21,256.0,120.57
Khulna,2020-21,5423.0,1912.61
Jamalpur,2020-21,563.0,313.0
Mymensinghh,2020-21,6863.0,1673.0
Netrokona,2020-21,289.0,188.0
Sherpur,2020-21,1076.0,305.0
Mymensinghh Division,2020-21,8791.0,2479.0
Bogura,2020-21,833.0,304.12
Joypurhat,2020-21,6050.0,1490.14
Naogaon,2020-21,155.0,61.0
Natore,2020-21,142.0,164.75
Chapai Nawabganj,2020-21,0.0,0.0
Pabna,2020-21,401.0,86.37
Rajshahi,2020-21,12.0,42.63
Sirajganj,2020-21,712.0,277.3
Rajshahi Division,2020-21,8344.0,2426.31
Dinajpur,2020-21,232.0,175.0
Gaibandha,2020-21,59.0,174.0
Kurigram,2020-21,80.0,69.0
Lalmonirhat,2020-21,335.0,139.0
Nilphamari,2020-21,57.0,40.0
Panchagarh,2020-21,594.0,275.0
Rangpur,2020-21,250.0,260.0
Thakurgaon,2020-21,68.0,67.0
Rangpur Divison,2020-21,1458.0,1199.0
Habiganj,2020-21,533.0,228.1
Maulvibazar,2020-21,238.0,205.09
Sunamganj,2020-21,137.0,264.0
Sylhet,2020-21,335.0,213.98
Sylhet Division,2020-21,1243.0,911.17
Bhola,2022-23,656.0,256.0
Jhalokathi,2022-23,164.0,129.0
Patuakhali,2022-23,159.0,91.0
Pirojpur,2022-23,340.0,188.0
Bandarban,2022-23,378.42,234.4
Brahmanbaria,2022-23,705.89,181.17
Chandpur,2022-23,454.61,217.65
Chattogram,2022-23,4758.07,1505.54
Cumilla,2022-23,3207.53,738.6
Cox’s Bazar,2022-23,386.74,172.03
Feni,2022-23,272.61,269.2
Khagrachhari,2022-23,1281.0,466.85
Lakshmipur,2022-23,872.67,518.0
Noakhali,2022-23,701.64,324.69
Rangamati,2022-23,711.79,304.66
Dhaka,2022-23,174.8,178.54
Faridpur,2022-23,289.59,202.8
Gazipur,2022-23,345.95,297.61
Gopalganj,2022-23,788.71,339.85
Kishoreganj,2022-23,1857.86,570.74
Madaripur,2022-23,251.43,93.62
Manikganj,2022-23,187.86,162.09
Munshiganj,2022-23,165.44,93.95
Narayanganj,2022-23,308.01,139.91
Narsingdi,2022-23,425.93,242.87
Rajbari,2022-23,391.0,221.0
Shariatpur,2022-23,275.0,113.0
Tangail,2022-23,1413.89,867.26
Bagerhat,2022-23,259.81,225.7
Chuadanga,2022-23,37.42,29.23
Jessore,2022-23,3073.0,688.0
Jhenaidah,2022-23,1037.37,424.0
Khulna,2022-23,227.31,173.83
Kushtia,2022-23,23.0,12.0
Magura,2022-23,223.79,98.45
Meherpur,2022-23,93.36,12.5
Narail,2022-23,544.79,196.0
Satkhira,2022-23,278.22,134.0
Jamalpur,2022-23,714.0,339.0
Mymensinghh,2022-23,4836.0,1695.0
Netrokona,2022-23,621.0,206.0
Sherpur,2022-23,948.0,298.0
Bogura,2022-23,1264.23,354.42
Joypurhat,2022-23,6822.58,1504.07
Naogaon,2022-23,118.29,90.51
Natore,2022-23,460.1,185.74
Chapai Nawabganj,2022-23,0.0,0.6
Pabna,2022-23,482.0,83.58
Rajshahi,2022-23,145.25,45.83
Sirajganj,2022-23,582.83,202.89
Dinajpur,2022-23,312.85,186.05
Gaibandha,2022-23,275.0,163.0
Kurigram,2022-23,87.32,71.66
Lalmonirhat,2022-23,192.95,143.2
Nilphamari,2022-23,77.63,40.92
Panchagarh,2022-23,441.12,268.0
Rangpur,2022-23,324.0,294.0
Thakurgaon,2022-23,74.94,74.32
Habiganj,2022-23,578.95,262.24
Maulvibazar,2022-23,437.83,249.19
Sunamganj,2022-23,525.0,253.0
Sylhet,2022-23,301.0,195.78
