District,Year,Hectares,Production_MT
Barguna,2016-17,0.0,0.0
Barguna,2017-18,1136.0,1136.0
Barishal,2016-17,0.0,0.0
Barishal,2017-18,2780.0,2780.0
Bhola,2016-17,0.0,0.0
Bhola,2017-18,1052.0,1052.0
Jhallokati,2016-17,0.0,0.0
Jhallokati,2017-18,878.0,878.0
Patuakhali,2016-17,0.0,0.0
Patuakhali,2017-18,520.0,520.0
Pirojpur,2016-17,0.0,0.0
Pirojpur,2017-18,2927.0,2927.0
Barishal,2016-17,0.0,0.0
Barishal,2017-18,9293.0,9293.0
Bandarban,2016-17,0.0,0.0
Bandarban,2017-18,9.0,9.0
Brahmanbaria,2016-17,0.0,0.0
Brahmanbaria,2017-18,137.0,137.0
Chandpur,2016-17,0.0,0.0
Chandpur,2017-18,4589.0,4589.0
Chattogram,2016-17,0.0,0.0
Chattogram,2017-18,3011.0,3011.0
Cumilla,2016-17,0.0,0.0
Cumilla,2017-18,820.0,820.0
Cox's Bazar,2016-17,1.0,5.0
Cox's Bazar,2017-18,175.0,179.0
Feni,2016-17,0.0,0.0
Feni,2017-18,1202.0,1202.0
Khagrachhari,2016-17,0.0,0.0
Khagrachhari,2017-18,423.0,423.0
Laksmipur,2016-17,0.0,0.0
Laksmipur,2017-18,4780.0,4780.0
Noakhali,2016-17,0.0,0.0
Noakhali,2017-18,3670.0,3670.0
Rangamati,2016-17,9.0,38.0
Rangamati,2017-18,407.0,443.0
Chattogram,2016-17,10.0,43.0
Chattogram,2017-18,19223.0,19263.0
Dhaka,2016-17,0.0,0.0
Dhaka,2017-18,538.0,538.0
Faridpur,2016-17,113.0,944.0
Faridpur,2017-18,5098.0,6027.0
Gazipur,2016-17,53.0,351.0
Gazipur,2017-18,1469.0,1778.0
Gopalganj,2016-17,62.0,66.0
Gopalganj,2017-18,4050.0,4050.0
Kishorganj,2016-17,0.0,0.0
Kishorganj,2017-18,96.0,96.0
Madaripur,2016-17,0.0,0.0
Madaripur,2017-18,7554.0,8222.0
Manikganj,2016-17,38.0,179.0
Manikganj,2017-18,2201.0,2381.0
Munshiganj,2016-17,0.0,0.0
Munshiganj,2017-18,1139.0,1139.0
Narayanganj,2016-17,0.0,0.0
Narayanganj,2017-18,251.0,251.0
Narsingdi,2016-17,0.0,0.0
Narsingdi,2017-18,303.0,303.0
Rajbari,2016-17,5.0,0.0
Rajbari,2017-18,4559.0,5050.0
Shariatpur,2016-17,3.0,41.0
Shariatpur,2017-18,1544.0,1562.0
Tangail,2016-17,17.0,94.0
Tangail,2017-18,2375.0,2501.0
Dhaka,2016-17,291.0,1675.0
Dhaka,2017-18,31177.0,33898.0
Bagerhat,2016-17,0.0,0.0
Bagerhat,2017-18,2554.0,2813.0
Chuadanga,2016-17,123.0,1997.0
Chuadanga,2017-18,4190.0,6682.0
Jashore,2016-17,260.0,625.0
Jashore,2017-18,6356.0,12458.0
Jhenaidah,2016-17,49.0,1594.0
Jhenaidah,2017-18,9035.0,10744.0
Khulna,2016-17,17.0,242.0
Khulna,2017-18,3331.0,3612.0
Kushtia,2016-17,4100.0,263.0
Kushtia,2017-18,6133.0,6631.0
Magura,2016-17,0.0,0.0
Magura,2017-18,1920.0,2211.0
Meherpur,2016-17,0.0,0.0
Meherpur,2017-18,299.0,299.0
Narail,2016-17,0.0,0.0
Narail,2017-18,996.0,996.0
Satkhira,2016-17,65.0,0.0
Satkhira,2017-18,4674.0,4674.0
Khulna,2016-17,4614.0,4721.0
Khulna,2017-18,39488.0,51120.0
Jamalpur,2016-17,0.0,0.0
Jamalpur,2017-18,78.0,78.0
Mymensing,2016-17,0.0,0.0
Mymensing,2017-18,3306.0,3306.0
Netrakona,2016-17,0.0,0.0
Netrakona,2017-18,14.0,14.0
Sherpur,2016-17,0.0,0.0
Sherpur,2017-18,139.0,139.0
Mymensing,2016-17,0.0,0.0
Mymensing,2017-18,3537.0,3537.0
Bogura,2016-17,0.0,0.0
Bogura,2017-18,5143.0,5143.0
Joypurhat,2016-17,0.0,0.0
Joypurhat,2017-18,1443.0,1443.0
Naogaon,2016-17,0.0,0.0
Naogaon,2017-18,3873.0,3873.0
Natore,2016-17,193.0,2086.0
Natore,2017-18,24782.0,28346.0
Chapai Nawabganj,2016-17,0.0,0.0
Chapai Nawabganj,2017-18,589.0,589.0
Pabna,2016-17,0.0,0.0
Pabna,2017-18,3071.0,3071.0
Rajshahi,2016-17,24.0,440.0
Rajshahi,2017-18,17342.0,17438.0
Sirajganj,2016-17,0.0,0.0
Sirajganj,2017-18,655.0,655.0
Rajshahi,2016-17,217.0,2526.0
Rajshahi,2017-18,56898.0,60558.0
Dinajpur,2016-17,0.0,0.0
Dinajpur,2017-18,438.0,438.0
Gaibandha,2016-17,0.0,0.0
Gaibandha,2017-18,301.0,301.0
Kurigram,2016-17,0.0,0.0
Kurigram,2017-18,283.0,283.0
Lalmonirhat,2016-17,0.0,0.0
Lalmonirhat,2017-18,351.0,351.0
Nilphamari,2016-17,0.0,0.0
Nilphamari,2017-18,284.0,284.0
Panchagarh,2016-17,0.0,0.0
Panchagarh,2017-18,24.0,24.0
Rangpur,2016-17,0.0,0.0
Rangpur,2017-18,372.0,372.0
Thakurgaon,2016-17,0.0,0.0
Thakurgaon,2017-18,55.0,55.0
Rangpur,2016-17,0.0,0.0
Rangpur,2017-18,2108.0,2108.0
Habiganj,2016-17,0.0,0.0
Habiganj,2017-18,0.0,0.0
Maulvibazar,2016-17,0.0,0.0
Maulvibazar,2017-18,0.0,0.0
Sunamganj,2016-17,0.0,0.0
Sunamganj,2017-18,0.0,0.0
Sylhet,2016-17,0.0,0.0
Sylhet,2017-18,0.0,0.0
Sylhet,2016-17,0.0,0.0
Sylhet,2017-18,0.0,0.0
BANGLADESH,2016-17,5132.0,8965.0
BANGLADESH,2017-18,161724.0,179777.0
Barguna,2018-19,1497.0,0.0
Barguna,2019-20,4148.0,1039.0
Barishal,2018-19,1531.0,0.0
Barishal,2019-20,1433.0,2811.0
Bhola,2018-19,1084.0,0.0
Bhola,2019-20,0.0,683.0
Jhallokati,2018-19,940.0,0.0
Jhallokati,2019-20,775.0,953.0
Patuakhali,2018-19,1838.0,0.0
Patuakhali,2019-20,3693.0,629.0
Pirojpur,2018-19,2303.0,0.0
Pirojpur,2019-20,4395.0,3071.0
Barishal Division,2018-19,9193.0,0.0
Barishal Division,2019-20,14444.0,9186.0
Bandarban,2018-19,0.0,0.0
Bandarban,2019-20,0.0,9.0
Brahmanbaria,2018-19,51.0,0.0
Brahmanbaria,2019-20,0.0,131.0
Chandpur,2018-19,1363.0,0.0
Chandpur,2019-20,0.0,4488.0
Chattogram,2018-19,1097.0,0.0
Chattogram,2019-20,0.0,2838.0
Cumilla,2018-19,471.0,0.0
Cumilla,2019-20,0.0,875.0
Cox’s Bazar,2018-19,113.0,0.0
Cox’s Bazar,2019-20,0.0,396.0
Feni,2018-19,914.0,2.0
Feni,2019-20,0.0,1142.0
Khagrachari,2018-19,105.0,0.0
Khagrachari,2019-20,0.0,375.0
Lakshmipur,2018-19,1621.0,0.0
Lakshmipur,2019-20,0.0,4692.0
Noakhali,2018-19,843.0,0.0
Noakhali,2019-20,0.0,145.0
Rangamati,2018-19,226.0,30.0
Rangamati,2019-20,6.0,121.0
"Chattogram
Division",2018-19,6804.0,32.0
"Chattogram
Division",2019-20,6.0,15212.0
Dhaka,2018-19,74.0,0.0
Dhaka,2019-20,144.0,565.0
Faridpur,2018-19,2260.0,419.0
Faridpur,2019-20,2133.0,6027.0
Gazipur,2018-19,513.0,83.0
Gazipur,2019-20,827.0,1692.0
Gopalganj,2018-19,2551.0,49.0
Gopalganj,2019-20,12767.0,2588.0
Kishoreganj,2018-19,80.0,0.0
Kishoreganj,2019-20,116.0,32.0
Madaripur,2018-19,2680.0,0.0
