District,Year,Hectares,Production_MT
Bhola,2016-17,1570.0,1327.0
Jhalokathi,2016-17,15.0,22.0
Patuakhali,2016-17,288.0,323.0
Pirojpur,2016-17,50.0,61.0
Barishal,2016-17,2159.0,2140.0
Bandarban,2016-17,128.0,69.0
Brahmanbaria,2016-17,1192.0,853.0
Chandpur,2016-17,1793.0,1092.0
Chattogram,2016-17,139.0,123.0
Cumilla,2016-17,1931.0,731.0
Cox's Bazar,2016-17,73.0,24.0
Feni,2016-17,33.0,40.0
Khagrachhari,2016-17,34.0,37.0
Lakshmipur,2016-17,194.0,231.0
Noakhali,2016-17,584.0,465.0
Rangamati,2016-17,72.0,51.0
Chattogram,2016-17,6173.0,3716.0
Dhaka,2016-17,5780.0,1855.0
Faridpur,2016-17,8200.0,5954.0
Gazipur,2016-17,273.0,358.0
Gopalganj,2016-17,1121.0,500.0
Kishoreganj,2016-17,2741.0,1099.0
Madaripur,2016-17,2388.0,4244.0
Manikganj,2016-17,2042.0,1493.0
Munshiganj,2016-17,289.0,267.0
Narayanganj,2016-17,157.0,173.0
Narsingdi,2016-17,254.0,904.0
Rajbari,2016-17,25290.0,14196.0
Shariatpur,2016-17,5485.0,2720.0
Tangail,2016-17,1844.0,1304.0
Dhaka,2016-17,55864.0,35067.0
Bagerhat,2016-17,158.0,151.0
Chuadanga,2016-17,1553.0,685.0
Jessore,2016-17,3265.0,1255.0
Jhenaidah,2016-17,9032.0,3649.0
Khulna,2016-17,233.0,146.0
Kushtia,2016-17,8207.0,3460.0
Magura,2016-17,7449.0,2385.0
Meherpur,2016-17,3095.0,936.0
Narail,2016-17,875.0,391.0
Satkhira,2016-17,1638.0,677.0
Khulna,2016-17,35505.0,13735.0
Jamalpur,2016-17,2643.0,1212.0
Mymensingh,2016-17,2210.0,1022.0
Netrokona,2016-17,959.0,612.0
Sherpur,2016-17,729.0,409.0
Mymensingh,2016-17,6541.0,3255.0
Bogura,2016-17,1334.0,824.0
Joypurhat,2016-17,723.0,303.0
Naogaon,2016-17,6485.0,2860.0
Natore,2016-17,131529.0,57575.0
Chapai Nawabganj,2016-17,11293.0,6128.0
Pabna,2016-17,63099.0,23956.0
Rajshahi,2016-17,23767.0,10865.0
Sirajganj,2016-17,2774.0,1236.0
Rajshahi,2016-17,241004.0,103747.0
Dinajpur,2016-17,19345.0,7484.0
Gaibandha,2016-17,1075.0,737.0
Kurigram,2016-17,844.0,548.0
Lalmonirhat,2016-17,724.0,600.0
Nilphamari,2016-17,2528.0,655.0
Panchagarh,2016-17,3610.0,1411.0
Rangpur,2016-17,4236.0,2206.0
Thakurgaon,2016-17,1429.0,712.0
Rangpur,2016-17,33791.0,14353.0
Habiganj,2016-17,265.0,137.0
Maulvibazar,2016-17,201.0,66.0
Sunamganj,2016-17,305.0,198.0
Sylhet,2016-17,43.0,50.0
Sylhet,2016-17,814.0,451.0
Bangladesh,2016-17,381851.0,176464.0
Bhola,2018-19,1322.0,1406.0
Jhalokathi,2018-19,19.0,28.0
Patuakhali,2018-19,312.0,301.0
