District,Year,Hectares,Production_MT
Bhola,2018-19,641.0,2073.0
Jhalokathi,2018-19,1616.0,5654.0
Patuakhali,2018-19,1616.0,3643.0
Pirojpur,2018-19,3673.0,4912.0
Barishal Division,2018-19,9572.0,3951.0
Bandarban,2018-19,3729.0,4814.0
Brahmanbaria,2018-19,361.0,2719.0
Chandpur,2018-19,617.0,4478.0
Chattogram,2018-19,2522.0,5378.0
Cumilla,2018-19,1287.0,5542.0
Cox’s Bazar,2018-19,1903.0,3917.0
Feni,2018-19,673.0,2716.0
Khagrachhari,2018-19,4302.0,4115.0
Lakshmipur,2018-19,1325.0,10484.0
Noakhali,2018-19,619.0,2458.0
Rangamati,2018-19,5207.0,5213.0
Chattogram Division,2018-19,22545.0,4885.0
Dhaka,2018-19,2146.0,5246.0
Faridpur,2018-19,599.0,3135.0
Gazipur,2018-19,2732.0,5517.0
Gopalganj,2018-19,2821.0,4151.0
Kishoreganj,2018-19,751.0,4226.0
Madaripur,2018-19,610.0,3220.0
Manikganj,2018-19,1037.0,2726.0
Munshiganj,2018-19,435.0,3156.0
Narayanganj,2018-19,480.0,4160.0
Narsingdi,2018-19,585.0,5505.0
Rajbari,2018-19,8999.0,7406.0
Shariatpur,2018-19,514.0,4805.0
Tangail,2018-19,3756.0,6600.0
Dhaka Division,2018-19,25465.0,5242.0
Bagerhat,2018-19,1752.0,2720.0
Chuadanga,2018-19,4918.0,7322.0
Jessore,2018-19,9130.0,7107.0
Jhenaidah,2018-19,21849.0,6729.0
Khulna,2018-19,4062.0,5184.0
Kushtia,2018-19,5538.0,8695.0
Magura,2018-19,1766.0,6656.0
Meherpur,2018-19,1922.0,7427.0
Narail,2018-19,1707.0,6199.0
Satkhira,2018-19,7045.0,6157.0
Khulna Division,2018-19,59689.0,6490.0
Jamalpur,2018-19,877.0,3866.0
Mymensinghh,2018-19,2376.0,6285.0
Netrokona,2018-19,565.0,4216.0
Sherpur,2018-19,1527.0,6331.0
Mymensinghh Division,2018-19,5345.0,5467.0
Bogura,2018-19,1653.0,8275.0
Joypurhat,2018-19,447.0,4198.0
Naogaon,2018-19,3353.0,5716.0
Natore,2018-19,4252.0,14051.0
Chapai Nawabganj,2018-19,1057.0,4725.0
Pabna,2018-19,4229.0,6482.0
Rajshahi,2018-19,8628.0,10371.0
Sirajganj,2018-19,2814.0,7189.0
Rajshahi Division,2018-19,26433.0,7993.0
Dinajpur,2018-19,805.0,4613.0
Gaibandha,2018-19,1086.0,5481.0
Kurigram,2018-19,1595.0,7503.0
Lalmonirhat,2018-19,463.0,3836.0
Nilphamari,2018-19,621.0,6479.0
Panchagarh,2018-19,461.0,3395.0
Rangpur,2018-19,825.0,4613.0
Thakurgaon,2018-19,412.0,3173.0
Rangpur Divison,2018-19,6268.0,4641.0
Habiganj,2018-19,374.0,3058.0
Maulvibazar,2018-19,423.0,3568.0
Sunamganj,2018-19,126.0,3040.0
Sylhet,2018-19,797.0,2973.0
Sylhet Division,2018-19,1720.0,3129.0
Bhola,2020-21,829.0,279.0
Jhalokathi,2020-21,1730.0,395.0
Patuakhali,2020-21,1625.0,472.0
Pirojpur,2020-21,3306.0,692.0
Barishal Division,2020-21,9616.0,2479.0
Bandarban,2020-21,3745.0,776.0
Brahmanbaria,2020-21,242.0,131.4
Chandpur,2020-21,936.0,235.84
Chattogram,2020-21,2549.0,481.6
Cumilla,2020-21,1308.0,226.0
Cox’s Bazar,2020-21,1982.0,255.46
Feni,2020-21,592.0,222.85
Khagrachhari,2020-21,5024.0,1294.34
Lakshmipur,2020-21,4204.0,431.0
Noakhali,2020-21,740.0,328.93
Rangamati,2020-21,5322.0,1040.45
Chattogram Division,2020-21,26644.0,5423.87
Dhaka,2020-21,2072.0,343.0
Faridpur,2020-21,627.0,207.1
Gazipur,2020-21,2741.0,443.5
Gopalganj,2020-21,3142.0,760.5
Kishoreganj,2020-21,786.0,184.14
Madaripur,2020-21,644.0,164.27
Manikganj,2020-21,1205.0,433.26
Munshiganj,2020-21,486.0,156.95
Narayanganj,2020-21,545.0,127.97
Narsingdi,2020-21,600.0,99.04
Rajbari,2020-21,9154.0,1114.0
Shariatpur,2020-21,1778.0,262.0
Tangail,2020-21,3452.0,451.35
Dhaka Division,2020-21,27232.0,4747.08
Bagerhat,2020-21,1700.0,637.0
Chuadanga,2020-21,4906.0,685.0
Jessore,2020-21,9253.0,1290.0
Jhenaidah,2020-21,22395.0,3280.0
Khulna,2020-21,4334.0,872.0
Kushtia,2020-21,5452.0,598.0
Magura,2020-21,1877.0,286.0
Meherpur,2020-21,2763.0,352.0
Narail,2020-21,1990.0,348.0
Satkhira,2020-21,7247.0,1192.0
Khulna Division,2020-21,61917.0,9540.0
Jamalpur,2020-21,893.0,227.0
Mymensinghh,2020-21,2382.0,389.0
Netrokona,2020-21,565.0,143.0
Sherpur,2020-21,1665.0,266.0
Mymensinghh Division,2020-21,5505.0,1025.0
Bogura,2020-21,1746.0,210.16
Joypurhat,2020-21,445.0,117.97
Naogaon,2020-21,3567.0,666.25
Natore,2020-21,4426.0,467.95
Chapai Nawabganj,2020-21,1101.0,240.22
Pabna,2020-21,4213.0,695.27
Rajshahi,2020-21,8089.0,722.68
Sirajganj,2020-21,2279.0,273.27
Rajshahi Division,2020-21,25866.0,3393.77
Dinajpur,2020-21,881.0,189.0
Gaibandha,2020-21,1162.0,287.0
Kurigram,2020-21,1493.0,217.0
Lalmonirhat,2020-21,2409.0,211.0
Nilphamari,2020-21,609.0,153.0
Panchagarh,2020-21,567.0,155.0
Rangpur,2020-21,918.0,199.0
Thakurgaon,2020-21,422.0,141.0
Rangpur Divison,2020-21,8461.0,1552.0
Habiganj,2020-21,367.0,111.37
Maulvibazar,2020-21,421.0,130.17
Sunamganj,2020-21,76.0,10.0
Sylhet,2020-21,785.0,228.0
Sylhet Division,2020-21,1649.0,479.54
Bhola,2022-23,1080.0,295.25
Jhalokathi,2022-23,2250.0,410.0
Patuakhali,2022-23,1699.0,476.45
Pirojpur,2022-23,3410.0,712.0
Bandarban,2022-23,3751.55,784.0
Brahmanbaria,2022-23,377.81,140.41
Chandpur,2022-23,1009.28,228.44
Chattogram,2022-23,2563.68,478.67
Cumilla,2022-23,1066.62,233.8
Cox’s Bazar,2022-23,1076.25,240.78
Feni,2022-23,602.92,224.2
Khagrachhari,2022-23,5459.11,1357.0
Lakshmipur,2022-23,4938.81,823.0
Noakhali,2022-23,1290.6,354.54
Rangamati,2022-23,5702.32,1066.8
Dhaka,2022-23,1800.17,317.32
Faridpur,2022-23,628.63,261.18
Gazipur,2022-23,2310.52,315.58
Gopalganj,2022-23,5221.48,779.75
Kishoreganj,2022-23,2574.09,173.85
Madaripur,2022-23,871.5,181.33
Manikganj,2022-23,1231.28,328.05
Munshiganj,2022-23,595.75,162.66
Narayanganj,2022-23,541.42,112.26
Narsingdi,2022-23,585.66,104.64
Rajbari,2022-23,11565.0,1088.0
Shariatpur,2022-23,1853.0,295.0
Tangail,2022-23,2372.53,484.83
Bagerhat,2022-23,1978.0,539.8
Chuadanga,2022-23,5261.0,561.0
Jessore,2022-23,8577.0,1310.5
Jhenaidah,2022-23,21041.0,3405.08
Khulna,2022-23,4590.0,885.55
Kushtia,2022-23,6115.0,387.0
Magura,2022-23,1960.0,301.74
