District,Year,Hectares,Production_MT
Bhola,2020-21,0.0,0.0
Jhalokathi,2020-21,0.0,0.0
Patuakhali,2020-21,0.0,0.0
Pirojpur,2020-21,0.0,0.0
Barishal Division,2020-21,0.0,0.0
Bandarban,2020-21,0.0,0.0
Brahmanbaria,2020-21,0.0,86.3
Chandpur,2020-21,0.0,0.0
Chattogram,2020-21,0.0,63.14
Cumilla,2020-21,0.0,0.0
Cox’s Bazar,2020-21,490.0,414.77
Feni,2020-21,0.0,0.0
Khagrachhari,2020-21,0.0,0.0
Lakshmipur,2020-21,0.0,0.0
Noakhali,2020-21,0.0,0.0
Rangamati,2020-21,25.0,34.3
Chattogram Division,2020-21,515.0,598.51
Dhaka,2020-21,0.0,0.0
Faridpur,2020-21,106.0,347.3
Gazipur,2020-21,53.0,73.65
Gopalganj,2020-21,22.0,67.35
Kishoreganj,2020-21,80.0,221.15
Madaripur,2020-21,45.0,42.0
Manikganj,2020-21,0.0,0.0
Munshiganj,2020-21,1.0,50.1
Narayanganj,2020-21,6.0,11.0
Narsingdi,2020-21,21.0,76.91
Rajbari,2020-21,405.0,544.0
Shariatpur,2020-21,3.0,5.5
Tangail,2020-21,145.0,64.0
Dhaka Division,2020-21,887.0,1502.96
Bagerhat,2020-21,5.0,9.5
Chuadanga,2020-21,56.0,73.0
Jessore,2020-21,0.0,0.0
Jhenaidah,2020-21,19.0,25.0
Khulna,2020-21,0.0,5.0
Kushtia,2020-21,113.0,153.0
Magura,2020-21,0.0,22.5
Meherpur,2020-21,0.0,0.0
Narail,2020-21,86.0,93.0
Satkhira,2020-21,0.0,0.0
Khulna Division,2020-21,279.0,381.0
Jamalpur,2020-21,0.0,0.0
Mymensinghh,2020-21,0.0,39.0
Netrokona,2020-21,0.0,0.0
Sherpur,2020-21,0.0,59.0
Mymensinghh Division,2020-21,0.0,98.0
Bogura,2020-21,0.0,0.0
Joypurhat,2020-21,0.0,0.0
Naogaon,2020-21,106.0,100.0
Natore,2020-21,82.0,217.0
Chapai Nawabganj,2020-21,0.0,0.0
Pabna,2020-21,653.0,725.5
Rajshahi,2020-21,10.0,34.51
Sirajganj,2020-21,95.0,126.88
Rajshahi Division,2020-21,946.0,1203.89
Dinajpur,2020-21,20.0,68.2
Gaibandha,2020-21,395.0,377.0
Kurigram,2020-21,353.0,1729.0
Lalmonirhat,2020-21,1106.0,723.0
Nilphamari,2020-21,81.0,118.95
Panchagarh,2020-21,1805.0,2803.0
Rangpur,2020-21,95.0,154.0
Thakurgaon,2020-21,24.0,65.0
Rangpur Division,2020-21,3878.0,6038.15
Habiganj,2020-21,39.0,65.0
Maulvibazar,2020-21,11.0,18.0
Sunamganj,2020-21,269.0,325.0
Sylhet,2020-21,5.0,12.0
Sylhet Division,2020-21,324.0,420.0
Bhola,2022-23,0.0,0.0
Jhalokathi,2022-23,0.0,0.0
Patuakhali,2022-23,0.0,0.0
Pirojpur,2022-23,0.0,0.0
Bandarban,2022-23,0.0,0.0
Brahmanbaria,2022-23,51.27,85.7
Chandpur,2022-23,0.0,0.0
Chattogram,2022-23,56.6,61.88
Cumilla,2022-23,0.0,0.0
Cox’s Bazar,2022-23,558.97,528.4
Feni,2022-23,0.0,0.0
Khagrachhari,2022-23,0.0,0.0
Lakshmipur,2022-23,0.0,0.0
Noakhali,2022-23,0.0,0.0
Rangamati,2022-23,29.4,18.7
Dhaka,2022-23,0.0,0.0
Faridpur,2022-23,238.17,153.0
Gazipur,2022-23,37.79,70.08
Gopalganj,2022-23,60.62,73.6
Kishoreganj,2022-23,104.88,211.32
Madaripur,2022-23,33.58,37.7
Manikganj,2022-23,0.0,0.0
Munshiganj,2022-23,29.47,17.3
Narayanganj,2022-23,5.85,6.5
Narsingdi,2022-23,33.47,77.96
Rajbari,2022-23,392.0,425.0
Shariatpur,2022-23,4.0,6.5
Tangail,2022-23,53.3,15.75
Bagerhat,2022-23,5.56,12.0
Chuadanga,2022-23,43.8,66.0
Jessore,2022-23,0.0,0.0
Jhenaidah,2022-23,15.4,30.5
Khulna,2022-23,3.6,7.6
Kushtia,2022-23,111.0,799.0
Magura,2022-23,44.25,26.5
Meherpur,2022-23,0.0,0.0
Narail,2022-23,65.35,107.0
Satkhira,2022-23,0.0,0.0
Jamalpur,2022-23,0.0,53.0
Mymensinghh,2022-23,25.0,36.0
Netrokona,2022-23,0.0,25.0
Sherpur,2022-23,129.0,13.0
Bogura,2022-23,0.0,0.0
Joypurhat,2022-23,0.0,0.0
Naogaon,2022-23,74.9,210.5
Natore,2022-23,186.28,217.0
Chapai Nawabganj,2022-23,0.0,18.0
Pabna,2022-23,685.89,735.0
Rajshahi,2022-23,28.15,48.0
Sirajganj,2022-23,88.87,1.4
Dinajpur,2022-23,38.89,67.0
Gaibandha,2022-23,361.09,340.0
Kurigram,2022-23,1131.09,1646.0
Lalmonirhat,2022-23,554.98,770.0
Nilphamari,2022-23,82.68,101.0
Panchagarh,2022-23,2052.56,2695.0
Rangpur,2022-23,123.0,164.0
Thakurgaon,2022-23,29.9,74.0
Habiganj,2022-23,36.4,63.04
Maulvibazar,2022-23,9.9,22.28
Sunamganj,2022-23,276.0,293.0
Sylhet,2022-23,15.0,15.0
