District,Year,Hectares,Production_MT
Bhola,2018-19,0.0,0.0
Jhalokathi,2018-19,0.0,0.0
Patuakhali,2018-19,0.0,0.0
Pirojpur,2018-19,0.0,0.0
Barishal Division,2018-19,0.0,0.0
Bandarban,2018-19,0.0,0.0
Brahmanbaria,2018-19,0.0,0.0
Chandpur,2018-19,0.0,0.0
Chattogram,2018-19,0.0,0.0
Cumilla,2018-19,0.0,0.0
Cox’s Bazar,2018-19,1178.0,364.0
Feni,2018-19,0.0,0.0
Khagrachhari,2018-19,0.0,0.0
Lakshmipur,2018-19,0.0,0.0
Noakhali,2018-19,0.0,0.0
Rangamati,2018-19,0.0,33.0
Chattogram Division,2018-19,1178.0,401.0
Dhaka,2018-19,0.0,0.0
Faridpur,2018-19,70.0,246.0
Gazipur,2018-19,77.0,106.0
Gopalganj,2018-19,27.0,25.0
Kishoreganj,2018-19,82.0,225.0
Madaripur,2018-19,48.0,30.0
Manikganj,2018-19,0.0,0.0
Munshiganj,2018-19,0.0,3.0
Narayanganj,2018-19,4.0,12.0
Narsingdi,2018-19,33.0,37.0
Rajbari,2018-19,370.0,575.0
Shariatpur,2018-19,0.0,5.0
Tangail,2018-19,21.0,87.0
Dhaka Division,2018-19,732.0,1351.0
Bagerhat,2018-19,4.0,8.0
Chuadanga,2018-19,55.0,91.0
Jessore,2018-19,0.0,0.0
Jhenaidah,2018-19,11.0,31.0
Khulna,2018-19,0.0,0.0
Kushtia,2018-19,142.0,153.0
Magura,2018-19,37.0,0.0
Meherpur,2018-19,0.0,0.0
Narail,2018-19,174.0,126.0
Satkhira,2018-19,0.0,0.0
Khulna,2018-19,423.0,409.0
Jamalpur,2018-19,0.0,0.0
Mymensinghh,2018-19,38.0,0.0
Netrokona,2018-19,0.0,0.0
Sherpur,2018-19,0.0,0.0
Mymensinghh Division,2018-19,38.0,0.0
Bogura,2018-19,0.0,0.0
Joypurhat,2018-19,0.0,0.0
Naogaon,2018-19,94.0,144.0
Natore,2018-19,79.0,113.0
Chapai Nawabganj,2018-19,0.0,0.0
Pabna,2018-19,648.0,690.0
Rajshahi,2018-19,15.0,17.0
Sirajganj,2018-19,95.0,144.0
Rajshahi Division,2018-19,931.0,1108.0
Dinajpur,2018-19,18.0,34.0
Gaibandha,2018-19,373.0,438.0
Kurigram,2018-19,364.0,776.0
Lalmonirhat,2018-19,1240.0,1343.0
Nilphamari,2018-19,83.0,138.0
Panchagarh,2018-19,3789.0,2678.0
Rangpur,2018-19,60.0,123.0
Thakurgaon,2018-19,20.0,57.0
Rangpur,2018-19,5947.0,5587.0
Habiganj,2018-19,80.0,72.0
Maulvibazar,2018-19,11.0,23.0
Sunamganj,2018-19,266.0,349.0
Sylhet,2018-19,7.0,8.0
Sylhet Division,2018-19,364.0,452.0
