District,Year,Hectares,Production_MT
Bhola,2018-19,3447.0,4728.0
Jhalokathi,2018-19,20.0,22.0
Patuakhali,2018-19,345.0,1196.0
Pirojpur,2018-19,9.0,13.0
Barishal Division,2018-19,4018.0,6215.0
Bandarban,2018-19,123.0,200.0
Brahmanbaria,2018-19,337.0,347.0
Chandpur,2018-19,154.0,265.0
Chattogram,2018-19,1900.0,1902.0
Cumilla,2018-19,101.0,322.0
Cox’s Bazar,2018-19,709.0,621.0
Feni,2018-19,411.0,1932.0
Khagrachhari,2018-19,128.0,128.0
Lakshmipur,2018-19,3086.0,209.0
Noakhali,2018-19,4590.0,7676.0
Rangamati,2018-19,30.0,57.0
Chattogram Division,2018-19,11569.0,13659.0
Dhaka,2018-19,309.0,278.0
Faridpur,2018-19,11640.0,5389.0
Gazipur,2018-19,30.0,82.0
Gopalganj,2018-19,27.0,1744.0
Kishoreganj,2018-19,1654.0,1875.0
Madaripur,2018-19,167.0,287.0
Manikganj,2018-19,1075.0,1890.0
Munshiganj,2018-19,114.0,167.0
Narayanganj,2018-19,278.0,523.0
Narsingdi,2018-19,455.0,566.0
Rajbari,2018-19,477.0,301.0
Shariatpur,2018-19,666.0,667.0
Tangail,2018-19,1752.0,2922.0
Dhaka Division,2018-19,18644.0,16691.0
Bagerhat,2018-19,27.0,37.0
Chuadanga,2018-19,44.0,56.0
Jessore,2018-19,8.0,15.0
Jhenaidah,2018-19,845.0,706.0
Khulna,2018-19,0.0,0.0
Kushtia,2018-19,234.0,480.0
Magura,2018-19,117.0,63.0
Meherpur,2018-19,0.0,27.0
Narail,2018-19,934.0,1023.0
Satkhira,2018-19,0.0,0.0
Khulna Division,2018-19,2209.0,2407.0
Jamalpur,2018-19,1321.0,315.0
Mymensinghh,2018-19,261.0,680.0
Netrokona,2018-19,181.0,150.0
Sherpur,2018-19,0.0,110.0
Mymensinghh Division,2018-19,1763.0,1255.0
Bogura,2018-19,810.0,513.0
Joypurhat,2018-19,0.0,0.0
Naogaon,2018-19,98.0,157.0
Natore,2018-19,574.0,22.0
Chapai Nawabganj,2018-19,0.0,0.0
Pabna,2018-19,581.0,770.0
Rajshahi,2018-19,214.0,507.0
Sirajganj,2018-19,741.0,3100.0
Rajshahi Division,2018-19,3018.0,5069.0
Dinajpur,2018-19,17.0,80.0
Gaibandha,2018-19,1240.0,1290.0
Kurigram,2018-19,1334.0,1963.0
Lalmonirhat,2018-19,364.0,409.0
Nilphamari,2018-19,52.0,246.0
Panchagarh,2018-19,11905.0,19947.0
Rangpur,2018-19,70.0,81.0
Thakurgaon,2018-19,8.0,86.0
Rangpur Division,2018-19,14990.0,24102.0
Habiganj,2018-19,10.0,10.0
Maulvibazar,2018-19,13.0,27.0
Sunamganj,2018-19,1601.0,2050.0
Sylhet,2018-19,28.0,35.0
Sylhet Division,2018-19,1652.0,2122.0
Bhola,2020-21,3614.0,4698.0
Jhalokathi,2020-21,10.0,135.0
