District,Year,Hectares,Production_MT
Bhola,2020-21,0.0,0.0
Jhalokathi,2020-21,0.0,0.0
Patuakhali,2020-21,0.0,0.0
Pirojpur,2020-21,0.0,0.0
Barishal Division,2020-21,0.0,0.0
Bandarban,2020-21,0.0,0.0
Brahmanbaria,2020-21,0.0,0.0
Chandpur,2020-21,0.0,0.0
Chattogram,2020-21,0.0,0.0
Cumilla,2020-21,0.0,0.0
Cox’s Bazar,2020-21,0.0,0.0
Feni,2020-21,0.0,0.0
Khagrachhari,2020-21,0.0,0.0
Lakshmipur,2020-21,0.0,0.0
Noakhali,2020-21,0.0,0.0
Rangamati,2020-21,0.0,0.0
Chattogram Division,2020-21,0.0,0.0
Dhaka,2020-21,0.0,0.0
Faridpur,2020-21,0.0,0.0
Gazipur,2020-21,0.0,0.0
Gopalganj,2020-21,0.0,0.0
Kishoreganj,2020-21,1.04,0.0
Madaripur,2020-21,0.0,0.0
Manikganj,2020-21,0.0,0.0
Munshiganj,2020-21,0.0,0.0
Narayanganj,2020-21,0.0,0.0
Narsingdi,2020-21,0.0,0.0
Rajbari,2020-21,0.0,14.0
Shariatpur,2020-21,0.0,0.0
Tangail,2020-21,0.0,13.35
Dhaka Division,2020-21,0.0,27.35
Bagerhat,2020-21,0.0,0.0
Chuadanga,2020-21,0.0,0.0
Jessore,2020-21,0.0,0.0
Jhenaidah,2020-21,0.0,0.0
Khulna,2020-21,0.0,0.0
Kushtia,2020-21,0.0,0.0
Magura,2020-21,0.0,0.0
Meherpur,2020-21,0.0,0.0
Narail,2020-21,0.0,0.0
Satkhira,2020-21,0.0,0.0
Khulna,2020-21,0.0,0.0
Jamalpur,2020-21,0.0,0.0
Mymensinghh,2020-21,0.0,0.0
Netrokona,2020-21,0.0,0.0
Sherpur,2020-21,0.0,0.0
Mymensinghh Division,2020-21,0.0,0.0
Bogura,2020-21,0.0,0.0
Joypurhat,2020-21,0.0,0.0
Naogaon,2020-21,0.0,0.0
Natore,2020-21,0.0,0.0
Chapai Nawabganj,2020-21,0.0,0.0
Pabna,2020-21,0.0,0.0
Rajshahi,2020-21,0.0,0.0
Sirajganj,2020-21,0.0,0.0
Rajshahi Division,2020-21,0.0,0.0
Dinajpur,2020-21,0.0,0.0
Gaibandha,2020-21,0.0,0.0
Kurigram,2020-21,0.0,0.0
Lalmonirhat,2020-21,0.0,0.0
Nilphamari,2020-21,0.0,0.0
Panchagarh,2020-21,0.0,0.0
Rangpur,2020-21,0.0,0.0
Thakurgaon,2020-21,0.0,0.0
Rangpur,2020-21,0.0,0.0
Habiganj,2020-21,0.0,0.0
Maulvibazar,2020-21,0.0,0.0
Sunamganj,2020-21,0.0,0.0
Sylhet,2020-21,0.0,0.0
Sylhet Division,2020-21,0.0,0.0
Bhola,2022-23,0.0,0.0
Jhalokathi,2022-23,0.0,0.0
Patuakhali,2022-23,0.0,0.0
Pirojpur,2022-23,0.0,0.0
Bandarban,2022-23,0.0,0.0
Brahmanbaria,2022-23,0.0,0.0
Chandpur,2022-23,0.0,0.0
Chattogram,2022-23,0.0,0.0
Cumilla,2022-23,0.0,0.0
Cox’s Bazar,2022-23,0.0,0.0
Feni,2022-23,0.0,0.0
Khagrachhari,2022-23,0.0,0.0
Lakshmipur,2022-23,0.0,0.0
Noakhali,2022-23,0.0,0.0
Rangamati,2022-23,0.0,0.0
Dhaka,2022-23,0.0,0.0
Faridpur,2022-23,0.0,0.0
Gazipur,2022-23,0.0,0.0
Gopalganj,2022-23,0.0,0.0
Kishoreganj,2022-23,0.0,0.0
Madaripur,2022-23,0.0,0.0
Manikganj,2022-23,0.0,0.0
Munshiganj,2022-23,0.0,0.0
Narayanganj,2022-23,0.0,0.0
Narsingdi,2022-23,0.0,0.0
Rajbari,2022-23,7.6,2.0
Shariatpur,2022-23,0.0,0.0
Tangail,2022-23,2.2,7.94
Bagerhat,2022-23,0.0,0.0
Chuadanga,2022-23,0.0,0.0
Jessore,2022-23,0.0,0.0
Jhenaidah,2022-23,0.0,0.0
Khulna,2022-23,0.0,0.0
Kushtia,2022-23,0.0,0.0
Magura,2022-23,0.0,0.0
Meherpur,2022-23,0.0,0.0
Narail,2022-23,0.0,0.0
Satkhira,2022-23,0.0,0.0
Jamalpur,2022-23,0.0,0.0
Mymensinghh,2022-23,0.0,0.0
Netrokona,2022-23,0.0,0.0
Sherpur,2022-23,0.0,0.0
Bogura,2022-23,0.0,0.0
Joypurhat,2022-23,0.0,0.0
Naogaon,2022-23,0.0,0.0
Natore,2022-23,0.0,0.0
Chapai Nawabganj,2022-23,0.0,0.0
Pabna,2022-23,0.0,0.0
Rajshahi,2022-23,0.0,0.0
Sirajganj,2022-23,0.0,0.0
Dinajpur,2022-23,0.0,0.0
Gaibandha,2022-23,0.0,0.0
Kurigram,2022-23,0.0,0.0
Lalmonirhat,2022-23,0.0,0.0
Nilphamari,2022-23,0.0,0.0
Panchagarh,2022-23,0.0,0.0
Rangpur,2022-23,0.0,0.0
Thakurgaon,2022-23,0.0,0.0
Habiganj,2022-23,0.0,0.0
Maulvibazar,2022-23,0.0,0.0
Sunamganj,2022-23,0.0,0.0
Sylhet,2022-23,0.0,0.0
