District,Year,Hectares,Production_MT
Bhola,2018-19,0.0,63.0
Jhalokathi,2018-19,0.0,50.0
Patuakhali,2018-19,0.0,60.0
Pirojpur,2018-19,0.0,26.0
Barishal Division,2018-19,0.0,355.0
Bandarban,2018-19,0.0,0.0
Brahmanbaria,2018-19,0.0,67.0
Chandpur,2018-19,0.0,0.0
Chattogram,2018-19,0.0,167.0
Cumilla,2018-19,0.0,104.0
Cox’s Bazar,2018-19,0.0,49.0
Feni,2018-19,0.0,94.0
Khagrachhari,2018-19,0.0,124.0
Lakshmipur,2018-19,0.0,117.0
Noakhali,2018-19,0.0,85.0
Rangamati,2018-19,0.0,97.0
Chattogram Division,2018-19,0.0,904.0
Dhaka,2018-19,0.0,175.0
Faridpur,2018-19,0.0,140.0
Gazipur,2018-19,0.0,41.0
Gopalganj,2018-19,0.0,70.0
Kishoreganj,2018-19,0.0,52.0
Madaripur,2018-19,0.0,30.0
Manikganj,2018-19,0.0,3.0
Munshiganj,2018-19,0.0,15.0
Narayanganj,2018-19,0.0,551.0
Narsingdi,2018-19,0.0,54.0
Rajbari,2018-19,0.0,66.0
Shariatpur,2018-19,0.0,41.0
Tangail,2018-19,0.0,148.0
Dhaka Division,2018-19,0.0,1386.0
Bagerhat,2018-19,0.0,137.0
Chuadanga,2018-19,0.0,69.0
Jessore,2018-19,0.0,0.0
Jhenaidah,2018-19,0.0,78.0
Khulna,2018-19,0.0,195.0
Kushtia,2018-19,0.0,0.0
Magura,2018-19,0.0,13.0
Meherpur,2018-19,0.0,0.0
Narail,2018-19,0.0,56.0
Satkhira,2018-19,0.0,66.0
Khulna Division,2018-19,0.0,548.0
Jamalpur,2018-19,0.0,17.0
Mymensinghh,2018-19,0.0,122.0
Netrokona,2018-19,0.0,67.0
Sherpur,2018-19,0.0,19.0
Mymensinghh Division,2018-19,0.0,225.0
Bogura,2018-19,0.0,28.0
Joypurhat,2018-19,0.0,19.0
Naogaon,2018-19,0.0,33.0
Natore,2018-19,0.0,61.0
Chapai Nawabganj,2018-19,0.0,3.0
Pabna,2018-19,0.0,58.0
Rajshahi,2018-19,0.0,0.0
Sirajganj,2018-19,0.0,32.0
Rajshahi Division,2018-19,0.0,234.0
Dinajpur,2018-19,0.0,57.0
Gaibandha,2018-19,0.0,19.0
Kurigram,2018-19,0.0,18.0
Lalmonirhat,2018-19,0.0,3.0
Nilphamari,2018-19,0.0,157.0
Panchagarh,2018-19,0.0,33.0
Rangpur,2018-19,0.0,65.0
Thakurgaon,2018-19,0.0,46.0
Rangpur Divison,2018-19,0.0,398.0
Habiganj,2018-19,0.0,63.0
Maulvibazar,2018-19,0.0,30.0
Sunamganj,2018-19,0.0,21.0
Sylhet,2018-19,0.0,47.0
Sylhet Division,2018-19,0.0,134.0
Bhola,2020-21,75.0,71.05
Jhalokathi,2020-21,55.0,60.0
Patuakhali,2020-21,85.0,65.0
Pirojpur,2020-21,25.0,28.0
Barishal Division,2020-21,539.0,392.05
Bandarban,2020-21,0.0,0.0
Brahmanbaria,2020-21,140.0,63.78
Chandpur,2020-21,0.0,3.9
Chattogram,2020-21,640.0,41.34
Cumilla,2020-21,226.0,100.2
Cox’s Bazar,2020-21,52.0,65.73
Feni,2020-21,32.0,97.75
Khagrachhari,2020-21,150.0,147.2
Lakshmipur,2020-21,175.0,105.3
Noakhali,2020-21,76.0,89.6
Rangamati,2020-21,119.0,96.45
Chattogram Division,2020-21,1610.0,811.25
Dhaka,2020-21,451.0,95.91
Faridpur,2020-21,396.0,91.9
Gazipur,2020-21,42.0,40.01
Gopalganj,2020-21,86.0,55.0
Kishoreganj,2020-21,90.0,55.54
Madaripur,2020-21,38.0,37.06
Manikganj,2020-21,2.0,4.15
Munshiganj,2020-21,10.0,5.45
Narayanganj,2020-21,697.0,549.85
Narsingdi,2020-21,125.0,58.25
Rajbari,2020-21,74.0,112.0
Shariatpur,2020-21,26.0,30.0
Tangail,2020-21,195.0,133.9
Dhaka Division,2020-21,2232.0,1269.02
Bagerhat,2020-21,61.0,120.95
Chuadanga,2020-21,179.0,50.4
Jessore,2020-21,0.0,0.0
Jhenaidah,2020-21,112.0,88.0
Khulna,2020-21,245.0,83.4
Kushtia,2020-21,0.0,0.0
Magura,2020-21,11.0,14.03
Meherpur,2020-21,0.0,0.0
Narail,2020-21,65.0,50.4
Satkhira,2020-21,72.0,56.93
Khulna Division,2020-21,745.0,407.18
Jamalpur,2020-21,20.0,57.0
Mymensinghh,2020-21,226.0,98.0
Netrokona,2020-21,110.0,116.0
Sherpur,2020-21,24.0,50.0
Mymensinghh Division,2020-21,380.0,321.0
Bogura,2020-21,48.0,30.0
Joypurhat,2020-21,24.0,17.0
Naogaon,2020-21,60.0,27.0
Natore,2020-21,62.0,66.0
Chapai Nawabganj,2020-21,2.0,3.0
Pabna,2020-21,99.0,85.0
Rajshahi,2020-21,0.0,31.0
Sirajganj,2020-21,36.0,40.0
Rajshahi Division,2020-21,331.0,299.0
Dinajpur,2020-21,54.0,70.0
Gaibandha,2020-21,21.0,17.0
Kurigram,2020-21,17.0,151.0
Lalmonirhat,2020-21,4.0,2.0
Nilphamari,2020-21,305.0,123.0
Panchagarh,2020-21,31.0,75.0
Rangpur,2020-21,64.0,80.0
Thakurgaon,2020-21,45.0,48.0
Rangpur Divison,2020-21,541.0,566.0
Habiganj,2020-21,41.0,46.07
Maulvibazar,2020-21,19.0,26.18
Sunamganj,2020-21,22.0,28.0
Sylhet,2020-21,37.0,72.99
Sylhet Division,2020-21,119.0,173.24
Bhola,2022-23,82.77,77.0
Jhalokathi,2022-23,61.0,0.0
Patuakhali,2022-23,90.95,96.0
Pirojpur,2022-23,58.0,25.0
Bandarban,2022-23,0.0,0.0
Brahmanbaria,2022-23,134.96,73.99
Chandpur,2022-23,2.96,7.66
Chattogram,2022-23,117.77,96.06
Cumilla,2022-23,213.81,89.82
Cox’s Bazar,2022-23,94.75,80.02
Feni,2022-23,115.15,155.63
Khagrachhari,2022-23,184.48,98.0
Lakshmipur,2022-23,237.0,109.2
Noakhali,2022-23,117.64,83.56
Rangamati,2022-23,131.12,93.21
Dhaka,2022-23,246.75,100.7
Faridpur,2022-23,315.63,108.0
Gazipur,2022-23,45.08,40.72
Gopalganj,2022-23,68.0,49.02
Kishoreganj,2022-23,180.13,76.29
Madaripur,2022-23,54.15,44.18
Manikganj,2022-23,6.32,14.8
Munshiganj,2022-23,8.1,16.72
Narayanganj,2022-23,700.85,68.01
Narsingdi,2022-23,115.09,60.89
Rajbari,2022-23,144.0,103.0
Shariatpur,2022-23,46.0,37.0
Tangail,2022-23,175.48,164.05
Bagerhat,2022-23,114.96,84.0
Chuadanga,2022-23,104.5,40.75
Jessore,2022-23,0.0,0.0
Jhenaidah,2022-23,117.48,91.27
Khulna,2022-23,100.37,78.22
Kushtia,2022-23,0.0,0.0
Magura,2022-23,11.94,18.68
Meherpur,2022-23,0.0,0.0
Narail,2022-23,59.18,53.0
Satkhira,2022-23,67.92,117.02
Jamalpur,2022-23,91.0,61.0
Mymensinghh,2022-23,192.0,99.0
Netrokona,2022-23,193.0,72.0
Sherpur,2022-23,88.0,53.0
