District,Year,Hectares,Production_MT
Bhola,2018-19,335.0,214.0
Jhallokati,2018-19,124.0,114.0
Patuakhali,2018-19,33.0,29.0
Pirojpur,2018-19,172.0,186.0
Barishal Division,2018-19,1470.0,1108.0
Bandarban,2018-19,667.0,344.0
Brahmanbaria,2018-19,864.0,299.0
Chandpur,2018-19,321.0,176.0
Chattogram,2018-19,4473.0,851.0
Cumilla,2018-19,1420.0,587.0
Cox’s Bazar,2018-19,397.0,107.0
Feni,2018-19,150.0,512.0
Khagrachari,2018-19,2078.0,796.0
Lakshmipur,2018-19,94.0,66.0
Noakhali,2018-19,21.0,81.0
Rangamati,2018-19,2551.0,588.0
Chattogram Division,2018-19,13036.0,4407.0
Dhaka,2018-19,1254.0,1067.0
Faridpur,2018-19,2946.0,818.0
Gazipur,2018-19,1319.0,1102.0
Gopalganj,2018-19,654.0,341.0
Kishoreganj,2018-19,925.0,340.0
Madaripur,2018-19,282.0,149.0
Manikganj,2018-19,616.0,566.0
Munshiganj,2018-19,480.0,454.0
Narayanganj,2018-19,696.0,384.0
Narsingdi,2018-19,3116.0,1000.0
Rajbari,2018-19,3778.0,862.0
Shariatpur,2018-19,254.0,149.0
Tangail,2018-19,3934.0,1426.0
Dhaka Division,2018-19,20254.0,8658.0
Bagerhat,2018-19,1461.0,504.0
Chuadanga,2018-19,6345.0,2139.0
Jashore,2018-19,16728.0,3053.0
Jhenaidah,2018-19,12972.0,2738.0
Khulna,2018-19,730.0,394.0
Kushtia,2018-19,871.0,1089.0
Magura,2018-19,1950.0,476.0
Meherpur,2018-19,3451.0,635.0
Narail,2018-19,2195.0,472.0
Satkhira,2018-19,3946.0,1118.0
Khulna Division,2018-19,50649.0,12618.0
Jamalpur,2018-19,2276.0,914.0
Mymensingh,2018-19,4875.0,2747.0
Netrokona,2018-19,357.0,207.0
Sherpur,2018-19,2247.0,804.0
Mymensingh Division,2018-19,9755.0,4672.0
Bogura,2018-19,5804.0,1483.0
Joypurhat,2018-19,3419.0,507.0
Naogaon,2018-19,6760.0,1105.0
Natore,2018-19,960.0,482.0
Chapai Nawabganj,2018-19,1882.0,747.0
Pabna,2018-19,5892.0,2487.0
Rajshahi,2018-19,16246.0,2644.0
Sirajganj,2018-19,2300.0,588.0
Rajshahi Division,2018-19,43263.0,10043.0
Dinajpur,2018-19,3248.0,1119.0
Gaibandha,2018-19,5171.0,1432.0
Kurigram,2018-19,2150.0,649.0
Lalmonirhat,2018-19,1278.0,439.0
Nilphamari,2018-19,1476.0,484.0
Panchagar,2018-19,811.0,416.0
Rangpur,2018-19,2443.0,1028.0
Thakurgaon,2018-19,2599.0,1208.0
Rangpur Divison,2018-19,19176.0,6775.0
Habiganj,2018-19,664.0,314.0
Moulvibazar,2018-19,1475.0,299.0
Sunamganj,2018-19,338.0,139.0
Sylhet,2018-19,65.0,72.0
Sylhet Division,2018-19,2542.0,824.0
Bhola,2020-21,411.0,253.0
Jhallokati,2020-21,99.0,200.0
Patuakhali,2020-21,34.0,33.0
Pirojpur,2020-21,180.0,190.0
Barishal Division,2020-21,1523.0,1268.0
Bandarban,2020-21,667.0,351.0
Brahmanbaria,2020-21,1004.0,561.27
Chandpur,2020-21,324.0,177.99
Chattogram,2020-21,4516.0,884.96
Cumilla,2020-21,1565.0,579.79
Cox’s Bazar,2020-21,286.0,103.1
Feni,2020-21,4299.0,498.7
Khagrachari,2020-21,2463.0,847.65
Lakshmipur,2020-21,97.0,81.0
Noakhali,2020-21,114.0,111.0
Rangamati,2020-21,2527.0,581.7
Chattogram Division,2020-21,17862.0,4778.16
Dhaka,2020-21,1753.0,862.25
Faridpur,2020-21,3006.0,792.5
Gazipur,2020-21,1330.0,1058.4
Gopalganj,2020-21,820.0,366.15
Kishoreganj,2020-21,891.0,365.52
Madaripur,2020-21,265.0,207.5
Manikganj,2020-21,733.0,873.92
Munshiganj,2020-21,558.0,451.0
Narayanganj,2020-21,704.0,366.17
Narsingdi,2020-21,2974.0,1056.48
Rajbari,2020-21,4021.0,1182.0
Shariatpur,2020-21,238.0,137.75
Tangail,2020-21,4049.0,1371.05
Dhaka Division,2020-21,21342.0,9090.69
Bagerhat,2020-21,1243.0,574.05
Chuadanga,2020-21,6424.0,2051.25
Jashore,2020-21,16872.0,3113.0
Jhenaidah,2020-21,13931.0,2700.5
Khulna,2020-21,658.0,398.44
Kushtia,2020-21,4919.0,1057.0
Magura,2020-21,2000.0,476.8
Meherpur,2020-21,3856.0,719.0
Narail,2020-21,2524.0,493.5
Satkhira,2020-21,3801.0,1145.65
Khulna Division,2020-21,56228.0,12729.19
Jamalpur,2020-21,2601.0,867.0
Mymensingh,2020-21,13809.0,1551.0
Netrokona,2020-21,340.0,258.0
Sherpur,2020-21,2341.0,716.0
Mymensingh Division,2020-21,19091.0,3392.0
Bogura,2020-21,6035.0,1457.0
Joypurhat,2020-21,3408.0,513.36
Naogaon,2020-21,6673.0,1097.79
Natore,2020-21,901.0,563.92
Chapai Nawabganj,2020-21,2001.0,777.0
Pabna,2020-21,6185.0,2635.5
Rajshahi,2020-21,18413.0,2824.0
Sirajganj,2020-21,2307.0,668.48
Rajshahi Division,2020-21,45923.0,10537.05
Dinajpur,2020-21,3358.0,1140.0
Gaibandha,2020-21,4657.0,1479.0
Kurigram,2020-21,2532.0,647.63
Lalmonirhat,2020-21,1403.0,459.0
Nilphamari,2020-21,1939.0,490.0
Panchagar,2020-21,859.0,431.0
Rangpur,2020-21,2492.0,1045.0
Thakurgaon,2020-21,2666.0,1215.5
Rangpur Divison,2020-21,19906.0,6907.13
Habiganj,2020-21,843.0,306.61
Moulvibazar,2020-21,1479.0,229.09
Sunamganj,2020-21,615.0,32.0
Sylhet,2020-21,105.0,137.0
Sylhet Division,2020-21,3042.0,704.7
Bhola,2022-23,717.0,396.16
