District,Year,Hectares,Production_MT
Bhola,2018-19,775.0,372.0
Jhalokathi,2018-19,146.0,103.0
Patuakhali,2018-19,116.0,103.0
Pirojpur,2018-19,284.0,150.0
Barishal Division,2018-19,1893.0,1160.0
Bandarban,2018-19,324.0,125.0
Brahmanbaria,2018-19,1996.0,400.0
Chandpur,2018-19,795.0,275.0
Chattogram,2018-19,1654.0,531.0
Cumilla,2018-19,6275.0,1391.0
Cox’s Bazar,2018-19,1470.0,108.0
Feni,2018-19,315.0,338.0
Khagrachhari,2018-19,805.0,301.0
Lakshmipur,2018-19,402.0,243.0
Noakhali,2018-19,175.0,127.0
Rangamati,2018-19,235.0,127.0
Chattogram Division,2018-19,14446.0,3966.0
Dhaka,2018-19,604.0,133.0
Faridpur,2018-19,298.0,95.0
Gazipur,2018-19,217.0,85.0
Gopalganj,2018-19,547.0,145.0
Kishoreganj,2018-19,1073.0,344.0
Madaripur,2018-19,182.0,125.0
Manikganj,2018-19,130.0,78.0
Munshiganj,2018-19,2595.0,619.0
Narayanganj,2018-19,730.0,196.0
Narsingdi,2018-19,298.0,78.0
Rajbari,2018-19,363.0,182.0
Shariatpur,2018-19,276.0,138.0
Tangail,2018-19,977.0,224.0
Dhaka Division,2018-19,8290.0,2442.0
Bagerhat,2018-19,330.0,194.0
Chuadanga,2018-19,758.0,196.0
Jessore,2018-19,2483.0,372.0
Jhenaidah,2018-19,1212.0,349.0
Khulna,2018-19,106.0,37.0
Kushtia,2018-19,276.0,106.0
Magura,2018-19,67.0,21.0
Meherpur,2018-19,293.0,52.0
Narail,2018-19,412.0,133.0
Satkhira,2018-19,357.0,138.0
Khulna,2018-19,6294.0,1598.0
Jamalpur,2018-19,326.0,119.0
Mymensinghh,2018-19,1701.0,575.0
Netrokona,2018-19,372.0,101.0
Sherpur,2018-19,60.0,33.0
Mymensinghh Division,2018-19,2459.0,828.0
Bogura,2018-19,892.0,242.0
Joypurhat,2018-19,1181.0,298.0
Naogaon,2018-19,1145.0,309.0
Natore,2018-19,350.0,215.0
Chapai Nawabganj,2018-19,295.0,146.0
Pabna,2018-19,182.0,70.0
Rajshahi,2018-19,1160.0,390.0
Sirajganj,2018-19,2286.0,538.0
Rajshahi Division,2018-19,7491.0,2208.0
Dinajpur,2018-19,657.0,226.0
Gaibandha,2018-19,419.0,177.0
Kurigram,2018-19,289.0,115.0
Lalmonirhat,2018-19,181.0,115.0
Nilphamari,2018-19,610.0,187.0
Panchagarh,2018-19,481.0,203.0
Rangpur,2018-19,255.0,101.0
Thakurgaon,2018-19,140.0,99.0
Rangpur Divison,2018-19,3032.0,1223.0
Habiganj,2018-19,526.0,116.0
Maulvibazar,2018-19,667.0,163.0
Sunamganj,2018-19,992.0,250.0
Sylhet,2018-19,1385.0,200.0
Sylhet Division,2018-19,3570.0,729.0
Bhola,2020-21,750.0,384.18
Jhalokathi,2020-21,185.0,134.0
Patuakhali,2020-21,150.0,102.5
Pirojpur,2020-21,275.0,155.0
Barishal Division,2020-21,2395.0,1222.68
Bandarban,2020-21,402.0,134.0
Brahmanbaria,2020-21,2240.0,560.73
Chandpur,2020-21,855.0,244.07
Chattogram,2020-21,1828.0,1227.04
Cumilla,2020-21,5355.0,1357.28
