District,Year,Hectares,Production_MT
Bhola,2018-19,1100.0,438.0
Jhalokathi,2018-19,600.0,322.0
Patuakhali,2018-19,242.0,147.0
Pirojpur,2018-19,900.0,549.0
Barishal Division,2018-19,4096.0,2627.0
Bandarban,2018-19,204.0,185.0
Brahmanbaria,2018-19,442.0,254.0
Chandpur,2018-19,687.0,365.0
Chattogram,2018-19,626.0,447.0
Cumilla,2018-19,1204.0,645.0
Cox’s Bazar,2018-19,262.0,118.0
Feni,2018-19,170.0,111.0
Khagrachhari,2018-19,472.0,414.0
Lakshmipur,2018-19,532.0,599.0
Noakhali,2018-19,314.0,435.0
Rangamati,2018-19,359.0,294.0
Chattogram Division,2018-19,5272.0,3867.0
Dhaka,2018-19,2349.0,626.0
Faridpur,2018-19,161.0,155.0
Gazipur,2018-19,126.0,150.0
Gopalganj,2018-19,376.0,219.0
Kishoreganj,2018-19,242.0,140.0
Madaripur,2018-19,45.0,106.0
Manikganj,2018-19,105.0,65.0
Munshiganj,2018-19,359.0,364.0
Narayanganj,2018-19,965.0,575.0
Narsingdi,2018-19,81.0,97.0
Rajbari,2018-19,38.0,75.0
Shariatpur,2018-19,366.0,206.0
Tangail,2018-19,649.0,440.0
Dhaka Division,2018-19,5862.0,3218.0
Bagerhat,2018-19,330.0,610.0
Chuadanga,2018-19,53.0,197.0
Jessore,2018-19,424.0,182.0
Jhenaidah,2018-19,436.0,197.0
Khulna,2018-19,385.0,250.0
Kushtia,2018-19,51.0,26.0
Magura,2018-19,129.0,41.0
Meherpur,2018-19,25.0,7.0
Narail,2018-19,346.0,126.0
Satkhira,2018-19,36.0,32.0
Khulna,2018-19,2215.0,1668.0
Jamalpur,2018-19,3359.0,639.0
Mymensinghh,2018-19,1804.0,855.0
Netrokona,2018-19,165.0,101.0
Sherpur,2018-19,630.0,274.0
Mymensinghh Division,2018-19,5958.0,1869.0
Bogura,2018-19,299.0,167.0
Joypurhat,2018-19,15.0,13.0
Naogaon,2018-19,57.0,56.0
Natore,2018-19,187.0,258.0
Chapai Nawabganj,2018-19,1.0,5.0
Pabna,2018-19,59.0,108.0
Rajshahi,2018-19,17.0,122.0
Sirajganj,2018-19,320.0,308.0
Rajshahi Division,2018-19,955.0,1037.0
Dinajpur,2018-19,329.0,206.0
Gaibandha,2018-19,378.0,277.0
Kurigram,2018-19,504.0,259.0
Lalmonirhat,2018-19,857.0,261.0
Nilphamari,2018-19,805.0,280.0
Panchagarh,2018-19,105.0,195.0
Rangpur,2018-19,441.0,342.0
Thakurgaon,2018-19,110.0,72.0
Rangpur Divison,2018-19,3529.0,1892.0
Habiganj,2018-19,90.0,61.0
Maulvibazar,2018-19,86.0,53.0
Sunamganj,2018-19,417.0,353.0
Sylhet,2018-19,167.0,190.0
Sylhet Division,2018-19,760.0,657.0
Bhola,2020-21,1408.0,463.0
Jhalokathi,2020-21,1104.0,364.0
Patuakhali,2020-21,248.0,126.94
Pirojpur,2020-21,565.0,565.0
Barishal Division,2020-21,4734.0,2687.94
Bandarban,2020-21,203.0,182.95
Brahmanbaria,2020-21,333.0,252.24
Chandpur,2020-21,750.0,357.65
Chattogram,2020-21,1094.0,283.98
Cumilla,2020-21,1228.0,661.45
Cox’s Bazar,2020-21,134.0,120.94
Feni,2020-21,140.0,112.42
Khagrachhari,2020-21,507.0,458.3
Lakshmipur,2020-21,529.0,615.8
Noakhali,2020-21,282.0,444.27
Rangamati,2020-21,376.0,301.47
Chattogram Division,2020-21,5576.0,3791.47
Dhaka,2020-21,3102.0,712.25
Faridpur,2020-21,193.0,159.0
Gazipur,2020-21,132.0,326.45
Gopalganj,2020-21,417.0,322.93
Kishoreganj,2020-21,201.0,182.96
Madaripur,2020-21,49.0,123.04
Manikganj,2020-21,109.0,84.53
Munshiganj,2020-21,377.0,372.8
Narayanganj,2020-21,940.0,587.43
Narsingdi,2020-21,82.0,125.09
Rajbari,2020-21,69.0,78.0
Shariatpur,2020-21,391.0,194.0
Tangail,2020-21,655.0,444.09
Dhaka Division,2020-21,6717.0,3712.57
Bagerhat,2020-21,411.0,632.8
Chuadanga,2020-21,429.0,42.5
Jessore,2020-21,446.0,178.51
Jhenaidah,2020-21,429.0,186.0
Khulna,2020-21,400.0,248.16
Kushtia,2020-21,57.0,24.0
Magura,2020-21,139.0,45.69
Meherpur,2020-21,15.0,2.5
Narail,2020-21,407.0,130.7
Satkhira,2020-21,37.0,33.96
Khulna,2020-21,2770.0,1524.82
Jamalpur,2020-21,2076.0,638.0
Mymensinghh,2020-21,2309.0,870.0
Netrokona,2020-21,406.0,216.0
Sherpur,2020-21,747.0,305.0
Mymensinghh Division,2020-21,5538.0,2029.0
Bogura,2020-21,292.0,138.01
Joypurhat,2020-21,17.0,24.67
Naogaon,2020-21,38.0,72.95
Natore,2020-21,166.0,204.91
Chapai Nawabganj,2020-21,0.37,6.0
Pabna,2020-21,63.0,124.0
Rajshahi,2020-21,64.0,118.48
Sirajganj,2020-21,542.0,256.42
Rajshahi Division,2020-21,1182.37,945.44
Dinajpur,2020-21,315.0,189.0
Gaibandha,2020-21,387.0,269.5
Kurigram,2020-21,510.0,366.42
Lalmonirhat,2020-21,834.0,259.75
Nilphamari,2020-21,782.0,311.0
Panchagarh,2020-21,276.0,210.0
