District,Year,Hectares,Production_MT
Bhola,2018-19,968.0,1577.0
Jhalokathi,2018-19,265.0,663.0
Patuakhali,2018-19,321.0,614.0
Pirojpur,2018-19,31.0,71.0
Barishal Division,2018-19,3346.0,7494.0
Bandarban,2018-19,10.0,25.0
Brahmanbaria,2018-19,578.0,3046.0
Chandpur,2018-19,213.0,518.0
Chattogram,2018-19,44.0,265.0
Cumilla,2018-19,349.0,712.0
Cox’s Bazar,2018-19,0.0,0.0
Feni,2018-19,936.0,1375.0
Khagrachhari,2018-19,15.0,102.0
Lakshmipur,2018-19,13.0,60.0
Noakhali,2018-19,51.0,109.0
Rangamati,2018-19,27.0,75.0
Chattogram Division,2018-19,2236.0,6287.0
Dhaka,2018-19,300.0,757.0
Faridpur,2018-19,14745.0,41586.0
Gazipur,2018-19,35.0,211.0
Gopalganj,2018-19,3831.0,9704.0
Kishoreganj,2018-19,217.0,268.0
Madaripur,2018-19,4916.0,11427.0
Manikganj,2018-19,822.0,2255.0
Munshiganj,2018-19,27.0,39.0
Narayanganj,2018-19,113.0,255.0
Narsingdi,2018-19,16.0,48.0
Rajbari,2018-19,8710.0,20729.0
Shariatpur,2018-19,2843.0,5550.0
Tangail,2018-19,729.0,2725.0
Dhaka Division,2018-19,37304.0,95554.0
Bagerhat,2018-19,479.0,1498.0
Chuadanga,2018-19,1751.0,4457.0
Jessore,2018-19,11999.0,25327.0
Jhenaidah,2018-19,16383.0,29748.0
Khulna,2018-19,51.0,221.0
Kushtia,2018-19,13687.0,21137.0
Magura,2018-19,14796.0,8445.0
Meherpur,2018-19,9391.0,13827.0
Narail,2018-19,5872.0,13838.0
Satkhira,2018-19,230.0,797.0
Khulna,2018-19,74639.0,119295.0
Jamalpur,2018-19,253.0,847.0
Mymensinghh,2018-19,362.0,722.0
Netrokona,2018-19,51.0,123.0
Sherpur,2018-19,44.0,128.0
Mymensinghh Division,2018-19,710.0,1820.0
Bogura,2018-19,434.0,897.0
Joypurhat,2018-19,154.0,342.0
Naogaon,2018-19,217.0,444.0
Natore,2018-19,15086.0,34464.0
Chapai Nawabganj,2018-19,1053.0,5138.0
Pabna,2018-19,13277.0,26805.0
Rajshahi,2018-19,23544.0,39310.0
Sirajganj,2018-19,2524.0,7160.0
Rajshahi Division,2018-19,56289.0,114560.0
Dinajpur,2018-19,95.0,215.0
Gaibandha,2018-19,1017.0,1315.0
Kurigram,2018-19,502.0,1370.0
Lalmonirhat,2018-19,48.0,117.0
Nilphamari,2018-19,13.0,24.0
Panchagarh,2018-19,71.0,196.0
Rangpur,2018-19,108.0,217.0
Thakurgaon,2018-19,107.0,299.0
Rangpur,2018-19,1961.0,3753.0
Habiganj,2018-19,113.0,252.0
Maulvibazar,2018-19,35.0,79.0
Sunamganj,2018-19,0.0,0.0
Sylhet,2018-19,0.0,15.0
Sylhet Division,2018-19,148.0,346.0
Bhola,2020-21,731.0,1478.0
Jhalokathi,2020-21,304.0,689.0
Patuakhali,2020-21,221.0,588.0
Pirojpur,2020-21,35.0,79.0
Barishal Division,2020-21,3538.0,6327.0
Bandarban,2020-21,9.0,27.6
Brahmanbaria,2020-21,1097.0,2834.34
Chandpur,2020-21,205.0,570.75
Chattogram,2020-21,80.0,263.13
Cumilla,2020-21,260.0,692.3
Cox’s Bazar,2020-21,0.0,0.0
Feni,2020-21,674.0,1124.25
Khagrachhari,2020-21,31.0,79.0
Lakshmipur,2020-21,21.0,65.8
Noakhali,2020-21,35.0,86.6
Rangamati,2020-21,29.0,74.35
Chattogram Division,2020-21,2441.0,5818.12
Dhaka,2020-21,303.0,591.94
Faridpur,2020-21,28478.0,38893.0
Gazipur,2020-21,82.0,164.6
Gopalganj,2020-21,3681.0,9902.4
Kishoreganj,2020-21,92.0,253.36
Madaripur,2020-21,5400.0,12072.0
Manikganj,2020-21,831.0,1978.77
Munshiganj,2020-21,14.0,34.5
Narayanganj,2020-21,75.0,238.12
Narsingdi,2020-21,14.0,48.12
Rajbari,2020-21,9988.0,15900.0
Shariatpur,2020-21,2813.0,5514.0
Tangail,2020-21,745.0,2718.01
Dhaka Division,2020-21,52516.0,88308.82
Bagerhat,2020-21,503.0,1504.0
Chuadanga,2020-21,1824.0,4464.0
Jessore,2020-21,12150.0,24815.0
Jhenaidah,2020-21,17040.0,28380.0
Khulna,2020-21,70.0,218.77
Kushtia,2020-21,12417.0,25958.0
Magura,2020-21,4103.0,31799.0
Meherpur,2020-21,7133.0,12646.0
Narail,2020-21,6282.0,13744.0
Satkhira,2020-21,272.0,767.08
Khulna,2020-21,61794.0,144295.85
Jamalpur,2020-21,296.0,744.0
Mymensinghh,2020-21,376.0,722.0
Netrokona,2020-21,55.0,59.0
Sherpur,2020-21,50.0,138.0
Mymensinghh Division,2020-21,777.0,1663.0
Bogura,2020-21,374.0,615.34
Joypurhat,2020-21,180.0,330.69
Naogaon,2020-21,225.0,445.21
Natore,2020-21,14825.0,31026.0
Chapai Nawabganj,2020-21,1617.0,5335.0
Pabna,2020-21,13136.0,26602.0
Rajshahi,2020-21,20803.0,35388.3
Sirajganj,2020-21,3022.0,6929.98
Rajshahi Division,2020-21,54182.0,106672.52
Dinajpur,2020-21,76.0,108.15
Gaibandha,2020-21,976.0,1376.0
Kurigram,2020-21,522.0,1398.71
Lalmonirhat,2020-21,53.0,122.0
Nilphamari,2020-21,8.0,21.44
Panchagarh,2020-21,77.0,168.0
Rangpur,2020-21,114.0,211.0
Thakurgaon,2020-21,110.0,296.0
Rangpur,2020-21,1936.0,3701.3
Habiganj,2020-21,118.0,38.0
Maulvibazar,2020-21,42.0,71.49
Sunamganj,2020-21,0.0,0.0
Sylhet,2020-21,10.0,50.0
Sylhet Division,2020-21,170.0,159.49
Bhola,2022-23,671.0,1426.0
Jhalokathi,2022-23,335.0,781.0
Patuakhali,2022-23,209.84,587.0
Pirojpur,2022-23,43.0,77.0
Bandarban,2022-23,10.27,30.5
Brahmanbaria,2022-23,879.54,1273.55
Chandpur,2022-23,281.78,568.65
Chattogram,2022-23,82.47,199.68
Cumilla,2022-23,261.06,699.0
Cox’s Bazar,2022-23,0.0,0.0
Feni,2022-23,515.45,1142.0
Khagrachhari,2022-23,25.0,68.0
Lakshmipur,2022-23,23.0,63.7
Noakhali,2022-23,31.98,107.05
Rangamati,2022-23,27.63,68.65
Dhaka,2022-23,269.55,521.75
Faridpur,2022-23,27077.7,40170.0
Gazipur,2022-23,64.53,158.8
Gopalganj,2022-23,4244.18,9659.8
Kishoreganj,2022-23,103.39,240.51
Madaripur,2022-23,5668.11,10003.0
Manikganj,2022-23,895.07,1483.47
Munshiganj,2022-23,12.87,29.7
Narayanganj,2022-23,67.7,204.99
Narsingdi,2022-23,14.5,50.58
Rajbari,2022-23,15420.0,16175.0
Shariatpur,2022-23,2852.0,5060.0
Tangail,2022-23,773.79,2726.08
Bagerhat,2022-23,490.55,1211.0
Chuadanga,2022-23,1850.88,4002.0
Jessore,2022-23,11509.64,13616.0
Jhenaidah,2022-23,15970.0,28594.0
Khulna,2022-23,72.05,220.76
Kushtia,2022-23,15254.0,18897.0
Magura,2022-23,11362.4,29205.0
Meherpur,2022-23,6468.35,11269.0
Narail,2022-23,6596.17,13853.0
Satkhira,2022-23,272.91,703.54
Jamalpur,2022-23,258.0,771.0
Mymensinghh,2022-23,389.0,701.0
Netrokona,2022-23,24.0,26.0
Sherpur,2022-23,49.0,123.0
Bogura,2022-23,250.15,536.2
Joypurhat,2022-23,160.94,309.34
Naogaon,2022-23,225.17,375.81
Natore,2022-23,15859.01,29581.85
Chapai Nawabganj,2022-23,2462.32,4536.72
Pabna,2022-23,13342.0,20653.0
Rajshahi,2022-23,20041.9,26164.33
Sirajganj,2022-23,3169.14,3303.81
Dinajpur,2022-23,49.74,96.0
Gaibandha,2022-23,922.84,1189.0
Kurigram,2022-23,555.53,1245.0
Lalmonirhat,2022-23,51.35,125.5
Nilphamari,2022-23,8.66,22.0
Panchagarh,2022-23,58.73,138.0
Rangpur,2022-23,111.0,214.0
Thakurgaon,2022-23,108.39,294.0
Habiganj,2022-23,14.8,44.75
Maulvibazar,2022-23,30.08,77.53
Sunamganj,2022-23,0.0,0.0
Sylhet,2022-23,29.5,49.25
