District,Year,Hectares,Production_MT
Bhola,2018-19,633.0,1898.0
Jhalokathi,2018-19,247.0,1093.0
Patuakhali,2018-19,188.0,111.0
Pirojpur,2018-19,1192.0,600.0
Barishal Division,2018-19,3047.0,4477.0
Bandarban,2018-19,582.0,772.0
Brahmanbaria,2018-19,7.0,120.0
Chandpur,2018-19,32345.0,13216.0
Chattogram,2018-19,143.0,65.0
Cumilla,2018-19,38783.0,23069.0
Cox’s Bazar,2018-19,0.0,200.0
Feni,2018-19,207.0,318.0
Khagrachhari,2018-19,2443.0,1471.0
Lakshmipur,2018-19,0.0,0.0
Noakhali,2018-19,0.0,84.0
Rangamati,2018-19,1775.0,1017.0
Chattogram Division,2018-19,76285.0,40332.0
Dhaka,2018-19,32256.0,11749.0
Faridpur,2018-19,2378.0,1552.0
Gazipur,2018-19,82.0,5.8
Gopalganj,2018-19,259.0,99.0
Kishoreganj,2018-19,2553.0,10334.0
Madaripur,2018-19,523.0,583.0
Manikganj,2018-19,140675.0,53903.0
Munshiganj,2018-19,4400.0,10342.0
Narayanganj,2018-19,214.0,68.0
Narsingdi,2018-19,2752.0,36.0
Rajbari,2018-19,789.0,714.0
Shariatpur,2018-19,110.0,30.0
Tangail,2018-19,14470.0,6740.0
Dhaka Division,2018-19,201461.0,96156.0
Bagerhat,2018-19,654.0,418.0
Chuadanga,2018-19,437740.0,119442.0
Jessore,2018-19,2642.0,1186.0
Jhenaidah,2018-19,135062.0,42964.0
Khulna,2018-19,99.0,159.0
Kushtia,2018-19,59848.0,24062.0
Magura,2018-19,218.0,93.0
Meherpur,2018-19,100678.0,28332.0
Narail,2018-19,0.0,310.0
Satkhira,2018-19,5290.0,133.0
Khulna,2018-19,742231.0,217099.0
Jamalpur,2018-19,82570.0,25431.0
Mymensinghh,2018-19,753.0,280.0
Netrokona,2018-19,0.0,0.0
Sherpur,2018-19,3477.0,2149.0
Mymensinghh Division,2018-19,86800.0,27860.0
Bogura,2018-19,37721.0,18354.0
Joypurhat,2018-19,2158.0,1011.0
Naogaon,2018-19,65428.0,17799.0
Natore,2018-19,44230.0,31324.0
Chapai Nawabganj,2018-19,38862.0,16534.0
Pabna,2018-19,4850.0,1752.0
Rajshahi,2018-19,87143.0,38235.0
Sirajganj,2018-19,78474.0,28895.0
Rajshahi Division,2018-19,358866.0,153904.0
Dinajpur,2018-19,498295.0,164966.0
Gaibandha,2018-19,88643.0,34451.0
Kurigram,2018-19,57366.0,23871.0
Lalmonirhat,2018-19,250864.0,82708.0
Nilphamari,2018-19,180901.0,61535.0
