District,Year,Hectares,Production_MT
Barguna,2016-17,427.0,511.0
Barguna,2017-18,2825.0,3600.0
Barishal,2016-17,0.0,0.0
Barishal,2017-18,4650.0,4650.0
Bhola,2016-17,0.0,0.0
Bhola,2017-18,1799.0,1799.0
Jhalokathi,2016-17,0.0,0.0
Jhalokathi,2017-18,944.0,944.0
Patuakhali,2016-17,0.0,0.0
Patuakhali,2017-18,785.0,785.0
Pirojpur,2016-17,28.0,153.0
Pirojpur,2017-18,2244.0,2375.0
Barishal,2016-17,455.0,664.0
Barishal,2017-18,13247.0,14153.0
Bandarban,2016-17,400.0,1547.0
Bandarban,2017-18,2206.0,3753.0
Brahmanbaria,2016-17,0.0,0.0
Brahmanbaria,2017-18,7480.0,7480.0
Chandpur,2016-17,0.0,0.0
Chandpur,2017-18,6674.0,6674.0
Chattogram,2016-17,6418.0,103.0
Chattogram,2017-18,12499.0,13541.0
Cumilla,2016-17,52.0,934.0
Cumilla,2017-18,23681.0,24129.0
Cox's Bazar,2016-17,223.0,846.0
Cox's Bazar,2017-18,4739.0,5554.0
Feni,2016-17,10.0,55.0
Feni,2017-18,3188.0,3247.0
Khagrachhari,2016-17,2161.0,3889.0
Khagrachhari,2017-18,2176.0,5751.0
Lakshmipur,2016-17,27.0,30.0
Lakshmipur,2017-18,1611.0,1641.0
Noakhali,2016-17,0.0,0.0
Noakhali,2017-18,3411.0,3411.0
Rangamati,2016-17,444.0,2939.0
Rangamati,2017-18,2296.0,5931.0
Chattogram,2016-17,9735.0,10343.0
Chattogram,2017-18,69961.0,81112.0
Dhaka,2016-17,122.0,537.0
Dhaka,2017-18,2752.0,3155.0
Faridpur,2016-17,160.0,2150.0
Faridpur,2017-18,5593.0,7690.0
Gazipur,2016-17,331.0,1085.0
Gazipur,2017-18,7904.0,8895.0
Gopalganj,2016-17,437.0,1313.0
Gopalganj,2017-18,3222.0,4568.0
Kishoreganj,2016-17,4.0,37.0
Kishoreganj,2017-18,7963.0,7993.0
Madaripur,2016-17,1.0,5.0
Madaripur,2017-18,5362.0,5368.0
Manikganj,2016-17,157.0,909.0
Manikganj,2017-18,3838.0,4715.0
Munshiganj,2016-17,31.0,0.0
Munshiganj,2017-18,2987.0,2987.0
Narayanganj,2016-17,0.0,123.0
Narayanganj,2017-18,1994.0,2119.0
Narsingdi,2016-17,223.0,585.0
Narsingdi,2017-18,4325.0,4870.0
Rajbari,2016-17,461.0,2987.0
Rajbari,2017-18,14859.0,17730.0
Shariatpur,2016-17,58.0,166.0
Shariatpur,2017-18,6387.0,6474.0
Tangail,2016-17,886.0,1943.0
Tangail,2017-18,10647.0,12850.0
Dhaka,2016-17,2871.0,11840.0
Dhaka,2017-18,77833.0,89414.0
Bagerhat,2016-17,48.0,67.0
