District,Year,Hectares,Production_MT
Bhola,2018-19,0.0,0.0
Jhalokathi,2018-19,0.0,0.0
Patuakhali,2018-19,0.0,0.0
Pirojpur,2018-19,0.0,0.0
Barishal Division,2018-19,0.0,0.0
Bandarban,2018-19,1.0,0.0
Brahmanbaria,2018-19,1.0,7.0
Chandpur,2018-19,0.0,0.0
Chattogram,2018-19,171.0,48.0
Cumilla,2018-19,1.0,1.0
Cox’s Bazar,2018-19,5.0,0.0
Feni,2018-19,0.0,0.0
Khagrachhari,2018-19,0.0,0.0
Lakshmipur,2018-19,0.0,0.0
Noakhali,2018-19,0.0,0.0
Rangamati,2018-19,15.0,32.0
Chattogram Division,2018-19,194.0,88.0
Dhaka,2018-19,0.0,0.0
Faridpur,2018-19,5.0,6.0
Gazipur,2018-19,4.0,10.0
Gopalganj,2018-19,0.0,0.0
Kishoreganj,2018-19,1.0,10.75
Madaripur,2018-19,2.0,4.0
Manikganj,2018-19,0.0,0.0
Munshiganj,2018-19,0.0,0.0
Narayanganj,2018-19,63.0,51.0
Narsingdi,2018-19,0.0,0.0
Rajbari,2018-19,0.0,0.0
Shariatpur,2018-19,0.0,0.0
Tangail,2018-19,6.0,0.0
Dhaka Division,2018-19,81.0,81.75
Bagerhat,2018-19,6.0,7.0
Chuadanga,2018-19,453.0,109.75
Jessore,2018-19,618.0,590.0
Jhenaidah,2018-19,577.0,385.0
Khulna,2018-19,1.0,6.4
Kushtia,2018-19,0.0,0.0
Magura,2018-19,1.0,1.64
Meherpur,2018-19,0.0,0.0
Narail,2018-19,0.0,0.0
Satkhira,2018-19,1.0,1.0
Khulna,2018-19,1657.0,1100.79
Jamalpur,2018-19,0.0,0.0
Mymensinghh,2018-19,0.0,0.0
Netrokona,2018-19,0.0,0.0
Sherpur,2018-19,0.0,0.0
Mymensinghh Division,2018-19,0.0,0.0
Bogura,2018-19,9.0,10.75
Joypurhat,2018-19,0.0,2.19
Naogaon,2018-19,15.0,10.0
Natore,2018-19,0.0,0.0
Chapai Nawabganj,2018-19,0.0,8.97
Pabna,2018-19,0.0,0.0
Rajshahi,2018-19,0.0,2.31
Sirajganj,2018-19,0.0,3.32
Rajshahi Division,2018-19,24.0,37.54
Dinajpur,2018-19,2.0,3.0
Gaibandha,2018-19,0.0,0.0
Kurigram,2018-19,0.0,0.0
Lalmonirhat,2018-19,0.0,0.0
Nilphamari,2018-19,0.0,0.0
Panchagarh,2018-19,0.0,1.0
Rangpur,2018-19,22.0,23.0
Thakurgaon,2018-19,0.0,0.0
Rangpur Divison,2018-19,24.0,27.0
Habiganj,2018-19,0.0,0.0
Maulvibazar,2018-19,0.0,0.0
Sunamganj,2018-19,0.0,0.0
Sylhet,2018-19,1.0,0.0
Sylhet Division,2018-19,1.0,0.0
Bhola,2020-21,0.0,0.0
Jhalokathi,2020-21,0.0,0.0
Patuakhali,2020-21,0.0,0.0
Pirojpur,2020-21,0.0,0.0
Barishal Division,2020-21,0.0,0.0
Bandarban,2020-21,0.0,0.0
Brahmanbaria,2020-21,1.0,4.9
Chandpur,2020-21,0.0,0.0
Chattogram,2020-21,15.0,48.94
Cumilla,2020-21,1.0,0.75
Cox’s Bazar,2020-21,0.0,0.0
Feni,2020-21,0.0,0.0
Khagrachhari,2020-21,0.0,0.0
Lakshmipur,2020-21,0.0,0.0
Noakhali,2020-21,0.0,0.0
Rangamati,2020-21,15.0,25.62
Chattogram Division,2020-21,32.0,80.21
Dhaka,2020-21,0.0,13.7
Faridpur,2020-21,8.0,7.87
Gazipur,2020-21,4.0,8.2
Gopalganj,2020-21,0.0,0.0
Kishoreganj,2020-21,25.11,1.35
Madaripur,2020-21,5.22,0.0
Manikganj,2020-21,0.0,0.0
Munshiganj,2020-21,0.0,0.0
Narayanganj,2020-21,64.0,51.72
Narsingdi,2020-21,0.0,0.0
Rajbari,2020-21,0.0,0.0
Shariatpur,2020-21,0.0,0.0
Tangail,2020-21,0.0,1.81
Dhaka Division,2020-21,106.33,84.65
Bagerhat,2020-21,3.0,2.8
Chuadanga,2020-21,541.5,108.79
Jessore,2020-21,1715.0,281.0
Jhenaidah,2020-21,526.73,394.0
Khulna,2020-21,1.63,6.66
Kushtia,2020-21,0.0,0.0
Magura,2020-21,0.94,0.0
Meherpur,2020-21,0.0,0.0
Narail,2020-21,0.0,0.0
Satkhira,2020-21,1.0,0.0
Khulna,2020-21,2789.8,793.25
Jamalpur,2020-21,0.0,0.0
Mymensinghh,2020-21,0.0,0.0
Netrokona,2020-21,0.0,0.0
Sherpur,2020-21,0.0,0.0
Mymensinghh Division,2020-21,0.0,0.0
Bogura,2020-21,8.56,7.14
Joypurhat,2020-21,0.57,0.0
Naogaon,2020-21,20.0,8.7
Natore,2020-21,0.0,0.0
Chapai Nawabganj,2020-21,8.1,9.99
Pabna,2020-21,0.0,0.0
Rajshahi,2020-21,3.5,2.75
Sirajganj,2020-21,2.76,3.15
Rajshahi Division,2020-21,43.49,31.73
Dinajpur,2020-21,2.0,2.0
Gaibandha,2020-21,0.0,0.0
Kurigram,2020-21,0.0,2.67
Lalmonirhat,2020-21,0.0,0.0
Nilphamari,2020-21,0.0,0.0
Panchagarh,2020-21,1.0,2.85
Rangpur,2020-21,23.0,21.0
Thakurgaon,2020-21,0.0,0.0
Rangpur Divison,2020-21,26.0,28.52
Habiganj,2020-21,0.0,0.0
Maulvibazar,2020-21,0.0,4.4
Sunamganj,2020-21,0.0,0.0
Sylhet,2020-21,0.0,0.0
Sylhet Division,2020-21,0.0,4.4
Bhola,2022-23,0.0,0.0
Jhalokathi,2022-23,0.0,0.0
Patuakhali,2022-23,0.0,0.0
Pirojpur,2022-23,0.0,0.0
Bandarban,2022-23,0.0,0.0
Brahmanbaria,2022-23,0.98,14.95
Chandpur,2022-23,0.0,0.0
Chattogram,2022-23,14.41,42.3
Cumilla,2022-23,0.49,0.78
Cox’s Bazar,2022-23,0.0,0.0
Feni,2022-23,0.0,0.0
Khagrachhari,2022-23,0.0,0.0
Lakshmipur,2022-23,0.0,0.0
Noakhali,2022-23,0.0,0.0
Rangamati,2022-23,11.5,24.68
Dhaka,2022-23,14.79,14.95
Faridpur,2022-23,8.8,13.21
Gazipur,2022-23,3.64,9.15
Gopalganj,2022-23,0.0,0.0
Kishoreganj,2022-23,1.55,1.55
Madaripur,2022-23,0.0,0.0
Manikganj,2022-23,0.0,0.0
Munshiganj,2022-23,0.0,0.0
Narayanganj,2022-23,72.52,72.52
Narsingdi,2022-23,0.0,0.0
Rajbari,2022-23,0.0,0.0
Shariatpur,2022-23,0.0,0.0
Tangail,2022-23,5.52,1.79
Bagerhat,2022-23,0.72,2.47
Chuadanga,2022-23,360.87,101.8
Jessore,2022-23,636.0,357.0
Jhenaidah,2022-23,561.0,426.2
Khulna,2022-23,1.47,6.46
Kushtia,2022-23,0.0,0.0
Magura,2022-23,0.0,0.0
Meherpur,2022-23,0.0,0.0
Narail,2022-23,0.0,0.0
Satkhira,2022-23,0.0,0.0
Jamalpur,2022-23,0.0,0.0
Mymensinghh,2022-23,0.0,0.0
Netrokona,2022-23,0.0,0.0
Sherpur,2022-23,0.0,0.0
Bogura,2022-23,12.46,8.56
Joypurhat,2022-23,0.0,0.0
Naogaon,2022-23,17.64,9.0
Natore,2022-23,0.0,0.0
Chapai Nawabganj,2022-23,8.82,11.09
Pabna,2022-23,0.0,0.0
Rajshahi,2022-23,4.14,2.89
Sirajganj,2022-23,4.24,3.08
Dinajpur,2022-23,3.0,8.56
Gaibandha,2022-23,0.0,0.0
Kurigram,2022-23,11.27,9.0
Lalmonirhat,2022-23,0.0,0.0
Nilphamari,2022-23,0.0,11.09
Panchagarh,2022-23,3.18,0.0
Rangpur,2022-23,18.0,2.89
Thakurgaon,2022-23,0.0,3.08
Habiganj,2022-23,0.0,0.0
Maulvibazar,2022-23,0.53,4.7
Sunamganj,2022-23,0.0,0.0
Sylhet,2022-23,0.0,0.0
