District,Year,Hectares,Production_MT
Bhola,2016-17,0.0,0.0
Jhalokathi,2016-17,0.0,0.0
Patuakhali,2016-17,0.0,0.0
Pirojpur,2016-17,0.0,0.0
Barishal,2016-17,0.0,0.0
Bandarban,2016-17,48.0,71.0
Brahmanbaria,2016-17,0.0,0.0
Chandpur,2016-17,0.0,0.0
Chattogram,2016-17,0.0,0.0
Cumilla,2016-17,0.0,0.0
Cox's Bazar,2016-17,0.0,0.0
Feni,2016-17,0.0,0.0
Khagrachhari,2016-17,0.0,0.0
Lakshmipur,2016-17,0.0,0.0
Noakhali,2016-17,0.0,0.0
Rangamati,2016-17,0.0,0.0
Chattogram,2016-17,48.0,71.0
Dhaka,2016-17,0.0,0.0
Faridpur,2016-17,0.0,0.0
Gazipur,2016-17,0.0,0.0
Gopalganj,2016-17,0.0,0.0
Kishoreganj,2016-17,0.0,0.0
Madaripur,2016-17,0.0,0.0
Manikganj,2016-17,0.0,0.0
Munshiganj,2016-17,0.0,0.0
Narayanganj,2016-17,0.0,0.0
Narsingdi,2016-17,0.0,0.0
Rajbari,2016-17,0.0,0.0
Shariatpur,2016-17,0.0,0.0
Tangail,2016-17,0.0,0.0
Dhaka,2016-17,0.0,0.0
Bagerhat,2016-17,0.0,0.0
Chuadanga,2016-17,0.0,0.0
Jessore,2016-17,0.0,0.0
Jhenaidah,2016-17,0.0,0.0
Khulna,2016-17,0.0,0.0
Kushtia,2016-17,0.0,0.0
Magura,2016-17,0.0,0.0
Meherpur,2016-17,0.0,0.0
Narail,2016-17,0.0,0.0
Satkhira,2016-17,0.0,0.0
Khulna,2016-17,0.0,0.0
Jamalpur,2016-17,0.0,0.0
Mymensingh,2016-17,0.0,0.0
Netrokona,2016-17,0.0,0.0
Sherpur,2016-17,0.0,0.0
Mymensingh,2016-17,0.0,0.0
Bogura,2016-17,0.0,0.0
Joypurhat,2016-17,0.0,0.0
Naogaon,2016-17,0.0,0.0
Natore,2016-17,0.0,0.0
Chapai Nawabganj,2016-17,0.0,0.0
Pabna,2016-17,0.0,0.0
Rajshahi,2016-17,0.0,0.0
Sirajganj,2016-17,0.0,0.0
Rajshahi,2016-17,0.0,0.0
Dinajpur,2016-17,0.0,0.0
Gaibandha,2016-17,0.0,0.0
Kurigram,2016-17,0.0,0.0
Lalmonirhat,2016-17,0.0,0.0
Nilphamari,2016-17,0.0,0.0
Panchagarh,2016-17,0.0,0.0
Rangpur,2016-17,0.0,0.0
Thakurgaon,2016-17,0.0,0.0
Rangpur,2016-17,0.0,0.0
Habiganj,2016-17,0.0,0.0
Maulvibazar,2016-17,0.0,0.0
Sunamganj,2016-17,0.0,0.0
Sylhet,2016-17,0.0,0.0
Sylhet,2016-17,0.0,0.0
Bangladesh,2016-17,48.0,71.0
