District,Year,Hectares,Production_MT
Bhola,2018-19,2648.0,1535.0
Jhalokathi,2018-19,83.0,84.0
Patuakhali,2018-19,118.0,99.0
Pirojpur,2018-19,67.0,54.0
Barishal Division,2018-19,3669.0,2431.0
Bandarban,2018-19,179.0,121.0
Brahmanbaria,2018-19,1012.0,1093.0
Chandpur,2018-19,4336.0,1692.0
Chattogram,2018-19,248.0,171.0
Cumilla,2018-19,874.0,341.0
Cox’s Bazar,2018-19,132.0,64.0
Feni,2018-19,26.0,25.0
Khagrachhari,2018-19,79.0,52.0
Lakshmipur,2018-19,788.0,429.0
Noakhali,2018-19,534.0,286.0
Rangamati,2018-19,171.0,104.0
Chattogram Division,2018-19,8379.0,4378.0
Dhaka,2018-19,4168.0,1220.0
Faridpur,2018-19,265501.0,65991.0
Gazipur,2018-19,829.0,434.0
Gopalganj,2018-19,14478.0,4895.0
Kishoreganj,2018-19,4048.0,1265.0
Madaripur,2018-19,52262.0,8997.0
Manikganj,2018-19,48014.0,18131.0
Munshiganj,2018-19,981.0,561.0
Narayanganj,2018-19,1387.0,644.0
Narsingdi,2018-19,601.0,326.0
Rajbari,2018-19,221339.0,66816.0
Shariatpur,2018-19,23251.0,6090.0
Tangail,2018-19,4143.0,2032.0
Dhaka Division,2018-19,641002.0,177402.0
Bagerhat,2018-19,752.0,322.0
Chuadanga,2018-19,9244.0,1669.0
Jessore,2018-19,13481.0,2796.0
Jhenaidah,2018-19,83520.0,18043.0
Khulna,2018-19,656.0,3070.0
Kushtia,2018-19,128084.0,26101.0
Magura,2018-19,55612.0,14416.0
Meherpur,2018-19,50621.0,5089.0
Narail,2018-19,4367.0,1269.0
Satkhira,2018-19,3313.0,954.0
Khulna Division,2018-19,349650.0,73729.0
Jamalpur,2018-19,10891.0,3651.0
Mymensinghh,2018-19,3830.0,1430.0
Netrokona,2018-19,2135.0,780.0
Sherpur,2018-19,3488.0,1279.0
Mymensinghh Division,2018-19,20344.0,7140.0
Bogura,2018-19,10824.0,4779.0
Joypurhat,2018-19,5362.0,1861.0
Naogaon,2018-19,24775.0,6736.0
Natore,2018-19,24674.0,11689.0
Chapai Nawabganj,2018-19,23500.0,7034.0
Pabna,2018-19,432046.0,105139.0
Rajshahi,2018-19,123750.0,31176.0
Sirajganj,2018-19,3246.0,1692.0
Rajshahi Division,2018-19,648177.0,170106.0
Dinajpur,2018-19,17257.0,5174.0
Gaibandha,2018-19,5574.0,2718.0
Kurigram,2018-19,2367.0,1096.0
Lalmonirhat,2018-19,3657.0,1230.0
Nilphamari,2018-19,7702.0,2623.0
Panchagarh,2018-19,10011.0,3285.0
Rangpur,2018-19,15980.0,4945.0
Thakurgaon,2018-19,2173.0,978.0
Rangpur Division,2018-19,64721.0,22049.0
Habiganj,2018-19,633.0,144.0
Maulvibazar,2018-19,161.0,85.0
Sunamganj,2018-19,816.0,214.0
Sylhet,2018-19,162.0,131.0
Sylhet Division,2018-19,1772.0,574.0
Bhola,2020-21,3412.0,1608.0
Jhalokathi,2020-21,128.0,100.0
Patuakhali,2020-21,136.0,120.0
Pirojpur,2020-21,83.0,79.0
Barishal Division,2020-21,4767.0,2527.0
Bandarban,2020-21,184.0,133.1
Brahmanbaria,2020-21,3029.0,1067.79
Chandpur,2020-21,4388.0,1933.85
Chattogram,2020-21,245.0,182.36
Cumilla,2020-21,954.0,698.8
Cox’s Bazar,2020-21,99.0,59.55
Feni,2020-21,41.0,25.72
Khagrachhari,2020-21,85.0,62.9
Lakshmipur,2020-21,720.0,436.0
Noakhali,2020-21,388.0,544.6
Rangamati,2020-21,194.0,114.65
Chattogram Division,2020-21,10327.0,5259.32
Dhaka,2020-21,4367.0,1134.55
Faridpur,2020-21,265150.0,100291.0
Gazipur,2020-21,861.0,502.59
Gopalganj,2020-21,12006.0,4936.65
Kishoreganj,2020-21,3996.0,1354.28
Madaripur,2020-21,29889.0,8867.5
Manikganj,2020-21,59189.0,16757.95
Munshiganj,2020-21,992.0,489.6
Narayanganj,2020-21,1389.0,634.84
Narsingdi,2020-21,872.0,324.35
Rajbari,2020-21,251861.0,70757.0
Shariatpur,2020-21,24500.0,6601.0
Tangail,2020-21,4240.0,2048.55
Dhaka Division,2020-21,659312.0,214699.86
Bagerhat,2020-21,714.0,341.0
Chuadanga,2020-21,10379.0,1809.5
Jessore,2020-21,11549.0,3126.0
Jhenaidah,2020-21,95781.0,19100.0
Khulna,2020-21,20139.0,289.04
Kushtia,2020-21,132536.0,26845.0
Magura,2020-21,59187.0,14565.0
Meherpur,2020-21,49317.0,4909.0
Narail,2020-21,3849.0,1567.0
Satkhira,2020-21,3079.0,978.14
Khulna Division,2020-21,386530.0,73529.68
Jamalpur,2020-21,10600.0,4895.0
Mymensinghh,2020-21,3780.0,1398.0
Netrokona,2020-21,2105.0,770.0
Sherpur,2020-21,3528.0,1292.0
Mymensinghh Division,2020-21,20013.0,8355.0
Bogura,2020-21,12903.0,4774.4
Joypurhat,2020-21,5389.0,1857.81
Naogaon,2020-21,25331.0,6766.05
Natore,2020-21,39250.0,12107.0
Chapai Nawabganj,2020-21,24982.0,7076.5
Pabna,2020-21,494163.0,105914.0
Rajshahi,2020-21,195452.0,38663.5
Sirajganj,2020-21,5520.0,1648.55
Rajshahi Division,2020-21,802990.0,178807.81
Dinajpur,2020-21,16029.0,5360.0
Gaibandha,2020-21,6089.0,2947.0
Kurigram,2020-21,2561.0,1112.61
Lalmonirhat,2020-21,3904.0,1283.0
Nilphamari,2020-21,9839.0,2747.0
Panchagarh,2020-21,11188.0,4104.0
Rangpur,2020-21,16712.0,5019.0
Thakurgaon,2020-21,2288.0,995.8
Rangpur Division,2020-21,68610.0,23568.41
Habiganj,2020-21,359.0,101.95
Maulvibazar,2020-21,173.0,85.02
Sunamganj,2020-21,473.0,324.0
Sylhet,2020-21,246.0,299.0
Sylhet Division,2020-21,1251.0,809.97
Bhola,2022-23,3852.0,1574.0
Jhalokathi,2022-23,154.0,97.0
Patuakhali,2022-23,90.0,133.0
Pirojpur,2022-23,96.0,87.0
Bandarban,2022-23,203.9,123.8
Brahmanbaria,2022-23,3075.17,1052.61
Chandpur,2022-23,5047.1,1933.52
Chattogram,2022-23,271.85,145.85
Cumilla,2022-23,1321.1,351.2
Cox’s Bazar,2022-23,83.57,56.61
Feni,2022-23,41.19,28.4
Khagrachhari,2022-23,91.77,54.3
Lakshmipur,2022-23,802.0,360.57
Noakhali,2022-23,1956.19,563.5
Rangamati,2022-23,239.44,130.28
Dhaka,2022-23,4201.43,1145.0
Faridpur,2022-23,544492.0,100392.0
Gazipur,2022-23,988.92,508.1
Gopalganj,2022-23,10613.17,5032.5
Kishoreganj,2022-23,4806.72,1362.31
Madaripur,2022-23,39434.42,10117.0
Manikganj,2022-23,59720.17,16883.51
Munshiganj,2022-23,1513.19,483.67
Narayanganj,2022-23,1374.87,642.92
Narsingdi,2022-23,642.31,330.32
Rajbari,2022-23,330006.1,78012.0
Shariatpur,2022-23,28578.0,6993.0
Tangail,2022-23,4608.12,2060.54
Bagerhat,2022-23,769.51,310.5
Chuadanga,2022-23,10275.71,1841.0
Jessore,2022-23,13056.16,3079.0
Jhenaidah,2022-23,128388.75,18400.0
Khulna,2022-23,888.24,278.78
Kushtia,2022-23,140098.0,26497.0
Magura,2022-23,58187.68,16076.0
Meherpur,2022-23,56558.12,5084.0
Narail,2022-23,5076.21,1613.0
Satkhira,2022-23,3289.88,1034.33
Jamalpur,2022-23,11362.0,3785.0
Mymensinghh,2022-23,4014.0,1313.0
Netrokona,2022-23,2370.0,756.0
Sherpur,2022-23,3585.0,1322.0
Bogura,2022-23,13051.0,4825.0
Joypurhat,2022-23,8421.37,1802.13
Naogaon,2022-23,27312.87,8359.51
Natore,2022-23,74375.56,11125.24
Chapai Nawabganj,2022-23,25641.02,7244.52
Pabna,2022-23,513533.0,107841.0
Rajshahi,2022-23,278555.45,34028.95
Sirajganj,2022-23,6221.66,1449.03
Dinajpur,2022-23,18220.0,5392.0
Gaibandha,2022-23,9000.42,2756.0
Kurigram,2022-23,2730.9,1146.0
Lalmonirhat,2022-23,4167.53,1289.0
Nilphamari,2022-23,11035.0,2676.0
Panchagarh,2022-23,15685.51,4190.0
Rangpur,2022-23,17420.0,5060.0
Thakurgaon,2022-23,2332.0,1016.0
Habiganj,2022-23,244.53,109.97
Maulvibazar,2022-23,204.98,88.75
Sunamganj,2022-23,899.0,337.0
Sylhet,2022-23,988.0,298.75
