District,Year,Hectares,Production_MT
Barguna,2016-17,0.0,0.0
Barguna,2017-18,0.0,0.0
Barishal,2016-17,0.0,0.0
Barishal,2017-18,0.0,0.0
Bhola,2016-17,0.0,0.0
Bhola,2017-18,0.0,0.0
Jhallokati,2016-17,0.0,0.0
Jhallokati,2017-18,0.0,0.0
Patuakhali,2016-17,0.0,0.0
Patuakhali,2017-18,0.0,0.0
Pirojpur,2016-17,0.0,0.0
Pirojpur,2017-18,0.0,0.0
Barishal,2016-17,0.0,0.0
Barishal,2017-18,0.0,0.0
Bandarban,2016-17,84.0,476.0
Bandarban,2017-18,138.0,614.0
Brahmanbaria,2016-17,0.0,0.0
Brahmanbaria,2017-18,0.0,0.0
Chandpur,2016-17,0.0,0.0
Chandpur,2017-18,0.0,0.0
Chattogram,2016-17,18.0,0.0
Chattogram,2017-18,1.0,1.0
Cumilla,2016-17,0.0,0.0
Cumilla,2017-18,0.0,0.0
Cox's Bazar,2016-17,5.0,8.0
Cox's Bazar,2017-18,5.0,12.0
Feni,2016-17,0.0,0.0
Feni,2017-18,0.0,0.0
Khagrachhari,2016-17,499.0,706.0
Khagrachhari,2017-18,38.0,590.0
Laksmipur,2016-17,0.0,0.0
Laksmipur,2017-18,0.0,0.0
Noakhali,2016-17,0.0,0.0
Noakhali,2017-18,0.0,0.0
Rangamati,2016-17,124.0,74.0
Rangamati,2017-18,320.0,1321.0
Chattogram,2016-17,730.0,1264.0
Chattogram,2017-18,502.0,2538.0
Dhaka,2016-17,0.0,0.0
Dhaka,2017-18,0.0,0.0
Faridpur,2016-17,0.0,0.0
Faridpur,2017-18,0.0,0.0
Gazipur,2016-17,6.0,0.0
Gazipur,2017-18,1.0,5.0
Gopalganj,2016-17,0.0,4.0
Gopalganj,2017-18,0.0,0.0
Kishorganj,2016-17,0.0,0.0
Kishorganj,2017-18,0.0,0.0
Madaripur,2016-17,0.0,0.0
Madaripur,2017-18,0.0,0.0
Manikganj,2016-17,0.0,0.0
Manikganj,2017-18,0.0,0.0
Munshiganj,2016-17,0.0,0.0
Munshiganj,2017-18,0.0,0.0
Narayanganj,2016-17,0.0,0.0
Narayanganj,2017-18,0.0,0.0
Narsingdi,2016-17,0.0,0.0
Narsingdi,2017-18,0.0,0.0
Rajbari,2016-17,0.0,0.0
Rajbari,2017-18,0.0,0.0
Shariatpur,2016-17,0.0,0.0
Shariatpur,2017-18,0.0,0.0
Tangail,2016-17,20.0,6.0
Tangail,2017-18,0.0,7.0
Dhaka,2016-17,26.0,10.0
Dhaka,2017-18,1.0,12.0
Bagerhat,2016-17,0.0,0.0
Bagerhat,2017-18,0.0,0.0
Chuadanga,2016-17,0.0,0.0
Chuadanga,2017-18,0.0,0.0
Jashore,2016-17,0.0,0.0
Jashore,2017-18,0.0,0.0
Jhenaidah,2016-17,0.0,0.0
Jhenaidah,2017-18,0.0,0.0
Khulna,2016-17,0.0,0.0
Khulna,2017-18,0.0,0.0
Kushtia,2016-17,0.0,0.0
Kushtia,2017-18,0.0,0.0
Magura,2016-17,0.0,0.0
Magura,2017-18,0.0,0.0
Meherpur,2016-17,0.0,0.0
Meherpur,2017-18,0.0,0.0
Narail,2016-17,0.0,0.0
Narail,2017-18,0.0,0.0
Satkhira,2016-17,0.0,0.0
Satkhira,2017-18,0.0,0.0
Khulna,2016-17,0.0,0.0
Khulna,2017-18,0.0,0.0
Jamalpur,2016-17,0.0,0.0
Jamalpur,2017-18,0.0,0.0
Mymensing,2016-17,14.0,57.0
Mymensing,2017-18,71.0,89.0
Netrakona,2016-17,0.0,0.0
Netrakona,2017-18,12.0,12.0
Sherpur,2016-17,0.0,0.0
Sherpur,2017-18,0.0,0.0
Mymensing,2016-17,14.0,57.0
Mymensing,2017-18,83.0,101.0
Bogura,2016-17,0.0,0.0
Bogura,2017-18,0.0,0.0
Joypurhat,2016-17,0.0,0.0
Joypurhat,2017-18,0.0,0.0
Naogaon,2016-17,0.0,0.0
Naogaon,2017-18,0.0,0.0
Natore,2016-17,0.0,0.0
Natore,2017-18,0.0,0.0
Chapai Nawabganj,2016-17,0.0,0.0
Chapai Nawabganj,2017-18,0.0,0.0
Pabna,2016-17,0.0,0.0
Pabna,2017-18,0.0,0.0
Rajshahi,2016-17,0.0,0.0
Rajshahi,2017-18,0.0,0.0
Sirajganj,2016-17,0.0,0.0
Sirajganj,2017-18,0.0,0.0
Rajshahi,2016-17,0.0,0.0
Rajshahi,2017-18,0.0,0.0
Dinajpur,2016-17,0.0,0.0
Dinajpur,2017-18,0.0,0.0
Gaibandha,2016-17,0.0,0.0
Gaibandha,2017-18,0.0,0.0
Kurigram,2016-17,0.0,0.0
Kurigram,2017-18,0.0,0.0
Lalmonirhat,2016-17,0.0,0.0
Lalmonirhat,2017-18,0.0,0.0
Nilphamari,2016-17,2.0,8.0
Nilphamari,2017-18,0.0,8.0
Panchagarh,2016-17,32.0,38.0
Panchagarh,2017-18,5.0,42.0
Rangpur,2016-17,0.0,0.0
Rangpur,2017-18,0.0,0.0
Thakurgaon,2016-17,2.0,3.0
Thakurgaon,2017-18,4.0,6.0
Rangpur,2016-17,36.0,49.0
Rangpur,2017-18,9.0,56.0
Habiganj,2016-17,0.0,0.0
Habiganj,2017-18,0.0,0.0
Maulvibazar,2016-17,120.0,210.0
Maulvibazar,2017-18,182.0,387.0
Sunamganj,2016-17,0.0,0.0
Sunamganj,2017-18,0.0,0.0
Sylhet,2016-17,129.0,114.0
Sylhet,2017-18,3.0,124.0
Sylhet,2016-17,249.0,324.0
