District,Year,Hectares,Production_MT
Bhola,2018-19,0.0,247.0
Jhalokathi,2018-19,0.0,133.0
Patuakhali,2018-19,0.0,56.0
Pirojpur,2018-19,0.0,243.0
Barishal Division,2018-19,0.0,965.0
Bandarban,2018-19,0.0,102.0
Brahmanbaria,2018-19,0.0,16.6
Chandpur,2018-19,0.0,174.0
Chattogram,2018-19,0.0,899.0
Cumilla,2018-19,0.0,546.0
Cox’s Bazar,2018-19,0.0,0.0
Feni,2018-19,0.0,242.0
Khagrachhari,2018-19,0.0,299.0
Lakshmipur,2018-19,0.0,492.0
Noakhali,2018-19,0.0,363.0
Rangamati,2018-19,0.0,286.0
Chattogram Division,2018-19,0.0,3419.6
Dhaka,2018-19,0.0,244.0
Faridpur,2018-19,0.0,203.0
Gazipur,2018-19,0.0,475.0
Gopalganj,2018-19,0.0,452.0
Kishoreganj,2018-19,0.0,240.0
Madaripur,2018-19,0.0,153.0
Manikganj,2018-19,0.0,296.0
Munshiganj,2018-19,0.0,91.0
Narayanganj,2018-19,0.0,72.0
Narsingdi,2018-19,0.0,428.0
Rajbari,2018-19,0.0,69.0
Shariatpur,2018-19,0.0,83.0
Tangail,2018-19,0.0,367.0
Dhaka Division,2018-19,0.0,3173.0
Bagerhat,2018-19,0.0,31.0
Chuadanga,2018-19,0.0,53.0
Jessore,2018-19,0.0,131.0
Jhenaidah,2018-19,0.0,96.0
Khulna,2018-19,0.0,122.0
Kushtia,2018-19,0.0,0.0
Magura,2018-19,0.0,44.0
Meherpur,2018-19,0.0,0.0
Narail,2018-19,0.0,251.0
Satkhira,2018-19,0.0,94.0
Khulna Division,2018-19,0.0,822.0
Jamalpur,2018-19,0.0,350.0
Mymensinghh,2018-19,0.0,1177.0
Netrokona,2018-19,0.0,206.0
Sherpur,2018-19,0.0,272.0
Mymensinghh Division,2018-19,0.0,2005.0
Bogura,2018-19,0.0,110.0
Joypurhat,2018-19,0.0,1253.0
Naogaon,2018-19,0.0,28.0
Natore,2018-19,0.0,163.0
Chapai Nawabganj,2018-19,0.0,0.0
Pabna,2018-19,0.0,161.0
Rajshahi,2018-19,0.0,9.0
Sirajganj,2018-19,0.0,228.0
Rajshahi Division,2018-19,0.0,1952.0
Dinajpur,2018-19,0.0,123.0
Gaibandha,2018-19,0.0,198.0
Kurigram,2018-19,0.0,93.0
Lalmonirhat,2018-19,0.0,166.0
Nilphamari,2018-19,0.0,146.0
Panchagarh,2018-19,0.0,42.0
Rangpur,2018-19,0.0,308.0
Thakurgaon,2018-19,0.0,35.0
Rangpur Divison,2018-19,0.0,1111.0
Habiganj,2018-19,0.0,41.0
Maulvibazar,2018-19,0.0,179.0
Sunamganj,2018-19,0.0,21.0
Sylhet,2018-19,0.0,163.0
Sylhet Division,2018-19,0.0,404.0
Bhola,2020-21,824.0,269.98
Jhalokathi,2020-21,390.0,136.0
Patuakhali,2020-21,222.0,62.0
Pirojpur,2020-21,994.0,244.0
Barishal Division,2020-21,3333.0,1027.98
Bandarban,2020-21,237.0,104.0
Brahmanbaria,2020-21,49.0,82.4
Chandpur,2020-21,1137.0,168.35
Chattogram,2020-21,2801.0,920.0
Cumilla,2020-21,3776.0,524.95
Cox’s Bazar,2020-21,0.0,119.96
Feni,2020-21,986.0,239.2
Khagrachhari,2020-21,1082.0,340.2
Lakshmipur,2020-21,1673.0,461.7
Noakhali,2020-21,826.0,355.47
Rangamati,2020-21,880.0,269.75
Chattogram Division,2020-21,13447.0,3585.98
Dhaka,2020-21,851.0,209.25
Faridpur,2020-21,851.0,185.7
Gazipur,2020-21,2164.0,447.24
Gopalganj,2020-21,1557.0,419.0
Kishoreganj,2020-21,1104.0,344.36
Madaripur,2020-21,518.0,141.3
Manikganj,2020-21,1596.0,306.29
Munshiganj,2020-21,286.0,69.48
Narayanganj,2020-21,236.0,75.55
Narsingdi,2020-21,1435.0,373.33
Rajbari,2020-21,255.0,64.0
Shariatpur,2020-21,310.0,111.0
Tangail,2020-21,2330.0,416.15
Dhaka Division,2020-21,13493.0,3162.65
Bagerhat,2020-21,193.0,74.0
Chuadanga,2020-21,209.0,51.0
Jessore,2020-21,466.0,156.0
Jhenaidah,2020-21,426.0,101.0
Khulna,2020-21,412.0,140.0
Kushtia,2020-21,0.0,0.0
Magura,2020-21,187.0,46.0
Meherpur,2020-21,0.0,0.0
Narail,2020-21,942.0,251.0
Satkhira,2020-21,412.0,86.0
Khulna Division,2020-21,3247.0,905.0
Jamalpur,2020-21,1776.0,283.0
Mymensinghh,2020-21,8992.0,1186.0
Netrokona,2020-21,683.0,266.0
Sherpur,2020-21,2174.0,258.0
Mymensinghh Division,2020-21,13625.0,1993.0
Bogura,2020-21,422.0,215.89
Joypurhat,2020-21,6125.0,1288.19
Naogaon,2020-21,126.0,46.88
Natore,2020-21,380.0,63.25
Chapai Nawabganj,2020-21,0.0,0.0
Pabna,2020-21,936.0,133.0
Rajshahi,2020-21,21.0,14.76
Sirajganj,2020-21,1016.0,187.86
Rajshahi Division,2020-21,9026.0,1949.83
Dinajpur,2020-21,450.0,135.4
Gaibandha,2020-21,602.0,182.0
Kurigram,2020-21,352.0,108.0
Lalmonirhat,2020-21,944.0,101.0
Nilphamari,2020-21,758.0,150.0
Panchagarh,2020-21,107.0,72.0
Rangpur,2020-21,967.0,325.0
Thakurgaon,2020-21,156.0,35.0
Rangpur Divison,2020-21,4336.0,1108.4
Habiganj,2020-21,102.0,38.85
Maulvibazar,2020-21,656.0,118.77
Sunamganj,2020-21,111.0,84.0
Sylhet,2020-21,375.0,190.4
Sylhet Division,2020-21,1244.0,432.02
Bhola,2022-23,1010.13,268.71
Jhalokathi,2022-23,396.0,141.0
Patuakhali,2022-23,91.59,107.59
Pirojpur,2022-23,933.0,247.0
Bandarban,2022-23,177.6,107.0
Brahmanbaria,2022-23,245.87,80.05
Chandpur,2022-23,329.47,180.35
Chattogram,2022-23,3238.49,907.52
Cumilla,2022-23,3703.04,528.05
Cox’s Bazar,2022-23,799.95,119.64
Feni,2022-23,966.35,240.0
Khagrachhari,2022-23,1203.69,367.75
Lakshmipur,2022-23,2007.0,461.3
Noakhali,2022-23,1280.71,352.96
Rangamati,2022-23,849.98,236.32
Dhaka,2022-23,916.59,123.35
Faridpur,2022-23,836.78,188.9
Gazipur,2022-23,2026.81,411.05
Gopalganj,2022-23,1614.51,429.55
Kishoreganj,2022-23,3461.52,360.16
Madaripur,2022-23,731.73,131.25
Manikganj,2022-23,1715.16,306.78
Munshiganj,2022-23,308.18,66.77
Narayanganj,2022-23,248.75,73.26
Narsingdi,2022-23,1312.57,365.67
Rajbari,2022-23,643.0,75.0
Shariatpur,2022-23,514.0,127.0
Tangail,2022-23,2335.15,419.01
Bagerhat,2022-23,225.0,101.1
Chuadanga,2022-23,214.0,24.8
Jessore,2022-23,540.0,265.83
Jhenaidah,2022-23,453.0,108.7
Khulna,2022-23,408.0,134.58
Kushtia,2022-23,0.0,0.0
Magura,2022-23,196.0,52.43
Meherpur,2022-23,0.0,0.0
Narail,2022-23,938.0,253.0
Satkhira,2022-23,327.0,87.12
Jamalpur,2022-23,1452.0,299.0
Mymensinghh,2022-23,7032.0,1185.0
Netrokona,2022-23,1199.0,246.0
Sherpur,2022-23,1501.0,258.0
Bogura,2022-23,1389.29,235.28
Joypurhat,2022-23,6177.24,1262.56
Naogaon,2022-23,259.55,79.11
Natore,2022-23,281.7,63.5
Chapai Nawabganj,2022-23,0.0,0.0
Pabna,2022-23,643.0,114.0
Rajshahi,2022-23,113.3,13.6
Sirajganj,2022-23,835.3,166.76
Dinajpur,2022-23,475.0,149.0
Gaibandha,2022-23,558.0,175.0
Kurigram,2022-23,480.0,90.0
Lalmonirhat,2022-23,663.0,102.0
Nilphamari,2022-23,673.0,149.0
Panchagarh,2022-23,187.0,79.0
Rangpur,2022-23,1047.0,323.0
Thakurgaon,2022-23,152.0,36.0
Habiganj,2022-23,171.0,36.25
Maulvibazar,2022-23,435.41,128.82
Sunamganj,2022-23,412.0,79.0
Sylhet,2022-23,802.68,172.4
