District,Year,Hectares,Production_MT
Bhola,2016-17,8110.0,216434.0
Bhola,2017-18,7330.0,195369.0
Jhalokathi,2016-17,278.0,4490.0
Jhalokathi,2017-18,426.0,8443.0
Patuakhali,2016-17,461.0,6899.0
Patuakhali,2017-18,467.0,8603.0
Pirojpur,2016-17,908.0,11130.0
Pirojpur,2017-18,1066.0,14279.0
"Barishal
Division",2016-17,11941.0,281923.0
"Barishal
Division",2017-18,11102.0,262275.0
Bandarban,2016-17,47.0,587.0
Bandarban,2017-18,75.0,962.0
Brahmanbaria,2016-17,1508.0,21181.0
Brahmanbaria,2017-18,1635.0,22860.0
Chandpur,2016-17,13754.0,298576.0
Chandpur,2017-18,6597.0,143228.0
Chattogram,2016-17,706.0,11020.0
Chattogram,2017-18,931.0,15504.0
Cumilla,2016-17,13169.0,244164.0
Cumilla,2017-18,11486.0,212804.0
Cox's Bazar,2016-17,105.0,1323.0
Cox's Bazar,2017-18,1217.0,15741.0
Feni,2016-17,240.0,3023.0
Feni,2017-18,257.0,3444.0
Khagrachhari,2016-17,147.0,2005.0
Khagrachhari,2017-18,173.0,2346.0
Lakshmipur,2016-17,286.0,3191.0
Lakshmipur,2017-18,263.0,3522.0
Noakhali,2016-17,234.0,2575.0
Noakhali,2017-18,82.0,1103.0
Rangamati,2016-17,77.0,893.0
Rangamati,2017-18,88.0,983.0
"Chattogram
Division",2016-17,30273.0,588535.0
"Chattogram
Division",2017-18,22804.0,422494.0
Dhaka,2016-17,1989.0,41458.0
Dhaka,2017-18,1906.0,40980.0
Faridpur,2016-17,259.0,6127.0
Faridpur,2017-18,298.0,6909.0
Gazipur,2016-17,220.0,3313.0
Gazipur,2017-18,89.0,1360.0
Gopalganj,2016-17,204.0,4574.0
Gopalganj,2017-18,304.0,6780.0
Kishoreganj,2016-17,2822.0,44041.0
Kishoreganj,2017-18,3768.0,59046.0
Madaripur,2016-17,751.0,14211.0
Madaripur,2017-18,512.0,9929.0
Manikganj,2016-17,2191.0,44591.0
Manikganj,2017-18,1510.0,30620.0
Munsigonj,2016-17,37652.0,1231517.0
Munsigonj,2017-18,36319.0,1184479.0
Narayanganj,2016-17,2458.0,70267.0
Narayanganj,2017-18,3011.0,84862.0
Narsingdi,2016-17,1105.0,16106.0
Narsingdi,2017-18,1278.0,19522.0
Rajbari,2016-17,151.0,2861.0
Rajbari,2017-18,170.0,3123.0
Shariatpur,2016-17,1842.0,45800.0
Shariatpur,2017-18,1995.0,49640.0
Tangail,2016-17,2131.0,35417.0
Tangail,2017-18,1633.0,26993.0
"Dhaka
Division",2016-17,53776.0,1560284.0
"Dhaka
Division",2017-18,52793.0,1524243.0
Bagerhat,2016-17,524.0,8182.0
Bagerhat,2017-18,989.0,15067.0
Chuadanga,2016-17,1864.0,40510.0
Chuadanga,2017-18,1438.0,31230.0
Jessore,2016-17,3141.0,73332.0
Jessore,2017-18,3425.0,82896.0
Jhenaidah,2016-17,1684.0,34901.0
Jhenaidah,2017-18,1578.0,32725.0
Khulna,2016-17,633.0,9054.0
Khulna,2017-18,473.0,7230.0
Kushtia,2016-17,2227.0,48593.0
Kushtia,2017-18,2431.0,52946.0
Magura,2016-17,34.0,517.0
Magura,2017-18,29.0,452.0
Meherpur,2016-17,1408.0,32687.0
Meherpur,2017-18,1296.0,29536.0
Narail,2016-17,25.0,341.0
Narail,2017-18,32.0,467.0
Satkhira,2016-17,3334.0,57611.0
Satkhira,2017-18,2842.0,50792.0
Khulna Division,2016-17,14876.0,305726.0
Khulna Division,2017-18,14533.0,303341.0
Jamalpur,2016-17,4424.0,82820.0
Jamalpur,2017-18,4439.0,84681.0
Mymensinghh,2016-17,985.0,12000.0
Mymensinghh,2017-18,855.0,10668.0
Netrokona,2016-17,439.0,5297.0
Netrokona,2017-18,627.0,7779.0
Sherpur,2016-17,4767.0,92350.0
Sherpur,2017-18,3640.0,69060.0
"Mymensinghh
Division",2016-17,10616.0,192467.0
"Mymensinghh
Division",2017-18,9561.0,172188.0
Bogura,2016-17,47705.0,998040.0
Bogura,2017-18,45164.0,946072.0
Joypurhat,2016-17,29690.0,607905.0
Joypurhat,2017-18,32272.0,670520.0
Naogaon,2016-17,14050.0,272612.0
Naogaon,2017-18,11711.0,228433.0
Natore,2016-17,474.0,8466.0
Natore,2017-18,39.0,703.0
"Chapai Nawabganj",2016-17,1375.0,27153.0
"Chapai Nawabganj",2017-18,1308.0,25782.0
Pabna,2016-17,860.0,11180.0
Pabna,2017-18,832.0,10640.0
Rajshahi,2016-17,38395.0,1013838.0
Rajshahi,2017-18,38459.0,1004519.0
Sirajganj,2016-17,2439.0,34887.0
Sirajganj,2017-18,2564.0,36833.0
Rajshahi Division,2016-17,134988.0,2974083.0
Rajshahi Division,2017-18,132349.0,2923503.0
Dinajpur,2016-17,41556.0,873191.0
Dinajpur,2017-18,42302.0,885546.0
Gaibandha,2016-17,7843.0,131283.0
Gaibandha,2017-18,6210.0,104889.0
Kurigram,2016-17,6272.0,133043.0
Kurigram,2017-18,6210.0,132652.0
Lalmonirhat,2016-17,4708.0,91074.0
Lalmonirhat,2017-18,4621.0,89656.0
Nilphamari,2016-17,22602.0,445766.0
Nilphamari,2017-18,21053.0,415093.0
Panchagarh,2016-17,9702.0,197975.0
Panchagarh,2017-18,9482.0,193815.0
Rangpur,2016-17,51135.0,1085254.0
Rangpur,2017-18,45162.0,958735.0
Thakurgaon,2016-17,21159.0,403545.0
Thakurgaon,2017-18,21841.0,423972.0
"Rangpur Division",2016-17,164976.0,3361130.0
"Rangpur Division",2017-18,156881.0,3204356.0
Habiganj,2016-17,1099.0,15250.0
Habiganj,2017-18,1153.0,16410.0
Maulvibazar,2016-17,855.0,13488.0
Maulvibazar,2017-18,912.0,14648.0
Sunamganj,2016-17,1166.0,14655.0
Sunamganj,2017-18,1276.0,16065.0
Sylhet,2016-17,937.0,10870.0
Sylhet,2017-18,937.0,11282.0
Sylhet Division,2016-17,4057.0,54264.0
Sylhet Division,2017-18,4279.0,58404.0
Barishal,2018-19,2862.0,1158.0
Bhola,2018-19,12783.0,5173.0
Jhalokathi,2018-19,835.0,338.0
Patuakhali,2018-19,1414.0,572.0
Pirojpur,2018-19,2290.0,927.0
"Barishal
Division",2019-20,209.46,19.32
Bandarban,2018-19,200.0,81.0
"Brahmanbaria",2019-20,159.49,14.711
Chandpur,2018-19,13183.0,5335.0
Chattogram,2018-19,1240.0,502.0
Cumilla,2018-19,26628.0,10776.0
Cox’s Bazar,2018-19,2247.0,909.0
Feni,2018-19,654.0,265.0
Khagrachhari,2018-19,382.0,155.0
Lakshmipur,2018-19,632.0,256.0
Noakhali,2018-19,447.0,181.0
Rangamati,2018-19,173.0,70.0
"Chattogram
Division",2019-20,209.81,19.352
Dhaka,2018-19,4713.0,1907.0
Faridpur,2018-19,665.0,269.0
Gazipur,2018-19,251.0,102.0
Gopalganj,2018-19,847.0,343.0
Kishoreganj,2018-19,9703.0,3927.0
Madaripur,2018-19,1515.0,613.0
Manikganj,2018-19,4372.0,1769.0
Munsigonj,2018-19,81938.0,33159.0
Narayanganj,2018-19,7335.0,2968.0
Narsingdi,2018-19,3078.0,1246.0
