District,Year,Hectares,Production_MT
Bhola,2018-19,0.0,0.0
Jhallokati,2018-19,0.0,0.0
Patuakhali,2018-19,0.0,0.0
Pirojpur,2018-19,0.0,0.0
Barishal Division,2018-19,0.0,0.0
Bandarban,2018-19,0.0,0.0
Brahmanbaria,2018-19,0.0,0.0
Chandpur,2018-19,0.0,0.0
Chattogram,2018-19,0.0,0.0
Cumilla,2018-19,0.0,0.0
Cox’s Bazar,2018-19,0.0,0.0
Feni,2018-19,0.0,0.0
Khagrachari,2018-19,0.0,0.0
Lakshmipur,2018-19,0.0,0.0
Noakhali,2018-19,0.0,0.0
Rangamati,2018-19,0.0,8.2
Chattogram Division,2018-19,0.0,8.2
Dhaka,2018-19,0.0,0.0
Faridpur,2018-19,0.0,0.0
Gazipur,2018-19,0.0,0.0
Gopalganj,2018-19,0.0,0.0
Kishoreganj,2018-19,0.0,0.0
Madaripur,2018-19,0.0,0.0
Manikganj,2018-19,0.0,0.0
Munshiganj,2018-19,0.0,0.0
Narayanganj,2018-19,0.0,0.0
Narsingdi,2018-19,0.0,0.0
Rajbari,2018-19,0.0,0.0
Shariatpur,2018-19,0.0,0.0
Tangail,2018-19,0.0,4.77
Dhaka Division,2018-19,0.0,70.77
Bagerhat,2018-19,0.0,0.0
Chuadanga,2018-19,0.0,1.5
Jashore,2018-19,0.0,0.0
Jhenaidah,2018-19,0.0,1701.0
Khulna,2018-19,0.0,0.0
Kushtia,2018-19,0.0,0.0
Magura,2018-19,0.0,0.0
Meherpur,2018-19,0.0,0.0
Narail,2018-19,0.0,0.0
Satkhira,2018-19,0.0,0.0
Khulna Division,2018-19,0.0,1702.5
Jamalpur,2018-19,0.0,0.0
Mymensingh,2018-19,0.0,0.0
Netrokona,2018-19,0.0,0.0
Sherpur,2018-19,0.0,0.0
Mymensingh Division,2018-19,0.0,0.0
Bogura,2018-19,0.0,0.0
Joypurhat,2018-19,0.0,0.0
Naogaon,2018-19,0.0,0.0
Natore,2018-19,0.0,0.0
Chapai Nawabganj,2018-19,0.0,0.0
Pabna,2018-19,0.0,0.0
Rajshahi,2018-19,0.0,0.0
Sirajganj,2018-19,0.0,0.0
Rajshahi Division,2018-19,0.0,0.0
Dinajpur,2018-19,0.0,1.5
Gaibandha,2018-19,0.0,18.0
Kurigram,2018-19,0.0,0.0
Lalmonirhat,2018-19,0.0,0.0
Nilphamari,2018-19,0.0,0.0
Panchagar,2018-19,0.0,0.0
Rangpur,2018-19,0.0,0.0
Tahkurgaon,2018-19,0.0,0.0
Rangpur Division,2018-19,0.0,19.5
Habigonj,2018-19,0.0,0.0
Moulvibazar,2018-19,0.0,0.0
Sunamganj,2018-19,0.0,0.0
Sylhet,2018-19,0.0,0.0
Sylhet Division,2018-19,0.0,0.0
Bhola,2020-21,0.0,0.0
Jhallokati,2020-21,0.0,0.0
Patuakhali,2020-21,0.0,0.0
Pirojpur,2020-21,0.0,0.0
Barishal Division,2020-21,0.0,0.0
Bandarban,2020-21,0.0,0.0
Brahmanbaria,2020-21,0.0,0.0
Chandpur,2020-21,0.0,0.0
Chattogram,2020-21,0.0,0.0
Cumilla,2020-21,0.0,0.0
Cox’s Bazar,2020-21,0.0,0.0
Feni,2020-21,0.0,0.0
Khagrachari,2020-21,0.0,0.0
Lakshmipur,2020-21,0.0,0.0
Noakhali,2020-21,0.0,0.0
Rangamati,2020-21,3.24,8.2
Chattogram Division,2020-21,3.24,8.2
Dhaka,2020-21,0.0,0.0
Faridpur,2020-21,0.0,0.0
Gazipur,2020-21,0.0,0.0
Gopalganj,2020-21,0.0,0.0
Kishoreganj,2020-21,0.0,0.0
Madaripur,2020-21,0.0,0.0
Manikganj,2020-21,0.0,0.0
Munshiganj,2020-21,0.0,0.0
Narayanganj,2020-21,0.0,0.0
Narsingdi,2020-21,0.0,0.0
Rajbari,2020-21,0.0,40.0
Shariatpur,2020-21,0.0,0.0
Tangail,2020-21,2.08,4.11
Dhaka Division,2020-21,24.88,44.11
Bagerhat,2020-21,0.0,0.0
Chuadanga,2020-21,0.4,1.67
Jashore,2020-21,0.0,0.0
Jhenaidah,2020-21,553.4,1161.0
Khulna,2020-21,0.0,0.0
Kushtia,2020-21,0.0,0.0
Magura,2020-21,0.0,0.0
Meherpur,2020-21,0.0,0.0
Narail,2020-21,0.0,0.0
Satkhira,2020-21,0.0,18.0
Khulna Division,2020-21,553.4,1180.67
Jamalpur,2020-21,0.0,0.0
Mymensingh,2020-21,0.0,0.0
Netrokona,2020-21,0.0,0.0
Sherpur,2020-21,0.0,0.0
Mymensingh Division,2020-21,0.0,0.0
Bogura,2020-21,0.0,0.0
Joypurhat,2020-21,0.0,0.0
Naogaon,2020-21,0.0,0.0
Natore,2020-21,1.0,0.0
Chapai Nawabganj,2020-21,0.0,0.0
Pabna,2020-21,0.0,0.0
Rajshahi,2020-21,0.0,0.0
Sirajganj,2020-21,0.0,0.0
Rajshahi Division,2020-21,0.0,0.0
Dinajpur,2020-21,0.3,0.0
Gaibandha,2020-21,6.0,0.0
Kurigram,2020-21,0.0,0.0
Lalmonirhat,2020-21,0.0,0.0
Nilphamari,2020-21,0.0,0.0
Panchagar,2020-21,0.0,0.0
Rangpur,2020-21,0.0,0.0
Tahkurgaon,2020-21,0.0,0.0
Rangpur Division,2020-21,6.3,0.0
Habigonj,2020-21,0.0,0.0
Moulvibazar,2020-21,0.0,0.0
Sunamganj,2020-21,0.0,0.0
Sylhet,2020-21,0.0,0.0
Sylhet Division,2020-21,0.0,0.0
