District,Year,Hectares,Production_MT
Bhola,2018-19,2098.0,1001.0
Jhalokathi,2018-19,645.0,764.0
Patuakhali,2018-19,345.0,143.0
Pirojpur,2018-19,485.0,324.0
Barishal Division,2018-19,5668.0,3118.0
Bandarban,2018-19,799.0,324.0
Brahmanbaria,2018-19,3156.0,1006.0
Chandpur,2018-19,2430.0,531.0
Chattogram,2018-19,9762.0,2787.0
Cumilla,2018-19,4589.0,1327.0
Cox’s Bazar,2018-19,2381.0,792.0
Feni,2018-19,1054.0,477.0
Khagrachhari,2018-19,3221.0,1086.0
Lakshmipur,2018-19,1430.0,522.0
Noakhali,2018-19,4421.0,1017.0
Rangamati,2018-19,3173.0,633.0
Chattogram Division,2018-19,36416.0,10502.0
Dhaka,2018-19,6738.0,926.0
Faridpur,2018-19,4074.0,574.0
Gazipur,2018-19,1253.0,458.0
Gopalganj,2018-19,2432.0,391.0
Kishoreganj,2018-19,2744.0,998.0
Madaripur,2018-19,540.0,263.0
Manikganj,2018-19,8971.0,1596.0
Munshiganj,2018-19,692.0,351.0
Narayanganj,2018-19,1283.0,327.0
Narsingdi,2018-19,9404.0,1277.0
Rajbari,2018-19,5286.0,1125.0
Shariatpur,2018-19,1480.0,401.0
Tangail,2018-19,11200.0,2230.0
Dhaka Division,2018-19,56097.0,10917.0
Bagerhat,2018-19,2451.0,760.0
Chuadanga,2018-19,6160.0,2110.0
Jessore,2018-19,16261.0,3505.0
Jhenaidah,2018-19,8748.0,2510.0
Khulna,2018-19,1832.0,808.0
Kushtia,2018-19,5484.0,1239.0
Magura,2018-19,1873.0,554.0
Meherpur,2018-19,3624.0,583.0
Narail,2018-19,2335.0,663.0
Satkhira,2018-19,7842.0,1512.0
Khulna Division,2018-19,56610.0,14244.0
Jamalpur,2018-19,27021.0,8038.0
Mymensinghh,2018-19,25011.0,3001.0
Netrokona,2018-19,1722.0,767.0
Sherpur,2018-19,7692.0,1320.0
