District,Year,Hectares,Production_MT
Bhola,2018-19,13899.0,25555.0
Jhalokathi,2018-19,481.0,1286.0
Patuakhali,2018-19,801.0,2681.0
Pirojpur,2018-19,412.0,1021.0
Barishal Division,2018-19,16920.0,40018.0
Bandarban,2018-19,331.0,504.0
Brahmanbaria,2018-19,1716.0,2854.0
Chandpur,2018-19,2800.0,5818.0
Chattogram,2018-19,2724.0,6102.0
Cumilla,2018-19,4707.0,6652.0
Cox’s Bazar,2018-19,1176.0,1876.0
Feni,2018-19,221.0,531.0
Khagrachhari,2018-19,262.0,787.0
Lakshmipur,2018-19,1467.0,4190.0
Noakhali,2018-19,3297.0,7036.0
Rangamati,2018-19,693.0,162.0
Chattogram Division,2018-19,19394.0,36512.0
Dhaka,2018-19,579.0,1390.0
Faridpur,2018-19,2407.0,2561.0
Gazipur,2018-19,544.0,1392.0
Gopalganj,2018-19,543.0,858.0
Kishoreganj,2018-19,2310.0,3738.0
Madaripur,2018-19,553.0,1267.0
Manikganj,2018-19,3368.0,6753.0
Munshiganj,2018-19,555.0,951.0
Narayanganj,2018-19,222.0,541.0
Narsingdi,2018-19,904.0,1922.0
Rajbari,2018-19,1703.0,1253.0
Shariatpur,2018-19,6100.0,10131.0
Tangail,2018-19,1001.0,2922.0
Dhaka Division,2018-19,20789.0,35679.0
Bagerhat,2018-19,400.0,883.0
Chuadanga,2018-19,1150.0,945.0
Jessore,2018-19,1052.0,2023.0
Jhenaidah,2018-19,995.0,1809.0
Khulna,2018-19,653.0,397.0
Kushtia,2018-19,743.0,729.0
Magura,2018-19,561.0,544.0
Meherpur,2018-19,407.0,437.0
Narail,2018-19,1145.0,536.0
Satkhira,2018-19,796.0,647.0
Khulna,2018-19,7902.0,8950.0
Jamalpur,2018-19,6533.0,14947.0
Mymensinghh,2018-19,2447.0,3546.0
Netrokona,2018-19,632.0,1094.0
Sherpur,2018-19,1189.0,2971.0
Mymensinghh Division,2018-19,10801.0,22558.0
Bogura,2018-19,6153.0,9841.0
Joypurhat,2018-19,235.0,524.0
Naogaon,2018-19,1080.0,1468.0
Natore,2018-19,400.0,902.0
Chapai Nawabganj,2018-19,274.0,330.0
Pabna,2018-19,880.0,1408.0
Rajshahi,2018-19,1012.0,1780.0
Sirajganj,2018-19,2522.0,4701.0
Rajshahi Division,2018-19,12556.0,20954.0
Dinajpur,2018-19,1250.0,2814.0
Gaibandha,2018-19,800.0,1248.0
Kurigram,2018-19,893.0,1370.0
Lalmonirhat,2018-19,300.0,592.0
Nilphamari,2018-19,3299.0,4520.0
Panchagarh,2018-19,6608.0,9702.0
Rangpur,2018-19,1804.0,3228.0
Thakurgaon,2018-19,495.0,831.0
Rangpur,2018-19,15449.0,24305.0
Habiganj,2018-19,481.0,524.0
Maulvibazar,2018-19,134.0,295.0
Sunamganj,2018-19,477.0,693.0
Sylhet,2018-19,333.0,588.0
Sylhet Division,2018-19,1425.0,2100.0
