District,Year,Hectares,Production_MT
Bhola,2018-19,2144.0,580.9
Jhallokati,2018-19,2876.0,662.0
Patuakhali,2018-19,730.0,305.0
Pirojpur,2018-19,1845.0,641.0
Barishal Division,2018-19,10527.0,3168.9
Bandarban,2018-19,882.0,351.0
Brahmanbaria,2018-19,972.0,488.85
Chandpur,2018-19,3308.0,701.25
Chattogram,2018-19,9013.0,1998.38
Cumilla,2018-19,10276.0,2055.2
Cox’s Bazar,2018-19,2270.0,191.63
Feni,2018-19,1017.0,453.5
Khagrachari,2018-19,2448.0,776.0
Lakshmipur,2018-19,2089.0,922.0
Noakhali,2018-19,2678.0,1315.22
Rangamati,2018-19,1865.0,636.67
Chattogram Division,2018-19,36818.0,9889.7
Dhaka,2018-19,7295.0,834.36
Faridpur,2018-19,1490.0,457.0
Gazipur,2018-19,1254.0,349.61
Gopalganj,2018-19,3449.0,695.5
Kishoreganj,2018-19,4016.0,725.59
Madaripur,2018-19,430.0,506.3
Manikganj,2018-19,6517.0,853.2
Munshiganj,2018-19,914.0,461.1
Narayanganj,2018-19,1341.0,328.25
Narsingdi,2018-19,1113.0,409.96
Rajbari,2018-19,2972.0,572.0
Shariatpur,2018-19,1119.0,341.0
Tangail,2018-19,6817.0,1245.5
Dhaka Division,2018-19,38727.0,7779.37
Bagerhat,2018-19,2289.0,514.0
Chuadanga,2018-19,10467.0,1776.0
Jashore,2018-19,7810.0,1478.0
Jhenaidah,2018-19,6746.0,1169.0
Khulna,2018-19,2189.0,659.49
Kushtia,2018-19,6678.0,669.0
Magura,2018-19,1361.0,249.0
Meherpur,2018-19,933.0,172.0
Narail,2018-19,1628.0,351.0
Satkhira,2018-19,4555.0,837.0
Khulna Division,2018-19,44656.0,7874.49
Jamalpur,2018-19,3328.0,983.0
Mymensingh,2018-19,7815.0,853.0
Netrokona,2018-19,2068.0,410.0
Sherpur,2018-19,1514.0,277.0
Mymensingh Division,2018-19,14725.0,2523.0
Bogura,2018-19,1803.0,687.43
Joypurhat,2018-19,1631.0,248.74
Naogaon,2018-19,2071.0,480.73
Natore,2018-19,959.0,512.5
Chapai Nawabganj,2018-19,658.0,340.0
Pabna,2018-19,2107.0,631.0
Rajshahi,2018-19,3640.0,1157.65
Sirajganj,2018-19,1934.0,500.86
Rajshahi Division,2018-19,14803.0,4558.91
Dinajpur,2018-19,2369.0,691.0
Gaibandha,2018-19,2016.0,596.0
Kurigram,2018-19,1079.0,374.0
Lalmonirhat,2018-19,810.0,276.0
Nilphamari,2018-19,4868.0,648.31
Panchagar,2018-19,2161.0,328.0
Rangpur,2018-19,3185.0,859.0
Thakurgaon,2018-19,3032.0,808.0
Rangpur Divison,2018-19,19520.0,4580.31
Habiganj,2018-19,1626.0,347.0
Moulvibazar,2018-19,2275.0,468.0
Sunamganj,2018-19,3028.0,630.0
Sylhet,2018-19,4382.0,1443.0
Sylhet Division,2018-19,11311.0,2888.0
Bhola,2020-21,2331.48,650.0
Jhallokati,2020-21,4333.0,533.0
Patuakhali,2020-21,1854.0,325.0
Pirojpur,2020-21,2382.0,674.0
Barishal Division,2020-21,14245.48,3254.0
Bandarban,2020-21,814.45,358.0
Brahmanbaria,2020-21,1286.23,433.35
Chandpur,2020-21,3327.43,720.75
Chattogram,2020-21,9229.37,2054.8
Cumilla,2020-21,10223.7,2060.0
Cox’s Bazar,2020-21,1056.33,238.38
Feni,2020-21,1136.45,459.82
Khagrachari,2020-21,2716.46,831.5
Lakshmipur,2020-21,2812.0,818.5
Noakhali,2020-21,3008.95,1283.27
Rangamati,2020-21,1753.69,644.65
Chattogram Division,2020-21,37365.06,9903.02
Dhaka,2020-21,6453.24,854.15
Faridpur,2020-21,1537.0,473.5
Gazipur,2020-21,1062.55,362.86
Gopalganj,2020-21,3089.77,801.55
Kishoreganj,2020-21,5119.5,790.36
Madaripur,2020-21,2653.32,546.22
Manikganj,2020-21,6554.18,831.82
Munshiganj,2020-21,2224.2,540.5
Narayanganj,2020-21,1477.41,348.12
Narsingdi,2020-21,1747.68,413.99
Rajbari,2020-21,2693.5,520.0
Shariatpur,2020-21,1051.0,376.0
Tangail,2020-21,6477.87,1284.87
Dhaka Division,2020-21,42141.22,8143.94
Bagerhat,2020-21,1769.0,578.0
Chuadanga,2020-21,10721.0,1777.0
Jashore,2020-21,7870.0,1477.0
Jhenaidah,2020-21,6887.0,1179.0
Khulna,2020-21,2061.36,748.0
Kushtia,2020-21,4883.0,702.0
Magura,2020-21,1365.0,259.0
Meherpur,2020-21,820.0,181.0
Narail,2020-21,1799.0,334.0
Satkhira,2020-21,4490.0,843.0
Khulna Division,2020-21,42665.36,8078.0
Jamalpur,2020-21,3955.0,919.0
Mymensingh,2020-21,7061.0,886.0
Netrokona,2020-21,1981.0,475.0
Sherpur,2020-21,1427.0,289.0
Mymensingh Division,2020-21,14424.0,2569.0
Bogura,2020-21,2701.92,627.27
Joypurhat,2020-21,1595.66,262.42
Naogaon,2020-21,1994.33,539.69
Natore,2020-21,1422.96,493.07
Chapai Nawabganj,2020-21,1079.0,381.0
Pabna,2020-21,2271.54,663.0
Rajshahi,2020-21,8746.0,1093.37
Sirajganj,2020-21,2272.41,608.26
Rajshahi Division,2020-21,22083.82,4668.08
Dinajpur,2020-21,2469.0,717.5
Gaibandha,2020-21,2073.0,703.74
Kurigram,2020-21,1617.0,494.0
Lalmonirhat,2020-21,844.0,283.25
Nilphamari,2020-21,3829.08,629.56
Panchagar,2020-21,2115.0,351.0
Rangpur,2020-21,3149.0,922.0
Thakurgaon,2020-21,3055.0,829.55
Rangpur Divison,2020-21,19151.08,4930.6
Habiganj,2020-21,1706.0,389.19
Moulvibazar,2020-21,2285.0,533.89
Sunamganj,2020-21,3035.0,634.0
Sylhet,2020-21,4458.0,1434.0
Sylhet Division,2020-21,11484.0,2991.08
Bhola,2022-23,2996.0,662.8
Jhallokati,2022-23,3352.0,548.0
Patuakhali,2022-23,900.0,368.0
Pirojpur,2022-23,1975.0,681.0
Bandarban,2022-23,941.0,362.9
Brahmanbaria,2022-23,1736.8,445.4
Chandpur,2022-23,3509.15,726.94
Chattogram,2022-23,9366.08,2153.89
Cumilla,2022-23,10232.5,2106.0
Cox’s Bazar,2022-23,1054.48,243.2
Feni,2022-23,1775.43,352.5
Khagrachari,2022-23,2975.78,882.45
Lakshmipur,2022-23,2969.0,685.0
Noakhali,2022-23,5262.0,1287.22
Rangamati,2022-23,1811.59,646.71
Dhaka,2022-23,7209.64,859.61
Faridpur,2022-23,2387.0,514.42
Gazipur,2022-23,1723.58,394.25
Gopalganj,2022-23,5400.19,777.0
Kishoreganj,2022-23,4746.49,805.3
Madaripur,2022-23,2607.95,467.81
Manikganj,2022-23,6168.65,860.5
Munshiganj,2022-23,3780.08,628.8
Narayanganj,2022-23,1514.31,336.79
Narsingdi,2022-23,1991.3,419.74
Rajbari,2022-23,2960.0,613.5
Shariatpur,2022-23,3136.0,415.0
Tangail,2022-23,7025.13,1311.71
Bagerhat,2022-23,1974.0,603.25
Chuadanga,2022-23,10809.0,1764.0
Jashore,2022-23,8012.0,1415.35
Jhenaidah,2022-23,6871.66,1190.3
Khulna,2022-23,2366.0,746.42
Kushtia,2022-23,5064.0,473.0
Magura,2022-23,1416.0,251.57
Meherpur,2022-23,1574.0,202.0
Narail,2022-23,1834.0,360.0
Satkhira,2022-23,4611.0,828.42
Jamalpur,2022-23,3839.0,941.0
Mymensingh,2022-23,6943.0,939.0
Netrokona,2022-23,3344.0,526.0
Sherpur,2022-23,1494.0,304.0
Bogura,2022-23,2392.17,738.84
Joypurhat,2022-23,1282.41,279.56
Naogaon,2022-23,2237.76,570.98
Natore,2022-23,1880.99,510.41
Chapai Nawabganj,2022-23,1353.32,672.08
Pabna,2022-23,2590.8,636.0
Rajshahi,2022-23,8627.94,1033.21
Sirajganj,2022-23,2997.02,583.03
Dinajpur,2022-23,2990.91,709.0
Gaibandha,2022-23,3135.92,636.0
Kurigram,2022-23,2217.9,489.0
Lalmonirhat,2022-23,1136.68,289.0
Nilphamari,2022-23,3769.45,636.0
Panchagar,2022-23,2369.91,402.0
Rangpur,2022-23,4868.0,925.0
Thakurgaon,2022-23,3332.48,834.0
Habiganj,2022-23,2103.39,441.23
Moulvibazar,2022-23,3536.17,542.18
Sunamganj,2022-23,3063.0,623.0
Sylhet,2022-23,6758.0,1135.0
