District,Year,Hectares,Production_MT
Bhola,2018-19,453.0,777.0
Jhallokati,2018-19,453.0,266.0
Patuakhali,2018-19,327.0,214.0
Pirojpur,2018-19,1198.0,310.0
Barishal Division,2018-19,5382.0,2697.0
Bandarban,2018-19,1969.0,658.0
Brahmanbaria,2018-19,5485.0,1099.0
Chandpur,2018-19,5984.0,999.0
Chattogram,2018-19,12494.0,2902.0
Cumilla,2018-19,8641.0,1361.0
Cox’s Bazar,2018-19,4603.0,833.0
Feni,2018-19,1667.0,432.0
Khagrachari,2018-19,4166.0,1338.0
Lakshmipur,2018-19,2023.0,723.0
Noakhali,2018-19,3317.0,1079.0
Rangamati,2018-19,3978.0,975.0
Chattogram Division,2018-19,54327.0,12399.0
Dhaka,2018-19,8175.0,977.0
Faridpur,2018-19,2619.0,586.0
Gazipur,2018-19,3087.0,664.0
Gopalganj,2018-19,1900.0,377.0
Kishoreganj,2018-19,7070.0,1152.0
Madaripur,2018-19,2293.0,432.0
Manikganj,2018-19,3566.0,939.0
Munshiganj,2018-19,2288.0,456.0
Narayanganj,2018-19,1525.0,383.0
Narsingdi,2018-19,2280.0,789.0
Rajbari,2018-19,4569.0,1131.0
Shariatpur,2018-19,2337.0,377.0
Tangail,2018-19,11641.0,2727.0
Dhaka Division,2018-19,53350.0,10990.0
Bagerhat,2018-19,4129.0,783.0
Chuadanga,2018-19,4706.0,1045.0
Jashore,2018-19,8622.0,2093.0
Jhenaidah,2018-19,7271.0,1312.0
Khulna,2018-19,1996.0,530.0
Kushtia,2018-19,5340.0,908.0
Magura,2018-19,1554.0,400.0
Meherpur,2018-19,913.0,327.0
Narail,2018-19,1516.0,346.0
Satkhira,2018-19,3132.0,504.0
Khulna Division,2018-19,39179.0,8248.0
Jamalpur,2018-19,7924.0,2447.0
Mymensingh,2018-19,11589.0,2652.0
Netrokona,2018-19,1940.0,845.0
Sherpur,2018-19,9612.0,1536.0
Mymensingh Division,2018-19,31065.0,7480.0
Bogura,2018-19,6809.0,1765.0
Joypurhat,2018-19,2202.0,503.0
Naogaon,2018-19,8150.0,1113.0
Natore,2018-19,2591.0,914.0
Chapai Nawabganj,2018-19,1247.0,403.0
Pabna,2018-19,3560.0,1014.0
Rajshahi,2018-19,11035.0,2272.0
Sirajganj,2018-19,5589.0,1388.0
Rajshahi Division,2018-19,41183.0,9372.0
Dinajpur,2018-19,3891.0,1303.0
Gaibandha,2018-19,3135.0,841.0
Kurigram,2018-19,4512.0,1110.0
Lalmonirhat,2018-19,3026.0,680.0
Nilphamari,2018-19,5980.0,1294.0
Panchagar,2018-19,11961.0,1481.0
Rangpur,2018-19,3667.0,1111.0
Thakurgaon,2018-19,1968.0,883.0
Rangpur Divison,2018-19,38140.0,8703.0
Habiganj,2018-19,7204.0,1045.0
Moulvibazar,2018-19,2879.0,723.0
Sunamganj,2018-19,3979.0,815.0
Sylhet,2018-19,7402.0,2312.0
Sylhet Division,2018-19,21464.0,4895.0
Bhola,2020-21,1959.0,616.0
Jhallokati,2020-21,452.0,282.0
Patuakhali,2020-21,330.0,255.0
Pirojpur,2020-21,1147.0,301.0
Barishal Division,2020-21,6576.0,2617.0
Bandarban,2020-21,2025.0,668.0
Brahmanbaria,2020-21,5588.0,1042.15
Chandpur,2020-21,4823.0,933.41
Chattogram,2020-21,14157.0,2989.63
Cumilla,2020-21,6486.0,1366.2
Cox’s Bazar,2020-21,4192.0,850.96
Feni,2020-21,1315.0,440.55
Khagrachari,2020-21,4626.0,1395.0
Lakshmipur,2020-21,1781.0,752.9
Noakhali,2020-21,2627.0,1211.06
Rangamati,2020-21,3903.0,998.25
Chattogram Division,2020-21,51523.0,12648.11
Dhaka,2020-21,9152.0,1056.6
Faridpur,2020-21,2695.0,556.0
Gazipur,2020-21,3006.0,995.33
Gopalganj,2020-21,2122.0,396.22
Kishoreganj,2020-21,8633.0,1194.25
Madaripur,2020-21,2313.0,420.25
Manikganj,2020-21,3792.0,992.8
Munshiganj,2020-21,2346.0,457.8
Narayanganj,2020-21,1412.0,351.22
Narsingdi,2020-21,3083.0,795.7
Rajbari,2020-21,4692.0,1114.0
Shariatpur,2020-21,2122.0,450.0
Tangail,2020-21,11368.0,2778.84
Dhaka Division,2020-21,56736.0,11559.01
Bagerhat,2020-21,4063.0,722.0
Chuadanga,2020-21,4335.0,499.78
Jashore,2020-21,8619.0,1994.0
Jhenaidah,2020-21,5952.0,1319.0
Khulna,2020-21,1908.0,500.0
Kushtia,2020-21,5683.0,944.0
Magura,2020-21,1576.0,394.0
Meherpur,2020-21,1081.0,362.0
Narail,2020-21,1319.0,363.0
Satkhira,2020-21,2081.0,511.0
Khulna Division,2020-21,36617.0,7608.78
Jamalpur,2020-21,10047.0,2328.0
Mymensingh,2020-21,13220.0,2631.0
Netrokona,2020-21,2050.0,976.0
Sherpur,2020-21,9914.0,1492.0
Mymensingh Division,2020-21,35231.0,7427.0
Bogura,2020-21,7514.0,2285.0
Joypurhat,2020-21,2191.0,506.0
Naogaon,2020-21,8089.0,1190.0
Natore,2020-21,2495.0,797.0
Chapai Nawabganj,2020-21,1371.0,418.0
Pabna,2020-21,2994.0,1470.0
