District,Year,Hectares,Production_MT
Barguna,2018-19,123.0,77.0
Barguna,2019-20,329.0,798.0
Barishal,2018-19,228.0,344.0
Barishal,2019-20,1605.0,1895.0
Bhola,2018-19,64.0,185.0
Bhola,2019-20,699.0,699.0
Jhalokathi,2018-19,30.0,0.0
Jhalokathi,2019-20,213.0,213.0
Patuakhali,2018-19,123.0,36.0
Patuakhali,2019-20,1168.0,1218.0
Pirojpur,2018-19,113.0,174.0
Pirojpur,2019-20,584.0,741.0
Barishal Division,2018-19,538.0,816.0
Barishal Division,2019-20,4598.0,5564.0
Bandarban,2018-19,104.0,1260.0
Bandarban,2019-20,829.0,2157.0
Brahmanbaria,2018-19,37.0,150.0
Brahmanbaria,2019-20,498.0,498.0
Chandpur,2018-19,149.0,64.0
Chandpur,2019-20,2154.0,2245.0
Chattogram,2018-19,328.0,463.0
Chattogram,2019-20,2569.0,3038.0
Cumilla,2018-19,201.0,1055.0
Cumilla,2019-20,1931.0,1943.0
Cox’s Bazar,2018-19,127.0,3361.0
Cox’s Bazar,2019-20,1400.0,1990.0
Feni,2018-19,58.0,0.0
Feni,2019-20,674.0,674.0
Khagrachhari,2018-19,213.0,814.0
Khagrachhari,2019-20,1348.0,2321.0
Lakshmipur,2018-19,323.0,0.0
Lakshmipur,2019-20,3395.0,3395.0
Noakhali,2018-19,152.0,0.0
Noakhali,2019-20,1830.0,3602.0
Rangamati,2018-19,428.0,2657.0
Rangamati,2019-20,2524.0,5253.0
"Chattogram
Division",2018-19,1669.0,9824.0
"Chattogram
Division",2019-20,19152.0,27116.0
Dhaka,2018-19,165.0,554.0
Dhaka,2019-20,1231.0,2246.0
Faridpur,2018-19,126.0,265.0
Faridpur,2019-20,574.0,672.0
Gazipur,2018-19,22.0,918.0
Gazipur,2019-20,519.0,1581.0
Gopalganj,2018-19,258.0,230.0
Gopalganj,2019-20,1085.0,1258.0
Kishoreganj,2018-19,95.0,247.0
Kishoreganj,2019-20,886.0,1096.0
Madaripur,2018-19,376.0,216.0
Madaripur,2019-20,2388.0,3200.0
Manikganj,2018-19,119.0,210.0
Manikganj,2019-20,1142.0,1262.0
Munshiganj,2018-19,52.0,21.0
Munshiganj,2019-20,439.0,463.0
Narayanganj,2018-19,107.0,169.0
Narayanganj,2019-20,737.0,896.0
Narsingdi,2018-19,189.0,1049.0
Narsingdi,2019-20,594.0,1250.0
Rajbari,2018-19,75.0,440.0
Rajbari,2019-20,648.0,1264.0
Shariatpur,2018-19,153.0,1205.0
Shariatpur,2019-20,1941.0,1941.0
Tangail,2018-19,457.0,4770.0
Tangail,2019-20,3359.0,3901.0
Dhaka Division,2018-19,1937.0,10294.0
Dhaka Division,2019-20,15543.0,21030.0
Bagerhat,2018-19,105.0,0.0
Bagerhat,2019-20,655.0,727.0
Chuadanga,2018-19,93.0,984.0
Chuadanga,2019-20,533.0,1930.0
Jessore,2018-19,159.0,1707.0
Jessore,2019-20,1530.0,3168.0
Jhenaidah,2018-19,97.0,1133.0
Jhenaidah,2019-20,881.0,2169.0
Khulna,2018-19,203.0,157.0
Khulna,2019-20,869.0,1118.0
Kushtia,2018-19,184.0,84.0
Kushtia,2019-20,3074.0,3088.0
Magura,2018-19,144.0,2352.0
Magura,2019-20,2183.0,2997.0
