District,Year,Hectares,Production_MT
Bhola,2022-23,11610.66,24911.0
Jhalokathi,2022-23,758.0,1283.0
Patuakhali,2022-23,1050.0,2966.81
Pirojpur,2022-23,420.0,1027.0
Bandarban,2022-23,1357.0,369.7
Brahmanbaria,2022-23,10474.98,2822.98
Chandpur,2022-23,18871.88,5769.1
Chattogram,2022-23,20040.69,7545.48
Cumilla,2022-23,28547.67,6727.46
Cox’s Bazar,2022-23,5751.23,1922.73
Feni,2022-23,1719.1,452.0
Khagrachhari,2022-23,2435.1,889.8
Lakshmipur,2022-23,11260.0,3414.5
Noakhali,2022-23,24662.11,7825.98
Rangamati,2022-23,3947.57,1103.86
Dhaka,2022-23,2060.71,783.1
Faridpur,2022-23,2461.2,2633.8
Gazipur,2022-23,1779.89,1424.02
Gopalganj,2022-23,1695.98,822.9
Kishoreganj,2022-23,7175.87,3972.35
Madaripur,2022-23,2745.7,1224.16
Manikganj,2022-23,28164.22,5335.41
Munshiganj,2022-23,1832.08,906.86
Narayanganj,2022-23,557.77,344.25
Narsingdi,2022-23,6592.62,1908.53
Rajbari,2022-23,1060.0,731.0
Shariatpur,2022-23,10730.0,10360.0
Tangail,2022-23,4090.76,2902.84
Bagerhat,2022-23,486.06,847.5
Chuadanga,2022-23,938.0,755.0
Jessore,2022-23,2542.0,1666.0
Jhenaidah,2022-23,2656.0,1939.4
Khulna,2022-23,655.0,365.71
Kushtia,2022-23,1053.0,1089.0
Magura,2022-23,538.0,564.65
Meherpur,2022-23,537.57,224.5
Narail,2022-23,1100.0,494.0
Satkhira,2022-23,824.0,652.16
Jamalpur,2022-23,48571.0,14267.0
Mymensinghh,2022-23,15201.0,3682.0
Netrokona,2022-23,2264.0,1057.0
Sherpur,2022-23,2389.0,1364.0
Bogura,2022-23,62940.0,15480.0
Joypurhat,2022-23,3050.0,543.0
Naogaon,2022-23,5073.0,1421.0
Natore,2022-23,3220.0,671.0
Chapai Nawabganj,2022-23,1056.0,413.0
Pabna,2022-23,5833.0,1808.0
Rajshahi,2022-23,4674.0,1537.0
Sirajganj,2022-23,12484.0,2648.0
Dinajpur,2022-23,14410.0,2828.0
Gaibandha,2022-23,3636.0,1150.0
Kurigram,2022-23,3300.48,1391.0
Lalmonirhat,2022-23,2062.48,600.0
Nilphamari,2022-23,17348.38,4386.0
Panchagarh,2022-23,47083.82,14250.0
Rangpur,2022-23,7543.0,3266.0
Thakurgaon,2022-23,1772.67,898.0
Habiganj,2022-23,841.73,569.3
Maulvibazar,2022-23,331.07,375.18
Sunamganj,2022-23,767.0,728.0
Sylhet,2022-23,866.48,656.1
