District,Year,Hectares,Production_MT
Barguna,2016-17,2.0,0.0
Barguna,2017-18,0.0,0.0
Barishal,2016-17,0.0,0.0
Barishal,2017-18,0.0,0.0
Bhola,2016-17,0.0,0.0
Bhola,2017-18,0.0,0.0
Jhalokathi,2016-17,0.0,0.0
Jhalokathi,2017-18,0.0,0.0
Patuakhali,2016-17,0.0,0.0
Patuakhali,2017-18,0.0,0.0
Pirojpur,2016-17,0.0,0.0
Pirojpur,2017-18,0.0,0.0
Barishal,2016-17,2.0,0.0
Barishal,2017-18,0.0,0.0
Bandarban,2016-17,0.0,0.0
Bandarban,2017-18,0.0,0.0
Brahmanbaria,2016-17,0.0,0.0
Brahmanbaria,2017-18,6.0,6.0
Chandpur,2016-17,0.0,0.0
Chandpur,2017-18,0.0,0.0
Chattogram,2016-17,74.0,184.0
Chattogram,2017-18,134.0,227.0
Cumilla,2016-17,1.0,2.0
Cumilla,2017-18,1.0,2.0
Cox's Bazar,2016-17,87.0,111.0
Cox's Bazar,2017-18,51.0,117.0
Feni,2016-17,0.0,0.0
Feni,2017-18,0.0,0.0
Khagrachhari,2016-17,0.0,0.0
Khagrachhari,2017-18,0.0,0.0
Lakshmipur,2016-17,0.0,0.0
Lakshmipur,2017-18,0.0,0.0
Noakhali,2016-17,0.0,0.0
Noakhali,2017-18,0.0,0.0
Rangamati,2016-17,8.0,5.0
Rangamati,2017-18,4.0,8.0
Chattogram,2016-17,170.0,302.0
Chattogram,2017-18,196.0,360.0
Dhaka,2016-17,9.0,24.0
Dhaka,2017-18,2.0,17.0
Faridpur,2016-17,2.0,3.0
Faridpur,2017-18,6.0,9.0
Gazipur,2016-17,14.0,15.0
Gazipur,2017-18,0.0,0.0
Gopalganj,2016-17,0.0,0.0
Gopalganj,2017-18,0.0,0.0
Kishoreganj,2016-17,12.0,2.0
Kishoreganj,2017-18,7.0,9.0
Madaripur,2016-17,0.0,0.0
Madaripur,2017-18,0.0,0.0
Manikganj,2016-17,10.0,4.0
Manikganj,2017-18,0.0,4.0
Munshiganj,2016-17,0.0,0.0
Munshiganj,2017-18,0.0,0.0
Narayanganj,2016-17,63.0,2.0
Narayanganj,2017-18,1.0,3.0
Narsingdi,2016-17,0.0,0.0
Narsingdi,2017-18,0.0,0.0
Rajbari,2016-17,0.0,0.0
Rajbari,2017-18,1.0,2.0
Shariatpur,2016-17,0.0,0.0
Shariatpur,2017-18,0.0,0.0
Tangail,2016-17,2.0,1.0
Tangail,2017-18,2.0,3.0
Dhaka,2016-17,112.0,51.0
Dhaka,2017-18,19.0,47.0
Bagerhat,2016-17,0.0,0.0
Bagerhat,2017-18,0.0,0.0
Chuadanga,2016-17,8.0,16.0
Chuadanga,2017-18,7.0,9.0
Jessore,2016-17,202.0,18273.0
Jessore,2017-18,32.0,2348.0
Jhenaidah,2016-17,12.0,34.0
Jhenaidah,2017-18,0.0,0.0
Khulna,2016-17,3.0,1.0
Khulna,2017-18,0.0,0.0
Kushtia,2016-17,0.0,0.0
Kushtia,2017-18,0.0,0.0
Magura,2016-17,0.0,0.0
Magura,2017-18,0.0,0.0
Meherpur,2016-17,0.0,0.0
Meherpur,2017-18,0.0,0.0
Narail,2016-17,0.0,0.0
Narail,2017-18,0.0,0.0
Satkhira,2016-17,0.0,0.0
Satkhira,2017-18,2.0,2.0
Khulna,2016-17,225.0,18324.0
Khulna,2017-18,41.0,2359.0
Jamalpur,2016-17,0.0,0.0
Jamalpur,2017-18,0.0,0.0
Mymensingh,2016-17,0.0,0.0
Mymensingh,2017-18,0.0,0.0
Netrokona,2016-17,0.0,0.0
Netrokona,2017-18,0.0,0.0
Sherpur,2016-17,0.0,0.0
Sherpur,2017-18,0.0,0.0
Mymensingh,2016-17,0.0,0.0
Mymensingh,2017-18,0.0,0.0
Bogura,2016-17,3.0,5.0
Bogura,2017-18,2.0,5.0
Joypurhat,2016-17,3.0,1.0
Joypurhat,2017-18,2.0,3.0
Naogaon,2016-17,1.0,3.0
Naogaon,2017-18,0.0,0.0
Natore,2016-17,0.0,0.0
Natore,2017-18,0.0,0.0
Chapai Nawabganj,2016-17,0.0,0.0
Chapai Nawabganj,2017-18,0.0,0.0
Pabna,2016-17,0.0,0.0
Pabna,2017-18,0.0,0.0
Rajshahi,2016-17,0.0,0.0
Rajshahi,2017-18,0.0,0.0
Sirajganj,2016-17,0.0,0.0
Sirajganj,2017-18,24.0,24.0
Rajshahi,2016-17,7.0,9.0
Rajshahi,2017-18,0.0,4.0
Dinajpur,2016-17,0.0,6.0
Dinajpur,2017-18,1.0,7.0
Gaibandha,2016-17,0.0,1.0
Gaibandha,2017-18,0.0,1.0
Kurigram,2016-17,0.0,0.0
Kurigram,2017-18,0.0,0.0
Lalmonirhat,2016-17,0.0,1.0
Lalmonirhat,2017-18,1.0,2.0
Nilphamari,2016-17,0.0,0.0
Nilphamari,2017-18,23.0,23.0
Panchagarh,2016-17,0.0,0.0
Panchagarh,2017-18,0.0,0.0
Rangpur,2016-17,0.0,0.0
Rangpur,2017-18,0.0,0.0
Thakurgaon,2016-17,0.0,0.0
Thakurgaon,2017-18,0.0,0.0
Rangpur,2016-17,0.0,8.0
Rangpur,2017-18,25.0,32.0
Habiganj,2016-17,0.0,0.0
Habiganj,2017-18,0.0,0.0
Maulvibazar,2016-17,0.0,0.0
Maulvibazar,2017-18,0.0,0.0
Sunamganj,2016-17,0.0,0.0
Sunamganj,2017-18,0.0,0.0
Sylhet,2016-17,0.0,0.0
Sylhet,2017-18,0.0,0.0
Sylhet,2016-17,0.0,0.0
Sylhet,2017-18,0.0,0.0
Bangladesh,2016-17,516.0,18694.0
Bangladesh,2017-18,281.0,2802.0
Barguna,2018-19,0.0,0.0
Barguna,2019-20,0.0,0.0
Barishal,2018-19,0.0,0.0
Barishal,2019-20,0.0,0.0
Bhola,2018-19,0.0,0.0
Bhola,2019-20,0.0,0.0
Jhalokathi,2018-19,0.0,0.0
Jhalokathi,2019-20,0.0,0.0
Patuakhali,2018-19,0.0,0.0
Patuakhali,2019-20,0.0,0.0
Pirojpur,2018-19,0.0,0.0
Pirojpur,2019-20,0.0,0.0
Barishal Division,2018-19,0.0,0.0
Barishal Division,2019-20,0.0,0.0
Bandarban,2018-19,0.0,0.0
Bandarban,2019-20,0.0,0.0
Brahmanbaria,2018-19,1.0,0.0
Brahmanbaria,2019-20,0.0,0.0
Chandpur,2018-19,0.0,0.0
Chandpur,2019-20,0.0,0.0
Chattogram,2018-19,74.0,186.0
Chattogram,2019-20,76.0,260.0
Cumilla,2018-19,3.0,8.0
Cumilla,2019-20,1.0,3.0
Cox’s Bazar,2018-19,87.0,94.0
Cox’s Bazar,2019-20,55.0,166.0
Feni,2018-19,0.0,0.0
Feni,2019-20,0.0,0.0
Khagrachhari,2018-19,0.0,0.0
Khagrachhari,2019-20,0.0,0.0
Lakshmipur,2018-19,0.0,0.0
Lakshmipur,2019-20,0.0,0.0
Noakhali,2018-19,0.0,0.0
Noakhali,2019-20,0.0,0.0
Rangamati,2018-19,20.0,6.0
Rangamati,2019-20,2.0,8.0
"Chattogram
Division",2018-19,185.0,294.0
"Chattogram
Division",2019-20,134.0,437.0
Dhaka,2018-19,64.0,86.0
Dhaka,2019-20,75.0,162.0
Faridpur,2018-19,2.0,1.0
Faridpur,2019-20,4.0,7.0
Gazipur,2018-19,28.0,35.0
Gazipur,2019-20,59.0,133.0
Gopalganj,2018-19,0.0,0.0
Gopalganj,2019-20,0.0,0.0
Kishoreganj,2018-19,18.0,1.0
Kishoreganj,2019-20,8.0,10.0
Madaripur,2018-19,0.0,0.0
Madaripur,2019-20,0.0,0.0
Manikganj,2018-19,10.0,3.0
Manikganj,2019-20,36.0,76.0
Munshiganj,2018-19,0.0,0.0
Munshiganj,2019-20,0.0,0.0
Narayanganj,2018-19,6.0,0.0
Narayanganj,2019-20,1.0,3.0
Narsingdi,2018-19,0.0,0.0
Narsingdi,2019-20,0.0,0.0
Rajbari,2018-19,0.0,0.0
Rajbari,2019-20,0.0,0.0
Shariatpur,2018-19,0.0,0.0
Shariatpur,2019-20,0.0,0.0
Tangail,2018-19,4.0,2.0
Tangail,2019-20,0.0,1.0
Dhaka Division,2018-19,132.0,128.0
Dhaka Division,2019-20,183.0,392.0
Bagerhat,2018-19,0.0,0.0
Bagerhat,2019-20,0.0,0.0
Chuadanga,2018-19,0.0,8.0
Chuadanga,2019-20,8.0,24.0
Jessore,2018-19,210.0,1530.0
Jessore,2019-20,15064.0,15064.0
Jhenaidah,2018-19,5.0,3.0
Jhenaidah,2019-20,9.0,22.0
Khulna,2018-19,0.0,0.0
Khulna,2019-20,0.0,0.0
Kushtia,2018-19,0.0,0.0
Kushtia,2019-20,0.0,0.0
Magura,2018-19,0.0,0.0
Magura,2019-20,0.0,0.0
Meherpur,2018-19,0.0,0.0
Meherpur,2019-20,0.0,0.0
Narail,2018-19,0.0,0.0
Narail,2019-20,0.0,0.0
Satkhira,2018-19,1.0,2.0
Satkhira,2019-20,2.0,2.0
Khulna Division,2018-19,216.0,0.0
Khulna Division,2019-20,15083.0,15112.0
Jamalpur,2018-19,0.0,0.0
Jamalpur,2019-20,0.0,0.0
Mymensinghh,2018-19,0.0,0.0
Mymensinghh,2019-20,0.0,0.0
Netrokona,2018-19,0.0,0.0
Netrokona,2019-20,0.0,0.0
Sherpur,2018-19,0.0,0.0
Sherpur,2019-20,0.0,0.0
"Mymensinghh
Division",2018-19,0.0,0.0
"Mymensinghh
Division",2019-20,0.0,0.0
Bogura,2018-19,6.0,186.0
Bogura,2019-20,0.0,6.0
Joypurhat,2018-19,1.0,8.0
Joypurhat,2019-20,2.0,3.0
Naogaon,2018-19,5.0,94.0
Naogaon,2019-20,11.0,16.0
Natore,2018-19,0.0,0.0
Natore,2019-20,0.0,0.0
Chapai Nawabganj,2018-19,2.0,0.0
Chapai Nawabganj,2019-20,0.0,0.0
Pabna,2018-19,0.0,0.0
Pabna,2019-20,0.0,0.0
Rajshahi,2018-19,0.04,0.0
Rajshahi,2019-20,0.0,0.0
Sirajganj,2018-19,0.0,6.0
Sirajganj,2019-20,0.0,0.0
Rajshahi Division,2018-19,14.0,294.0
Rajshahi Division,2019-20,13.0,25.0
Dinajpur,2018-19,1.0,86.0
Dinajpur,2019-20,2.0,8.0
Gaibandha,2018-19,1.0,1.0
Gaibandha,2019-20,0.0,0.0
Kurigram,2018-19,0.0,35.0
Kurigram,2019-20,0.0,0.0
Lalmonirhat,2018-19,4.0,0.0
Lalmonirhat,2019-20,1.0,1.0
Nilphamari,2018-19,0.0,1.0
Nilphamari,2019-20,0.0,0.0
Panchagarh,2018-19,0.0,0.0
Panchagarh,2019-20,0.0,0.0
Rangpur,2018-19,22.0,3.0
Rangpur,2019-20,3.0,3.0
Thakurgaon,2018-19,0.0,0.0
Thakurgaon,2019-20,0.0,0.0
Rangpur Divison,2018-19,28.0,0.0
Rangpur Divison,2019-20,6.0,12.0
Habiganj,2018-19,0.0,0.0
Habiganj,2019-20,0.0,0.0
Maulvibazar,2018-19,0.0,0.0
Maulvibazar,2019-20,0.0,0.0
Sunamganj,2018-19,0.0,0.0
Sunamganj,2019-20,0.0,0.0
Sylhet,2018-19,0.0,2.0
Sylhet,2019-20,0.0,0.0
Sylhet Division,2018-19,0.0,0.0
Sylhet Division,2019-20,0.0,0.0
Barguna,2020-21,0.0,0.0
Barguna,2021-22,0.0,0.0
Barishal,2020-21,0.0,0.0
Barishal,2021-22,0.0,0.0
Bhola,2020-21,0.0,0.0
Bhola,2021-22,0.0,0.0
Jhalokathi,2020-21,0.0,0.0
Jhalokathi,2021-22,0.0,0.0
Patuakhali,2020-21,0.0,0.0
Patuakhali,2021-22,0.0,0.0
Pirojpur,2020-21,0.0,0.0
Pirojpur,2021-22,0.0,0.0
Barishal Division,2020-21,0.0,0.0
Barishal Division,2021-22,0.0,0.0
Bandarban,2020-21,0.0,0.0
Bandarban,2021-22,0.0,0.0
